chr;start;end;value1;color;V6;V7
1;0;100;0;a;0;0
1;200000;200100;18;a;0;0
1;400000;400100;18;a;0;0
1;600000;600100;30;a;0;0
1;800000;800100;55;a;0;0
1;1000000;1000100;47;a;0;0
1;1200000;1200100;41;a;0;0
1;1400000;1400100;41;a;0;0
1;1600000;1600100;49;a;0;0
1;1800000;1800100;58;a;0;0
1;2000000;2000100;53;a;0;0
1;2200000;2200100;44;a;0;0
1;2400000;2400100;67;a;0;0
1;2600000;2600100;69;a;0;0
1;2800000;2800100;84;a;0;0
1;3000000;3000100;83;a;0;0
1;3200000;3200100;72;a;0;0
1;3400000;3400100;64;a;0;0
1;3600000;3600100;53;a;0;0
1;3800000;3800100;71;a;0;0
1;4000000;4000100;63;a;0;0
1;4200000;4200100;41;a;0;0
1;4400000;4400100;52;a;0;0
1;4600000;4600100;67;a;0;0
1;4800000;4800100;41;a;0;0
1;5000000;5000100;38;a;0;0
1;5200000;5200100;68;a;0;0
1;5400000;5400100;90;a;0;0
1;5600000;5600100;43;a;0;0
1;5800000;5800100;45;a;0;0
1;6000000;6000100;82;a;0;0
1;6200000;6200100;55;a;0;0
1;6400000;6400100;40;a;0;0
1;6600000;6600100;41;a;0;0
1;6800000;6800100;63;a;0;0
1;7000000;7000100;53;a;0;0
1;7200000;7200100;55;a;0;0
1;7400000;7400100;40;a;0;0
1;7600000;7600100;46;a;0;0
1;7800000;7800100;47;a;0;0
1;8000000;8000100;62;a;0;0
1;8200000;8200100;36;a;0;0
1;8400000;8400100;31;a;0;0
1;8600000;8600100;33;a;0;0
1;8800000;8800100;66;a;0;0
1;9000000;9000100;31;a;0;0
1;9200000;9200100;54;a;0;0
1;9400000;9400100;55;a;0;0
1;9600000;9600100;51;a;0;0
1;9800000;9800100;57;a;0;0
1;10000000;10000100;38;a;0;0
1;10200000;10200100;36;a;0;0
1;10400000;10400100;37;a;0;0
1;10600000;10600100;42;a;0;0
1;10800000;10800100;66;a;0;0
1;11000000;11000100;49;a;0;0
1;11200000;11200100;38;a;0;0
1;11400000;11400100;44;a;0;0
1;11600000;11600100;40;a;0;0
1;11800000;11800100;27;a;0;0
1;12000000;12000100;52;a;0;0
1;12200000;12200100;47;a;0;0
1;12400000;12400100;38;a;0;0
1;12600000;12600100;33;a;0;0
1;12800000;12800100;47;a;0;0
1;13000000;13000100;71;a;0;0
1;13200000;13200100;47;a;0;0
1;13400000;13400100;60;a;0;0
1;13600000;13600100;42;a;0;0
1;13800000;13800100;50;a;0;0
1;14000000;14000100;42;a;0;0
1;14200000;14200100;31;a;0;0
1;14400000;14400100;50;a;0;0
1;14600000;14600100;64;a;0;0
1;14800000;14800100;61;a;0;0
1;15000000;15000100;71;a;0;0
1;15200000;15200100;31;a;0;0
1;15400000;15400100;47;a;0;0
1;15600000;15600100;47;a;0;0
1;15800000;15800100;63;a;0;0
1;16000000;16000100;63;a;0;0
1;16200000;16200100;59;a;0;0
1;16400000;16400100;53;a;0;0
1;16600000;16600100;49;a;0;0
1;16800000;16800100;54;a;0;0
1;17000000;17000100;43;a;0;0
1;17200000;17200100;52;a;0;0
1;17400000;17400100;44;a;0;0
1;17600000;17600100;36;a;0;0
1;17800000;17800100;70;a;0;0
1;18000000;18000100;78;a;0;0
1;18200000;18200100;82;a;0;0
1;18400000;18400100;78;a;0;0
1;18600000;18600100;71;a;0;0
1;18800000;18800100;46;a;0;0
1;19000000;19000100;62;a;0;0
1;19200000;19200100;67;a;0;0
1;19400000;19400100;76;a;0;0
1;19600000;19600100;58;a;0;0
1;19800000;19800100;62;a;0;0
