chr;start;end;stack
chr10a;12563;14189;mRNA
chr10a;15640;17382;mRNA
chr10a;19629;22136;mRNA
chr10a;22872;23200;mRNA
chr10a;23898;25432;mRNA
chr10a;38021;38499;mRNA
chr10a;42550;42816;mRNA
chr10a;43130;46142;mRNA
chr10a;46218;47279;mRNA
chr10a;55904;56251;mRNA
chr10a;57169;58625;mRNA
chr10a;65586;70893;mRNA
chr10a;72015;72377;mRNA
chr10a;74536;76137;mRNA
chr10a;78892;80314;mRNA
chr10a;80678;84184;mRNA
chr10a;85163;86252;mRNA
chr10a;101474;103235;mRNA
chr10a;106224;109090;mRNA
chr10a;117327;118831;mRNA
chr10a;124598;125923;mRNA
chr10a;144426;145748;mRNA
chr10a;153472;156089;mRNA
chr10a;156918;159008;mRNA
chr10a;160523;169980;mRNA
chr10a;179474;180961;mRNA
chr10a;183660;185574;mRNA
chr10a;188324;189712;mRNA
chr10a;196194;196640;mRNA
chr10a;210121;211211;mRNA
chr10a;214830;219185;mRNA
chr10a;220326;221684;mRNA
chr10a;228944;231019;mRNA
chr10a;236232;239215;mRNA
chr10a;239929;240279;mRNA
chr10a;241278;244256;mRNA
chr10a;246895;250541;mRNA
chr10a;253051;255861;mRNA
chr10a;257741;263293;mRNA
chr10a;264808;267069;mRNA
chr10a;268655;270916;mRNA
chr10a;274238;276529;mRNA
chr10a;279856;282138;mRNA
chr10a;286096;287256;mRNA
chr10a;289232;289591;mRNA
chr10a;290823;293285;mRNA
chr10a;302971;303213;mRNA
chr10a;304130;305360;mRNA
chr10a;308340;311746;mRNA
chr10a;317137;317928;mRNA
chr10a;325189;328381;mRNA
chr10a;344355;348109;mRNA
chr10a;351079;355746;mRNA
chr10a;356115;360189;mRNA
chr10a;360982;363929;mRNA
chr10a;368890;371017;mRNA
chr10a;372264;377322;mRNA
chr10a;386053;388142;mRNA
chr10a;388174;389875;mRNA
chr10a;391212;396127;mRNA
chr10a;397555;399743;mRNA
chr10a;400924;403362;mRNA
chr10a;421797;422687;mRNA
chr10a;425590;426171;mRNA
chr10a;426641;427120;mRNA
chr10a;428800;431669;mRNA
chr10a;432060;432308;mRNA
chr10a;432918;434614;mRNA
chr10a;436600;438055;mRNA
chr10a;439314;441047;mRNA
chr10a;442714;444565;mRNA
chr10a;445691;447309;mRNA
chr10a;447534;449686;mRNA
chr10a;450017;452714;mRNA
chr10a;453397;454720;mRNA
chr10a;455316;458303;mRNA
chr10a;465776;468487;mRNA
chr10a;470060;472295;mRNA
chr10a;474496;474771;mRNA
chr10a;476056;476424;mRNA
chr10a;478662;478976;mRNA
chr10a;481254;481589;mRNA
chr10a;482757;483057;mRNA
chr10a;486698;487015;mRNA
chr10a;488315;488551;mRNA
chr10a;490057;490392;mRNA
chr10a;490593;490850;mRNA
chr10a;494771;495037;mRNA
chr10a;497541;497825;mRNA
chr10a;498847;499131;mRNA
chr10a;502304;502573;mRNA
chr10a;505461;505739;mRNA
chr10a;508300;508569;mRNA
chr10a;512667;512954;mRNA
chr10a;513548;513842;mRNA
chr10a;513887;520948;mRNA
chr10a;525367;526323;mRNA
chr10a;528118;528865;mRNA
chr10a;529114;532991;mRNA
chr10a;536142;538659;mRNA
chr10a;539226;540625;mRNA
chr10a;540678;541158;mRNA
chr10a;541433;544609;mRNA
chr10a;547391;551377;mRNA
chr10a;553043;553570;mRNA
chr10a;554539;554925;mRNA
chr10a;563779;564513;mRNA
chr10a;565515;567763;mRNA
chr10a;568602;569582;mRNA
chr10a;574586;575326;mRNA
chr10a;579019;579999;mRNA
