chr;start;end;value1;color;V6;V7
chr1;0;200000;0;a;0;0
chr1;200000;400000;39;a;0;0
chr1;400000;600000;21;a;0;0
chr1;600000;800000;28;a;0;0
chr1;800000;1000000;18;a;0;0
chr1;1000000;1200000;10;a;0;0
chr1;1200000;1400000;27;a;0;0
chr1;1400000;1600000;16;a;0;0
chr1;1600000;1800000;32;a;0;0
chr1;1800000;2000000;10;a;0;0
chr1;2000000;2200000;6;a;0;0
chr1;2200000;2400000;8;a;0;0
chr1;2400000;2600000;32;a;0;0
chr1;2600000;2800000;29;a;0;0
chr1;2800000;3000000;29;a;0;0
chr1;3000000;3200000;37;a;0;0
chr1;3200000;3400000;22;a;0;0
chr1;3400000;3600000;40;a;0;0
chr1;3600000;3800000;32;a;0;0
chr1;3800000;4000000;28;a;0;0
chr1;4000000;4200000;35;a;0;0
chr1;4200000;4400000;34;a;0;0
chr1;4400000;4600000;43;a;0;0
chr1;4600000;4800000;46;a;0;0
chr1;4800000;5000000;22;a;0;0
chr1;5000000;5200000;34;a;0;0
chr1;5200000;5400000;55;a;0;0
chr1;5400000;5600000;52;a;0;0
chr1;5600000;5800000;35;a;0;0
chr1;5800000;6000000;67;a;0;0
chr1;6000000;6200000;57;a;0;0
chr1;6200000;6400000;40;a;0;0
chr1;6400000;6600000;30;a;0;0
chr1;6600000;6800000;40;a;0;0
chr1;6800000;7000000;61;a;0;0
chr1;7000000;7200000;41;a;0;0
chr1;7200000;7400000;32;a;0;0
chr1;7400000;7600000;66;a;0;0
chr1;7600000;7800000;52;a;0;0
chr1;7800000;8000000;81;a;0;0
chr1;8000000;8200000;54;a;0;0
chr1;8200000;8400000;64;a;0;0
chr1;8400000;8600000;63;a;0;0
chr1;8600000;8800000;65;a;0;0
chr1;8800000;9000000;71;a;0;0
chr1;9000000;9200000;53;a;0;0
chr1;9200000;9400000;59;a;0;0
chr1;9400000;9600000;81;a;0;0
chr1;9600000;9800000;51;a;0;0
chr1;9800000;10000000;59;a;0;0
chr1;10000000;10200000;42;a;0;0
chr1;10200000;10400000;46;a;0;0
chr1;10400000;10600000;59;a;0;0
chr1;10600000;10800000;37;a;0;0
chr1;10800000;11000000;82;a;0;0
chr1;11000000;11200000;77;a;0;0
chr1;11200000;11400000;62;a;0;0
chr1;11400000;11600000;58;a;0;0
chr1;11600000;11800000;76;a;0;0
chr1;11800000;12000000;59;a;0;0
chr1;12000000;12200000;86;a;0;0
chr1;12200000;12400000;79;a;0;0
chr1;12400000;12600000;77;a;0;0
chr1;12600000;12800000;94;a;0;0
chr1;12800000;13000000;74;a;0;0
chr1;13000000;13200000;86;a;0;0
chr1;13200000;13400000;83;a;0;0
chr1;13400000;13600000;87;a;0;0
chr1;13600000;13800000;78;a;0;0
chr1;13800000;14000000;92;a;0;0
chr1;14000000;14200000;91;a;0;0
chr1;14200000;14400000;83;a;0;0
chr1;14400000;14600000;84;a;0;0
chr1;14600000;14800000;75;a;0;0
chr1;14800000;15000000;67;a;0;0
chr1;15000000;15200000;65;a;0;0
chr1;15200000;15400000;83;a;0;0
chr1;15400000;15600000;96;a;0;0
chr1;15600000;15800000;78;a;0;0
chr1;15800000;16000000;67;a;0;0
chr1;16000000;16200000;60;a;0;0
chr1;16200000;16400000;32;a;0;0
chr1;16400000;16600000;67;a;0;0
chr1;16600000;16800000;51;a;0;0
chr1;16800000;17000000;46;a;0;0
chr1;17000000;17200000;58;a;0;0
chr1;17200000;17400000;60;a;0;0
chr1;17400000;17600000;68;a;0;0
chr1;17600000;17800000;50;a;0;0
chr1;17800000;18000000;81;a;0;0
chr1;18000000;18200000;63;a;0;0
chr1;18200000;18400000;52;a;0;0
chr1;18400000;18600000;64;a;0;0
chr1;18600000;18800000;28;a;0;0
chr1;18800000;19000000;45;a;0;0
chr1;19000000;19200000;47;a;0;0
chr1;19200000;19400000;45;a;0;0
chr1;19400000;19600000;32;a;0;0
chr1;19600000;19800000;47;a;0;0
chr1;19800000;20000000;39;a;0;0
chr1;20000000;20200000;33;a;0;0
chr1;20200000;20400000;32;a;0;0
chr1;20400000;20600000;19;a;0;0
chr1;20600000;20800000;37;a;0;0
chr1;20800000;21000000;41;a;0;0
chr1;21000000;21200000;11;a;0;0
chr1;21200000;21400000;23;a;0;0
chr1;21400000;21600000;11;a;0;0
chr1;21600000;21800000;12;a;0;0
chr1;21800000;22000000;9;a;0;0
chr1;22000000;22200000;16;a;0;0
chr1;22200000;22400000;36;a;0;0
chr1;22400000;22600000;29;a;0;0
chr1;22600000;22800000;27;a;0;0
chr1;22800000;23000000;16;a;0;0
chr1;23000000;23200000;8;a;0;0
chr1;23200000;23400000;12;a;0;0
chr1;23400000;23600000;22;a;0;0
chr1;23600000;23800000;27;a;0;0
