chr;start;end;stack
chr2;755511;755593;RNA
chr2;755742;755819;RNA
chr2;1786086;1786169;RNA
chr2;2039973;2040046;RNA
chr2;2052558;2052631;RNA
chr2;2064792;2064865;RNA
chr2;2083578;2083651;RNA
chr2;2141736;2141809;RNA
chr2;2231076;2231149;RNA
chr2;2234021;2234094;RNA
chr2;2234217;2234290;RNA
chr2;3743223;3743294;RNA
chr2;3744006;3744077;RNA
chr2;4349800;4349872;RNA
chr2;4350004;4350076;RNA
chr2;4912319;4912390;RNA
chr2;7475891;7475997;RNA
chr2;8006118;8006224;RNA
chr2;8171485;8171590;RNA
chr2;8429751;8429824;RNA
chr2;9760309;9760380;RNA
chr2;10662938;10663043;RNA
chr2;14583346;14583452;RNA
chr2;17312696;17312802;RNA
chr2;19706732;19706818;RNA
chr2;20074152;20074258;RNA
chr2;21880324;21880431;RNA
chr2;25387466;25387552;RNA
chr2;26187424;26187496;RNA
chr2;27799522;27799608;RNA
chr2;28349710;28349782;RNA
chr2;29047042;29047114;RNA
chr2;29385126;29385200;RNA
chr2;32214567;32214639;RNA
chr2;32755837;32755919;RNA
chr2;32755980;32756051;RNA
chr2;32864641;32864713;RNA
chr2;33296416;33296507;RNA
chr2;34391857;34391928;RNA
chr2;35060436;35060508;RNA
chr2;35060621;35060692;RNA
chr2;35112834;35112907;RNA
chr2;35113030;35113103;RNA
chr2;35313888;35313959;RNA
chr2;35410392;35410472;RNA
chr2;35602058;35602130;RNA
chr2;35765002;35765074;RNA
chr2;35800699;35800769;RNA
chr2;36113767;36113840;RNA
chr2;36163304;36163385;RNA
chr2;36178211;36178282;RNA
chr2;36917615;36917688;RNA
chr2;36946199;36946271;RNA
chr2;37067518;37067599;RNA
chr2;37130916;37130986;RNA
chr2;37387880;37387950;RNA
chr2;37387956;37388048;RNA
chr2;37474691;37474792;RNA
chr2;37512281;37512368;RNA
chr2;38217280;38217352;RNA
chr2;38702274;38702346;RNA
chr2;38935764;38935848;RNA
chr2;39150837;39150910;RNA
chr2;39406083;39406228;RNA
chr2;39886500;39886570;RNA
chr2;40283444;40283515;RNA
chr2;40976253;40976334;RNA
chr2;41107152;41107224;RNA
chr2;41223631;41223702;RNA
chr2;41515601;41515691;RNA
chr2;41561726;41561796;RNA
chr2;41618589;41618662;RNA
chr2;42528210;42528282;RNA
chr4;611199;611278;RNA
chr4;1374371;1374442;RNA
chr4;1878180;1878251;RNA
chr4;2121819;2121886;RNA
chr4;2122081;2122152;RNA
chr4;2551578;2551657;RNA
chr4;3035808;3035877;RNA
chr4;3730459;3730553;RNA
chr4;3730781;3730875;RNA
chr4;3730992;3731093;RNA
chr4;3731170;3731279;RNA
chr4;4041995;4042068;RNA
chr4;4715267;4715348;RNA
chr4;4801893;4801966;RNA
chr4;4835733;4835814;RNA
chr4;4835894;4835966;RNA
chr4;4859378;4859461;RNA
chr4;5393232;5393358;RNA
chr4;5432706;5432778;RNA
chr4;5627686;5627757;RNA
chr4;5718024;5718097;RNA
chr4;6133000;6133072;RNA
chr4;6155357;6155429;RNA
chr4;6232484;6232556;RNA
chr4;6403513;6403585;RNA
chr4;6404184;6404255;RNA
chr4;6514976;6515047;RNA
chr4;6714384;6714455;RNA
chr4;7619958;7620030;RNA
chr4;7714231;7714303;RNA
chr4;8478151;8478223;RNA
chr4;8966814;8966901;RNA
chr4;9503403;9503474;RNA
chr4;9698812;9698891;RNA
chr4;10530185;10530256;RNA
chr4;10530859;10530930;RNA
chr4;11245628;11245700;RNA
chr4;11386698;11386777;RNA
chr4;12302121;12302193;RNA
chr4;12427594;12427667;RNA
chr4;13016111;13016181;RNA
chr4;13016306;13016376;RNA
chr4;13016502;13016572;RNA
chr4;13684310;13684382;RNA
chr4;14204672;14204745;RNA
chr4;15267217;15267300;RNA
chr4;15478485;15478556;RNA
chr4;15864512;15864597;RNA
chr4;15961119;15961190;RNA
chr4;16213234;16213371;RNA
chr4;16298257;16298330;RNA
chr4;16375814;16375887;RNA
chr4;16448422;16448494;RNA
chr4;16860137;16860209;RNA
chr4;16957662;16957734;RNA
chr4;17680653;17680726;RNA
chr4;17720603;17720674;RNA
chr4;17725995;17726066;RNA
chr4;17727267;17727335;RNA
chr4;17728311;17728382;RNA
chr4;17728825;17728896;RNA
chr4;17730039;17730110;RNA
chr4;18114830;18114903;RNA
chr4;18411729;18411811;RNA
chr4;18684839;18684922;RNA
chr4;18902475;18902559;RNA
chr4;18911626;18911709;RNA
chr4;20077499;20077572;RNA
chr4;21000745;21000817;RNA
chr4;22694534;22694625;RNA
chr4;22694804;22694895;RNA
chr4;22731889;22731960;RNA
chr4;24258858;24258964;RNA
chr4;24927260;24927341;RNA
chr4;25800634;25800718;RNA
chr4;26678817;26678898;RNA
chr4;26853618;26853747;RNA
chr4;28319379;28319450;RNA
chr4;28662181;28662287;RNA
chr4;31387478;31387583;RNA
chr4;32186300;32186371;RNA
chr4;32382169;32382275;RNA
chr4;34170272;34170378;RNA
chr4;34174283;34174389;RNA
chr4;34553718;34553824;RNA
chr4;40166991;40167093;RNA
chr4;40184151;40184253;RNA
chr4;43957536;43957645;RNA
chr4;46633922;46634028;RNA
chr4;52533546;52533652;RNA
chr4;55875959;55876065;RNA
chr4;56244641;56244712;RNA
chr4;56244805;56244876;RNA
chr4;56886191;56886272;RNA
chr4;56886341;56886422;RNA
chr4;58983524;58983595;RNA
chr4;58986630;58986716;RNA
chr4;59263712;59263798;RNA
chr4;59263899;59264008;RNA
chr4;59648044;59648115;RNA
chr4;59664748;59664820;RNA
chr4;59667376;59667496;RNA
chr4;62193188;62193268;RNA
chr4;62476993;62477080;RNA
chr4;62477092;62477162;RNA
chr4;62940924;62940997;RNA
chr4;63182147;63182232;RNA
chr4;63245388;63245461;RNA
chr4;63618455;63618526;RNA
chr4;63774060;63774132;RNA
chr4;64167064;64167135;RNA
chr4;64350394;64350466;RNA
chr6;205762;205834;RNA
chr6;559508;559582;RNA
chr6;559704;559787;RNA
chr6;968035;968108;RNA
chr6;1324415;1324486;RNA
chr6;1641441;1641511;RNA
chr6;1798282;1798400;RNA
chr6;2106822;2106926;RNA
chr6;2663629;2663702;RNA
chr6;2851260;2851320;RNA
chr6;2870450;2870523;RNA
chr6;4424943;4425013;RNA
chr6;5001790;5001861;RNA
chr6;5411312;5411412;RNA
chr6;5720358;5720439;RNA
chr6;7077245;7077329;RNA
chr6;14897318;14897425;RNA
chr6;17170668;17170739;RNA
chr6;30143312;30143418;RNA
chr6;30507960;30508066;RNA
chr6;32516487;32516559;RNA
chr6;32528529;32528635;RNA
chr6;33611366;33611501;RNA
chr6;35743166;35743294;RNA
chr6;36436827;36436900;RNA
chr6;36437160;36437232;RNA
chr8;126083;126162;RNA
chr8;126469;126547;RNA
chr8;126979;127073;RNA
chr8;571509;571580;RNA
chr8;584584;584655;RNA
chr8;2053373;2053445;RNA
chr8;2178850;2178923;RNA
chr8;2553522;2553595;RNA
