chr;start;end;stack
chr1;1714687;1714781;snoRNA
chr1;1714930;1715007;snoRNA
chr1;1966755;1966862;snoRNA
chr1;1971500;1971606;snoRNA
chr1;5006134;5006217;tRNA
chr1;5545240;5545323;tRNA
chr1;5831463;5831536;tRNA
chr1;5946126;5946199;tRNA
chr1;6008037;6008110;tRNA
chr1;6103925;6103998;tRNA
chr1;6193252;6193325;tRNA
chr1;6193448;6193521;tRNA
chr1;6253633;6253706;tRNA
chr1;6283062;6283135;tRNA
chr1;7586207;7586313;snoRNA
chr1;9542748;9542819;tRNA
chr1;9543556;9543627;tRNA
chr1;10092760;10092865;snoRNA
chr1;10252303;10252375;tRNA
chr1;10252507;10252579;tRNA
chr1;10434899;10434971;tRNA
chr1;10435103;10435175;tRNA
chr1;10760311;10760382;tRNA
chr1;10761566;10761637;tRNA
chr1;10762824;10762895;tRNA
chr1;15445551;15445657;snoRNA
chr1;16313358;16313430;tRNA
chr1;16314699;16314785;tRNA
chr1;16723984;16724054;tRNA
chr1;17934600;17934706;snoRNA
chr1;18154487;18154592;snoRNA
chr1;18387919;18387992;tRNA
chr1;31019411;31019516;snoRNA
chr1;38498464;38498550;tRNA
chr1;41393678;41393785;snoRNA
chr1;43149225;43149331;snoRNA
chr1;43337248;43337320;tRNA
chr1;45566703;45566789;tRNA
chr1;47434112;47434184;tRNA
chr1;47757307;47757381;tRNA
chr1;47856356;47856421;tRNA
chr1;49364438;49364510;tRNA
chr1;49737351;49737510;snoRNA
chr1;49737557;49737716;snoRNA
chr1;49737829;49737915;snoRNA
chr1;54158932;54159038;snoRNA
chr1;55632725;55632797;tRNA
chr1;56087565;56087708;snoRNA
chr1;56097154;56097225;tRNA
chr1;56199602;56199674;tRNA
chr1;56624542;56624633;tRNA
chr1;57915231;57915302;tRNA
chr1;58156288;58156449;snoRNA
chr1;58441134;58441206;tRNA
chr1;58639053;58639133;snoRNA
chr1;58728425;58728496;tRNA
chr1;58950421;58950494;tRNA
chr1;58950617;58950690;tRNA
chr1;59009644;59009715;tRNA
chr1;59009828;59009899;tRNA
chr1;59290410;59290482;tRNA
chr1;59341726;59341797;tRNA
chr1;59730599;59730670;tRNA
chr1;60474767;60474840;tRNA
chr1;60503099;60503171;tRNA
chr1;60623033;60623114;tRNA
chr1;60703321;60703391;tRNA
chr1;61179527;61179664;snoRNA
chr1;61216364;61216451;snoRNA
chr1;61633270;61633342;tRNA
chr1;61758404;61758476;tRNA
chr1;62226624;62226696;tRNA
chr1;62472292;62472376;tRNA
chr1;62973856;62974001;snoRNA
chr1;63329966;63330102;snoRNA
chr1;63759554;63759624;tRNA
chr1;64144920;64144991;tRNA
chr1;64866476;64866557;tRNA
chr1;64972546;64972618;tRNA
chr1;65347386;65347457;tRNA
chr1;65608035;65608112;snoRNA
chr1;65608226;65608317;snoRNA
chr1;65655466;65655536;tRNA
chr1;65719011;65719084;tRNA
chr1;66663876;66663948;tRNA
chr2;1122795;1122874;tRNA
chr2;1847046;1847116;tRNA
chr2;2330020;2330092;snoRNA
chr2;2574256;2574327;tRNA
chr2;2574395;2574466;tRNA
chr2;2574535;2574606;tRNA
chr2;3001187;3001266;tRNA
chr2;5432274;5432368;snoRNA
chr2;5432596;5432690;snoRNA
chr2;5432806;5432908;snoRNA
chr2;5432985;5433094;snoRNA
chr2;5700779;5700852;tRNA
chr2;6417815;6417896;tRNA
chr2;6501034;6501107;tRNA
chr2;6535915;6535996;tRNA
chr2;6536076;6536148;tRNA
chr2;6568111;6568194;tRNA
chr2;7251863;7252002;snoRNA
chr2;7289941;7290013;tRNA
chr2;7366109;7366181;tRNA
chr2;7366246;7366329;tRNA
chr2;7491514;7491585;tRNA
chr2;7586328;7586401;tRNA
