chr;start;end;value1;color
chr1;0;200000;0;a
chr1;200000;400000;54;a
chr1;400000;600000;48;a
chr1;600000;800000;22;a
chr1;800000;1000000;27;a
chr1;1000000;1200000;38;a
chr1;1200000;1400000;13;a
chr1;1400000;1600000;18;a
chr1;1600000;1800000;13;a
chr1;1800000;2000000;34;a
chr1;2000000;2200000;51;a
chr1;2200000;2400000;24;a
chr1;2400000;2600000;17;a
chr1;2600000;2800000;1;a
chr1;2800000;3000000;22;a
chr1;3000000;3200000;5;a
chr1;3200000;3400000;12;a
chr1;3400000;3600000;5;a
chr1;3600000;3800000;12;a
chr1;3800000;4000000;4;a
chr1;4000000;4200000;1;a
chr1;4200000;4400000;11;a
chr1;4400000;4600000;95;a
chr1;4600000;4800000;100;a
chr1;4800000;5000000;55;a
chr1;5000000;5200000;24;a
chr1;5200000;5400000;38;a
chr1;5400000;5600000;8;a
chr1;5600000;5800000;27;a
chr1;5800000;6000000;32;a
chr1;6000000;6200000;21;a
chr1;6200000;6400000;20;a
chr1;6400000;6600000;18;a
chr1;6600000;6800000;24;a
chr1;6800000;7000000;33;a
chr1;7000000;7200000;18;a
chr1;7200000;7400000;20;a
chr1;7400000;7600000;31;a
chr1;7600000;7800000;61;a
chr1;7800000;8000000;100;a
chr1;8000000;8200000;100;a
chr1;8200000;8400000;100;a
chr1;8400000;8600000;100;a
chr1;8600000;8800000;100;a
chr1;8800000;9000000;100;a
chr1;9000000;9200000;100;a
chr1;9200000;9400000;100;a
chr1;9400000;9600000;100;a
chr1;9600000;9800000;52;a
chr1;9800000;10000000;23;a
chr1;10000000;10200000;12;a
chr1;10200000;10400000;7;a
chr1;10400000;10600000;32;a
chr1;10600000;10800000;24;a
chr1;10800000;11000000;23;a
chr1;11000000;11200000;36;a
chr1;11200000;11400000;9;a
chr1;11400000;11600000;29;a
chr1;11600000;11800000;1;a
chr1;11800000;12000000;6;a
chr1;12000000;12200000;0;a
chr1;12200000;12400000;0;a
chr1;12400000;12600000;12;a
chr1;12600000;12800000;29;a
chr1;12800000;13000000;0;a
chr1;13000000;13200000;8;a
chr1;13200000;13400000;0;a
chr1;13400000;13600000;0;a
chr1;13600000;13800000;2;a
chr1;13800000;14000000;19;a
chr1;14000000;14200000;27;a
chr1;14200000;14400000;4;a
chr1;14400000;14600000;2;a
chr1;14600000;14800000;32;a
chr1;14800000;15000000;25;a
chr1;15000000;15200000;1;a
chr1;15200000;15400000;9;a
chr1;15400000;15600000;15;a
chr1;15600000;15800000;3;a
chr1;15800000;16000000;4;a
chr1;16000000;16200000;15;a
chr1;16200000;16400000;25;a
chr1;16400000;16600000;16;a
chr1;16600000;16800000;10;a
chr1;16800000;17000000;17;a
chr1;17000000;17200000;4;a
chr1;17200000;17400000;0;a
chr1;17400000;17600000;0;a
chr1;17600000;17800000;2;a
chr1;17800000;18000000;2;a
chr1;18000000;18200000;6;a
chr1;18200000;18400000;4;a
chr1;18400000;18600000;5;a
chr1;18600000;18800000;24;a
chr1;18800000;19000000;11;a
chr1;19000000;19200000;1;a
chr1;19200000;19400000;5;a
chr1;19400000;19600000;8;a
chr1;19600000;19800000;9;a
chr1;19800000;20000000;6;a
chr1;20000000;20200000;10;a
chr1;20200000;20400000;1;a
chr1;20400000;20600000;5;a
chr1;20600000;20800000;16;a
chr1;20800000;21000000;0;a
chr1;21000000;21200000;10;a
chr1;21200000;21400000;13;a
chr1;21400000;21600000;19;a
chr1;21600000;21800000;18;a
chr1;21800000;22000000;11;a
chr1;22000000;22200000;15;a
chr1;22200000;22400000;0;a
chr1;22400000;22600000;12;a
chr1;22600000;22800000;10;a
chr1;22800000;23000000;3;a
chr1;23000000;23200000;4;a
chr1;23200000;23400000;17;a
chr1;23400000;23600000;15;a
chr1;23600000;23800000;12;a
chr1;23800000;24000000;10;a
chr1;24000000;24200000;2;a
chr1;24200000;24400000;13;a
chr1;24400000;24600000;16;a
chr1;24600000;24800000;1;a
chr1;24800000;25000000;0;a
chr1;25000000;25200000;2;a
chr1;25200000;25400000;0;a
chr1;25400000;25600000;0;a
chr1;25600000;25800000;0;a
chr1;25800000;26000000;0;a
chr1;26000000;26200000;0;a
chr1;26200000;26400000;0;a
chr1;26400000;26600000;0;a
chr1;26600000;26800000;0;a
chr1;26800000;27000000;2;a
chr1;27000000;27200000;4;a
chr1;27200000;27400000;0;a
chr1;27400000;27600000;0;a
chr1;27600000;27800000;3;a
chr1;27800000;28000000;5;a
chr1;28000000;28200000;0;a
chr1;28200000;28400000;0;a
chr1;28400000;28600000;0;a
chr1;28600000;28800000;0;a
chr1;28800000;29000000;6;a
chr1;29000000;29200000;0;a
chr1;29200000;29400000;0;a
chr1;29400000;29600000;16;a
chr1;29600000;29800000;0;a
chr1;29800000;30000000;0;a
chr1;30000000;30200000;4;a
chr1;30200000;30400000;10;a
chr1;30400000;30600000;0;a
chr1;30600000;30800000;1;a
chr1;30800000;31000000;4;a
chr1;31000000;31200000;0;a
chr1;31200000;31400000;0;a
chr1;31400000;31600000;1;a
chr1;31600000;31800000;0;a
chr1;31800000;32000000;4;a
chr1;32000000;32200000;5;a
chr1;32200000;32400000;2;a
chr1;32400000;32600000;0;a
chr1;32600000;32800000;19;a
chr1;32800000;33000000;5;a
chr1;33000000;33200000;14;a
chr1;33200000;33400000;0;a
chr1;33400000;33600000;5;a
chr1;33600000;33800000;11;a
chr1;33800000;34000000;10;a
chr1;34000000;34200000;1;a
chr1;34200000;34400000;1;a
chr1;34400000;34600000;0;a
chr1;34600000;34800000;0;a
chr1;34800000;35000000;0;a
chr1;35000000;35200000;0;a
chr1;35200000;35400000;9;a
chr1;35400000;35600000;0;a
chr1;35600000;35800000;0;a
chr1;35800000;36000000;0;a
chr1;36000000;36200000;0;a
chr1;36200000;36400000;2;a
chr1;36400000;36600000;4;a
chr1;36600000;36800000;0;a
chr1;36800000;37000000;3;a
chr1;37000000;37200000;1;a
chr1;37200000;37400000;0;a
chr1;37400000;37600000;0;a
chr1;37600000;37800000;15;a
chr1;37800000;38000000;3;a
chr1;38000000;38200000;4;a
chr1;38200000;38400000;7;a
chr1;38400000;38600000;0;a
chr1;38600000;38800000;13;a
chr1;38800000;39000000;8;a
chr1;39000000;39200000;9;a
chr1;39200000;39400000;6;a
chr1;39400000;39600000;10;a
chr1;39600000;39800000;11;a
chr1;39800000;40000000;8;a
chr1;40000000;40200000;2;a
chr1;40200000;40400000;17;a
chr1;40400000;40600000;7;a
chr1;40600000;40800000;17;a
chr1;40800000;41000000;1;a
chr1;41000000;41200000;9;a
chr1;41200000;41400000;7;a
chr1;41400000;41600000;10;a
chr1;41600000;41800000;3;a
chr1;41800000;42000000;10;a
chr1;42000000;42200000;4;a
chr1;42200000;42400000;31;a
chr1;42400000;42600000;3;a
chr1;42600000;42800000;6;a
chr1;42800000;43000000;0;a
chr1;43000000;43200000;22;a
chr1;43200000;43400000;24;a
