chr;start;end;stack
chr1;102663;104350;lncRNA
chr1;121233;123170;lncRNA
chr1;869350;881080;lncRNA
chr1;869357;881080;lncRNA
chr1;870145;881080;lncRNA
chr1;911853;916402;lncRNA
chr1;1074906;1076866;lncRNA
chr1;1800966;1804519;lncRNA
chr1;1802560;1804519;lncRNA
chr1;1993473;1997250;lncRNA
chr1;2037208;2044811;lncRNA
chr1;2654793;2662055;lncRNA
chr1;2654952;2662055;lncRNA
chr1;2654957;2662055;lncRNA
chr1;2654957;2686898;lncRNA
chr1;2667240;2669768;lncRNA
chr1;2667245;2669768;lncRNA
chr1;2667245;2695284;lncRNA
chr1;2667247;2669768;lncRNA
chr1;2667391;2669768;lncRNA
chr1;2667391;2695284;lncRNA
chr1;2667397;2695284;lncRNA
chr1;2667426;2695284;lncRNA
chr1;2692883;2695284;lncRNA
chr1;3407530;3411232;lncRNA
chr1;3407567;3411232;lncRNA
chr1;3408001;3411232;lncRNA
chr1;3420738;3470917;lncRNA
chr1;4291496;4319081;lncRNA
chr1;5006071;5015807;lncRNA
chr1;5007164;5015807;lncRNA
chr1;5007196;5015645;lncRNA
chr1;5007196;5015807;lncRNA
chr1;5007430;5015645;lncRNA
chr1;5007430;5015807;lncRNA
chr1;5007477;5015807;lncRNA
chr1;5011404;5015645;lncRNA
chr1;5065520;5075079;lncRNA
chr1;5065591;5075079;lncRNA
chr1;5065786;5075079;lncRNA
chr1;5065794;5075079;lncRNA
chr1;5545902;5554728;lncRNA
chr1;5545902;5608002;lncRNA
chr1;5546414;5554728;lncRNA
chr1;5546416;5554596;lncRNA
chr1;5546454;5554728;lncRNA
chr1;5546756;5554596;lncRNA
chr1;5597914;5608002;lncRNA
chr1;5598509;5608002;lncRNA
chr1;5598510;5608002;lncRNA
chr1;5598522;5608002;lncRNA
chr1;5598534;5608002;lncRNA
chr1;6012949;6018755;lncRNA
chr1;7280556;7291619;lncRNA
chr1;7280580;7291619;lncRNA
chr1;7280703;7291619;lncRNA
chr1;7330525;7347608;lncRNA
chr1;7330532;7347608;lncRNA
chr1;7330533;7347608;lncRNA
chr1;7330534;7341023;lncRNA
chr1;7460245;7461928;lncRNA
chr1;7490029;7559600;lncRNA
chr1;7558075;7560665;lncRNA
chr1;7601332;7606579;lncRNA
chr1;7945673;7984954;lncRNA
chr1;8235416;8317310;lncRNA
chr1;8235431;8317310;lncRNA
chr1;8678466;8809563;lncRNA
chr1;9228710;9247651;lncRNA
chr1;9480536;9482436;lncRNA
chr1;9817792;9820649;lncRNA
chr1;10204253;10216499;lncRNA
chr1;10204262;10216499;lncRNA
chr1;10204297;10216499;lncRNA
chr1;10204333;10216499;lncRNA
chr1;10204336;10216499;lncRNA
chr1;10392125;10396889;lncRNA
chr1;10395073;10396889;lncRNA
chr1;10739564;10747058;lncRNA
chr1;11287210;11291057;lncRNA
chr1;11302998;11307501;lncRNA
chr1;11421888;11425299;lncRNA
chr1;12706872;12711454;lncRNA
chr1;13148321;13153693;lncRNA
chr1;13906781;13912743;lncRNA
chr1;14449588;14452588;lncRNA
chr1;14449610;14452588;lncRNA
chr1;14449614;14452588;lncRNA
chr1;14449617;14452588;lncRNA
chr1;14939004;14940741;lncRNA
chr1;15138756;15142412;lncRNA
chr1;15138815;15142412;lncRNA
chr1;15172221;15174947;lncRNA
chr1;15303139;15312390;lncRNA
chr1;15303139;15314553;lncRNA
chr1;15303160;15314553;lncRNA
chr1;15303164;15312390;lncRNA
chr1;15303164;15314553;lncRNA
chr1;15303165;15312390;lncRNA
chr1;15303165;15314553;lncRNA
chr1;16511669;16523569;lncRNA
