chr;start;end;stack
chr1;988748;988831;tRNA
chr1;1108566;1108643;snoRNA
chr1;1108793;1108875;snoRNA
chr1;2122925;2122998;tRNA
chr1;3620331;3620402;tRNA
chr1;3621180;3621251;tRNA
chr1;4107870;4107942;tRNA
chr1;4108075;4108147;tRNA
chr1;4681510;4681581;tRNA
chr1;4687629;4687700;tRNA
chr1;4688924;4688995;tRNA
chr1;6824710;6824816;snoRNA
chr1;7362285;7362390;snoRNA
chr1;7679027;7679133;snoRNA
chr1;7908097;7908168;tRNA
chr1;9235937;9236008;tRNA
chr1;15670286;15670392;snoRNA
chr1;17742996;17743103;snoRNA
chr1;19101684;19101756;tRNA
chr1;21127043;21127115;tRNA
chr1;21464981;21465055;tRNA
chr1;22743316;22743388;tRNA
chr1;24110625;24110697;tRNA
chr1;25951377;25951449;tRNA
chr1;26064165;26064236;tRNA
chr1;26064296;26064378;tRNA
chr1;26380130;26380221;tRNA
chr1;27347352;27347423;tRNA
chr1;27885290;27885362;tRNA
chr1;28119125;28119196;tRNA
chr1;28309450;28309523;tRNA
chr1;28357795;28357866;tRNA
chr1;28672452;28672524;tRNA
chr1;28995110;28995183;tRNA
chr1;29100672;29100743;tRNA
chr1;29902365;29902438;tRNA
chr1;29933631;29933703;tRNA
chr1;30058665;30058746;tRNA
chr1;30138976;30139046;tRNA
chr1;30508043;30508113;tRNA
chr1;30508119;30508210;snoRNA
chr1;30592733;30592834;snoRNA
chr1;30627966;30628049;snoRNA
chr1;31209899;31209971;tRNA
chr1;31667676;31667748;tRNA
chr1;31908760;31908844;tRNA
chr1;32131742;32131815;tRNA
chr1;32415780;32415925;snoRNA
chr1;32454014;32454086;tRNA
chr1;32897288;32897358;tRNA
chr1;33336322;33336393;tRNA
chr1;34026567;34026648;tRNA
chr1;34129178;34129250;tRNA
chr1;34253137;34253208;tRNA
chr1;34510917;34511007;snoRNA
chr1;34552003;34552073;tRNA
chr1;34609585;34609658;tRNA
chr1;35572237;35572309;tRNA
chr3;831285;831364;tRNA
chr3;1598206;1598277;tRNA
chr3;2053145;2053216;snoRNA
chr3;2350762;2350833;tRNA
chr3;2350898;2350969;tRNA
chr3;2351036;2351107;tRNA
chr3;2765654;2765726;tRNA
chr3;3898964;3899058;snoRNA
chr3;3899291;3899385;snoRNA
chr3;3899503;3899604;snoRNA
chr3;3899682;3899791;snoRNA
