chr;start;end;value1;color;V6;V7
chr1;0;200000;0;a;0;0
chr1;200000;400000;49;a;0;0
chr1;400000;600000;42;a;0;0
chr1;600000;800000;46;a;0;0
chr1;800000;1000000;44;a;0;0
chr1;1000000;1200000;29;a;0;0
chr1;1200000;1400000;45;a;0;0
chr1;1400000;1600000;36;a;0;0
chr1;1600000;1800000;49;a;0;0
chr1;1800000;2000000;23;a;0;0
chr1;2000000;2200000;19;a;0;0
chr1;2200000;2400000;35;a;0;0
chr1;2400000;2600000;48;a;0;0
chr1;2600000;2800000;47;a;0;0
chr1;2800000;3000000;43;a;0;0
chr1;3000000;3200000;51;a;0;0
chr1;3200000;3400000;37;a;0;0
chr1;3400000;3600000;51;a;0;0
chr1;3600000;3800000;45;a;0;0
chr1;3800000;4000000;51;a;0;0
chr1;4000000;4200000;53;a;0;0
chr1;4200000;4400000;49;a;0;0
chr1;4400000;4600000;53;a;0;0
chr1;4600000;4800000;58;a;0;0
chr1;4800000;5000000;40;a;0;0
chr1;5000000;5200000;47;a;0;0
chr1;5200000;5400000;68;a;0;0
chr1;5400000;5600000;60;a;0;0
chr1;5600000;5800000;44;a;0;0
chr1;5800000;6000000;78;a;0;0
chr1;6000000;6200000;66;a;0;0
chr1;6200000;6400000;56;a;0;0
chr1;6400000;6600000;44;a;0;0
chr1;6600000;6800000;65;a;0;0
chr1;6800000;7000000;70;a;0;0
chr1;7000000;7200000;52;a;0;0
chr1;7200000;7400000;53;a;0;0
chr1;7400000;7600000;76;a;0;0
chr1;7600000;7800000;66;a;0;0
chr1;7800000;8000000;84;a;0;0
chr1;8000000;8200000;65;a;0;0
chr1;8200000;8400000;73;a;0;0
chr1;8400000;8600000;72;a;0;0
chr1;8600000;8800000;76;a;0;0
chr1;8800000;9000000;79;a;0;0
chr1;9000000;9200000;64;a;0;0
chr1;9200000;9400000;66;a;0;0
chr1;9400000;9600000;87;a;0;0
chr1;9600000;9800000;59;a;0;0
chr1;9800000;10000000;75;a;0;0
chr1;10000000;10200000;57;a;0;0
chr1;10200000;10400000;61;a;0;0
chr1;10400000;10600000;71;a;0;0
chr1;10600000;10800000;51;a;0;0
chr1;10800000;11000000;85;a;0;0
chr1;11000000;11200000;82;a;0;0
chr1;11200000;11400000;68;a;0;0
chr1;11400000;11600000;65;a;0;0
chr1;11600000;11800000;81;a;0;0
chr1;11800000;12000000;70;a;0;0
chr1;12000000;12200000;90;a;0;0
chr1;12200000;12400000;84;a;0;0
chr1;12400000;12600000;80;a;0;0
chr1;12600000;12800000;94;a;0;0
chr1;12800000;13000000;84;a;0;0
chr1;13000000;13200000;92;a;0;0
chr1;13200000;13400000;89;a;0;0
chr1;13400000;13600000;89;a;0;0
chr1;13600000;13800000;84;a;0;0
chr1;13800000;14000000;94;a;0;0
chr1;14000000;14200000;92;a;0;0
chr1;14200000;14400000;86;a;0;0
chr1;14400000;14600000;87;a;0;0
