chr;start;end;stack
chr1;102663;104350;RNA
chr1;121233;123170;RNA
chr1;869350;881080;RNA
chr1;869357;881080;RNA
chr1;870145;881080;RNA
chr1;911853;916402;RNA
chr1;1074906;1076866;RNA
chr1;1800966;1804519;RNA
chr1;1802560;1804519;RNA
chr1;1993473;1997250;RNA
chr1;2037208;2044811;RNA
chr1;2654793;2662055;RNA
chr1;2654952;2662055;RNA
chr1;2654957;2662055;RNA
chr1;2654957;2686898;RNA
chr1;2667240;2669768;RNA
chr1;2667245;2669768;RNA
chr1;2667245;2695284;RNA
chr1;2667247;2669768;RNA
chr1;2667391;2669768;RNA
chr1;2667391;2695284;RNA
chr1;2667397;2695284;RNA
chr1;2667426;2695284;RNA
chr1;2692883;2695284;RNA
chr1;3407530;3411232;RNA
chr1;3407567;3411232;RNA
chr1;3408001;3411232;RNA
chr1;3420738;3470917;RNA
chr1;4291496;4319081;RNA
chr1;5006071;5015807;RNA
chr1;5007164;5015807;RNA
chr1;5007196;5015645;RNA
chr1;5007196;5015807;RNA
chr1;5007430;5015645;RNA
chr1;5007430;5015807;RNA
chr1;5007477;5015807;RNA
chr1;5011404;5015645;RNA
chr1;5065520;5075079;RNA
chr1;5065591;5075079;RNA
chr1;5065786;5075079;RNA
chr1;5065794;5075079;RNA
chr1;5545902;5554728;RNA
chr1;5545902;5608002;RNA
chr1;5546414;5554728;RNA
chr1;5546416;5554596;RNA
chr1;5546454;5554728;RNA
chr1;5546756;5554596;RNA
chr1;5597914;5608002;RNA
chr1;5598509;5608002;RNA
chr1;5598510;5608002;RNA
chr1;5598522;5608002;RNA
chr1;5598534;5608002;RNA
chr1;6012949;6018755;RNA
chr1;7280556;7291619;RNA
chr1;7280580;7291619;RNA
chr1;7280703;7291619;RNA
chr1;7330525;7347608;RNA
chr1;7330532;7347608;RNA
chr1;7330533;7347608;RNA
chr1;7330534;7341023;RNA
chr1;7460245;7461928;RNA
chr1;7490029;7559600;RNA
chr1;7558075;7560665;RNA
chr1;7601332;7606579;RNA
chr1;7945673;7984954;RNA
chr1;8235416;8317310;RNA
chr1;8235431;8317310;RNA
chr1;8678466;8809563;RNA
chr1;9228710;9247651;RNA
chr1;9480536;9482436;RNA
chr1;9817792;9820649;RNA
chr1;10204253;10216499;RNA
chr1;10204262;10216499;RNA
chr1;10204297;10216499;RNA
chr1;10204333;10216499;RNA
chr1;10204336;10216499;RNA
chr1;10392125;10396889;RNA
chr1;10395073;10396889;RNA
chr1;10739564;10747058;RNA
chr1;11287210;11291057;RNA
chr1;11302998;11307501;RNA
chr1;11421888;11425299;RNA
chr1;12706872;12711454;RNA
chr1;13148321;13153693;RNA
chr1;13906781;13912743;RNA
chr1;14449588;14452588;RNA
chr1;14449610;14452588;RNA
chr1;14449614;14452588;RNA
chr1;14449617;14452588;RNA
chr1;14939004;14940741;RNA
chr1;15138756;15142412;RNA
chr1;15138815;15142412;RNA
chr1;15172221;15174947;RNA
chr1;15303139;15312390;RNA
chr1;15303139;15314553;RNA
chr1;15303160;15314553;RNA
chr1;15303164;15312390;RNA
chr1;15303164;15314553;RNA
chr1;15303165;15312390;RNA
chr1;15303165;15314553;RNA
chr1;16511669;16523569;RNA
chr1;17423703;17430228;RNA
chr1;17423772;17426599;RNA
chr1;17436576;17440501;RNA
chr1;17436620;17440501;RNA
chr1;17436637;17440501;RNA
chr1;17436645;17438240;RNA
chr1;18542758;18545946;RNA
chr1;20565090;20567831;RNA
chr1;20565145;20567831;RNA
chr1;20565152;20567831;RNA
chr1;20821776;20825757;RNA
chr1;21028062;21057838;RNA
chr1;22348908;22351172;RNA
chr1;22348928;22351172;RNA
chr1;23334770;23337787;RNA
chr1;23418045;23421857;RNA
chr1;25309992;25311635;RNA
chr1;30895635;30922288;RNA
chr1;30895653;30901114;RNA
chr1;30895659;30906516;RNA
chr1;31734936;31738844;RNA
chr1;32407652;32438702;RNA
chr1;32407661;32438702;RNA
chr1;32407685;32438702;RNA
chr1;32407696;32438702;RNA
chr1;32845047;32847152;RNA
chr1;36671444;36675937;RNA
chr1;36671445;36675937;RNA
chr1;37773689;37775616;RNA
chr1;38519919;38540023;RNA
chr1;38852148;38868905;RNA
chr1;38852505;38868905;RNA
chr1;40822104;40828386;RNA
chr1;40822121;40828386;RNA
chr1;40822122;40829395;RNA
chr1;40822146;40825785;RNA
chr1;43027402;43035252;RNA
chr1;44341841;44350690;RNA
chr1;44341841;44351247;RNA
