chr;start;end;stack
1;48081673;48081784;a
1;56876270;56876416;a
1;60731195;60731345;a
1;61344629;61344823;a
1;61344631;61344825;a
1;63882523;63882637;a
1;64137138;64137237;a
2;1221329;1221440;a
2;5642663;5642855;a
2;5642665;5642857;a
2;7374348;7374512;a
2;7374349;7374513;a
2;7855797;7855956;a
2;11713853;11713964;a
2;11713853;11713964;a
2;23262248;23262383;a
2;72518189;72518281;a
2;85079398;85079493;a
2;93873161;93873315;a
3;4110941;4111034;a
3;4722168;4722271;a
3;33583161;33583261;a
3;33583163;33583263;a
3;34407467;34407567;a
3;34407469;34407569;a
4;5093790;5093890;a
4;5093792;5093892;a
4;5517011;5517214;a
4;5629909;5630032;a
4;6005534;6005802;a
4;6658012;6658122;a
5;33865411;33865517;a
5;33921648;33921746;a
5;34061932;34062030;a
5;45953133;45953231;a
6;533414;533608;a
6;749510;749674;a
6;6080968;6081140;a
6;6810240;6810383;a
6;6846567;6846680;a
6;6846569;6846673;a
6;9952838;9952924;a
6;25129704;25129813;a
6;41489151;41489287;a
6;41489153;41489289;a
6;49574498;49574606;a
6;50516556;50516664;a
6;59082040;59082157;a
6;59098985;59099092;a
6;66234874;66234981;a
6;66234876;66234983;a
7;2441782;2441884;a
7;6537345;6537465;a
7;7686019;7686151;a
7;7686025;7686145;a
7;8748235;8748364;a
7;8748237;8748366;a
7;25966309;25966536;a
8;16000213;16000351;a
8;54915679;54915787;a
8;60536311;60536497;a
8;60536317;60536499;a
8;60798432;60798514;a
8;61548868;61549039;a
9;1294008;1294108;a
9;1294010;1294110;a
9;1698156;1698245;a
9;7048847;7049188;a
9;9843613;9843701;a
9;35446854;35446970;a
9;35447254;35447370;a
9;35462553;35462668;a
10;317035;317171;a
10;397509;397657;a
10;30589518;30589625;a
10;30589518;30589625;a
10;30636980;30637073;a
10;30639354;30639456;a
10;30639354;30639456;a
10;30642594;30642718;a
11;42856700;42856912;a
11;47517747;47517858;a
