chr;start;end;value1;color;V6;V7
1;0;200000;0;a;0;0
1;200000;400000;54;a;0;0
1;400000;600000;48;a;0;0
1;600000;800000;22;a;0;0
1;800000;1000000;27;a;0;0
1;1000000;1200000;38;a;0;0
1;1200000;1400000;13;a;0;0
1;1400000;1600000;18;a;0;0
1;1600000;1800000;13;a;0;0
1;1800000;2000000;34;a;0;0
1;2000000;2200000;51;a;0;0
1;2200000;2400000;24;a;0;0
1;2400000;2600000;17;a;0;0
1;2600000;2800000;1;a;0;0
1;2800000;3000000;22;a;0;0
1;3000000;3200000;5;a;0;0
1;3200000;3400000;12;a;0;0
1;3400000;3600000;5;a;0;0
1;3600000;3800000;12;a;0;0
1;3800000;4000000;4;a;0;0
1;4000000;4200000;1;a;0;0
1;4200000;4400000;11;a;0;0
1;4400000;4600000;95;a;0;0
1;4600000;4800000;100;a;0;0
1;4800000;5000000;55;a;0;0
1;5000000;5200000;24;a;0;0
1;5200000;5400000;38;a;0;0
1;5400000;5600000;8;a;0;0
1;5600000;5800000;27;a;0;0
1;5800000;6000000;32;a;0;0
1;6000000;6200000;21;a;0;0
1;6200000;6400000;20;a;0;0
1;6400000;6600000;18;a;0;0
1;6600000;6800000;24;a;0;0
1;6800000;7000000;33;a;0;0
1;7000000;7200000;18;a;0;0
1;7200000;7400000;20;a;0;0
1;7400000;7600000;31;a;0;0
1;7600000;7800000;61;a;0;0
1;7800000;8000000;100;a;0;0
1;8000000;8200000;100;a;0;0
1;8200000;8400000;100;a;0;0
1;8400000;8600000;100;a;0;0
1;8600000;8800000;100;a;0;0
1;8800000;9000000;100;a;0;0
1;9000000;9200000;100;a;0;0
1;9200000;9400000;100;a;0;0
1;9400000;9600000;100;a;0;0
1;9600000;9800000;52;a;0;0
1;9800000;10000000;23;a;0;0
1;10000000;10200000;12;a;0;0
1;10200000;10400000;7;a;0;0
1;10400000;10600000;32;a;0;0
1;10600000;10800000;24;a;0;0
1;10800000;11000000;23;a;0;0
1;11000000;11200000;36;a;0;0
1;11200000;11400000;9;a;0;0
1;11400000;11600000;29;a;0;0
1;11600000;11800000;1;a;0;0
1;11800000;12000000;6;a;0;0
1;12000000;12200000;0;a;0;0
1;12200000;12400000;0;a;0;0
1;12400000;12600000;12;a;0;0
1;12600000;12800000;29;a;0;0
1;12800000;13000000;0;a;0;0
1;13000000;13200000;8;a;0;0
1;13200000;13400000;0;a;0;0
1;13400000;13600000;0;a;0;0
1;13600000;13800000;2;a;0;0
1;13800000;14000000;19;a;0;0
1;14000000;14200000;27;a;0;0
1;14200000;14400000;4;a;0;0
1;14400000;14600000;2;a;0;0
1;14600000;14800000;32;a;0;0
