chr;start;end;value1;color;V6;V7
chr2;0;200000;0;a;0;0
chr2;200000;400000;9;a;0;0
chr2;400000;600000;10;a;0;0
chr2;600000;800000;14;a;0;0
chr2;800000;1000000;7;a;0;0
chr2;1000000;1200000;31;a;0;0
chr2;1200000;1400000;22;a;0;0
chr2;1400000;1600000;25;a;0;0
chr2;1600000;1800000;59;a;0;0
chr2;1800000;2000000;16;a;0;0
chr2;2000000;2200000;15;a;0;0
chr2;2200000;2400000;27;a;0;0
chr2;2400000;2600000;24;a;0;0
chr2;2600000;2800000;27;a;0;0
chr2;2800000;3000000;26;a;0;0
chr2;3000000;3200000;32;a;0;0
chr2;3200000;3400000;21;a;0;0
chr2;3400000;3600000;29;a;0;0
chr2;3600000;3800000;17;a;0;0
chr2;3800000;4000000;29;a;0;0
chr2;4000000;4200000;37;a;0;0
chr2;4200000;4400000;44;a;0;0
chr2;4400000;4600000;27;a;0;0
chr2;4600000;4800000;33;a;0;0
chr2;4800000;5000000;43;a;0;0
chr2;5000000;5200000;25;a;0;0
chr2;5200000;5400000;17;a;0;0
chr2;5400000;5600000;39;a;0;0
chr2;5600000;5800000;46;a;0;0
chr2;5800000;6000000;58;a;0;0
chr2;6000000;6200000;48;a;0;0
chr2;6200000;6400000;60;a;0;0
chr2;6400000;6600000;32;a;0;0
chr2;6600000;6800000;37;a;0;0
chr2;6800000;7000000;51;a;0;0
chr2;7000000;7200000;47;a;0;0
chr2;7200000;7400000;26;a;0;0
chr2;7400000;7600000;55;a;0;0
chr2;7600000;7800000;45;a;0;0
chr2;7800000;8000000;85;a;0;0
chr2;8000000;8200000;61;a;0;0
chr2;8200000;8400000;64;a;0;0
chr2;8400000;8600000;66;a;0;0
chr2;8600000;8800000;47;a;0;0
chr2;8800000;9000000;53;a;0;0
chr2;9000000;9200000;62;a;0;0
chr2;9200000;9400000;52;a;0;0
chr2;9400000;9600000;77;a;0;0
chr2;9600000;9800000;64;a;0;0
chr2;9800000;10000000;62;a;0;0
chr2;10000000;10200000;36;a;0;0
chr2;10200000;10400000;35;a;0;0
chr2;10400000;10600000;57;a;0;0
chr2;10600000;10800000;49;a;0;0
chr2;10800000;11000000;50;a;0;0
chr2;11000000;11200000;61;a;0;0
chr2;11200000;11400000;65;a;0;0
chr2;11400000;11600000;70;a;0;0
chr2;11600000;11800000;51;a;0;0
chr2;11800000;12000000;70;a;0;0
chr2;12000000;12200000;94;a;0;0
chr2;12200000;12400000;90;a;0;0
chr2;12400000;12600000;74;a;0;0
chr2;12600000;12800000;97;a;0;0
chr2;12800000;13000000;89;a;0;0
chr2;13000000;13200000;95;a;0;0
chr2;13200000;13400000;53;a;0;0
chr2;13400000;13600000;84;a;0;0
chr2;13600000;13800000;95;a;0;0
chr2;13800000;14000000;90;a;0;0
chr2;14000000;14200000;96;a;0;0
chr2;14200000;14400000;88;a;0;0
chr2;14400000;14600000;76;a;0;0
chr2;14600000;14800000;93;a;0;0
chr2;14800000;15000000;96;a;0;0
chr2;15000000;15200000;92;a;0;0
chr2;15200000;15400000;95;a;0;0
chr2;15400000;15600000;97;a;0;0
chr2;15600000;15800000;96;a;0;0
chr2;15800000;16000000;90;a;0;0
chr2;16000000;16200000;92;a;0;0
chr2;16200000;16400000;90;a;0;0
chr2;16400000;16600000;97;a;0;0
chr2;16600000;16800000;97;a;0;0
chr2;16800000;17000000;70;a;0;0
chr2;17000000;17200000;91;a;0;0
chr2;17200000;17400000;94;a;0;0
chr2;17400000;17600000;56;a;0;0
