chr;start;end;stack
chr1;221924;225975;RNA
chr1;222142;225975;RNA
chr1;511502;519011;RNA
chr1;704269;710241;RNA
chr1;704374;710241;RNA
chr1;705284;710241;RNA
chr1;942918;944528;RNA
chr1;988705;998134;RNA
chr1;989190;998134;RNA
chr1;989192;998134;RNA
chr1;989659;998134;RNA
chr1;1258314;1261860;RNA
chr1;1258442;1261860;RNA
chr1;1258477;1261860;RNA
chr1;1874851;1876726;RNA
chr1;2239662;2250343;RNA
chr1;2239683;2250343;RNA
chr1;2780173;2782152;RNA
chr1;2966318;2978980;RNA
chr1;2966332;2978980;RNA
chr1;3015321;3032694;RNA
chr1;3015335;3032694;RNA
chr1;3015336;3032694;RNA
chr1;3015342;3032694;RNA
chr1;3015392;3032694;RNA
chr1;3015634;3032694;RNA
chr1;3015649;3032694;RNA
chr1;3981135;3986936;RNA
chr1;4073540;4085931;RNA
chr1;4073615;4085931;RNA
chr1;4073633;4085931;RNA
chr1;4073721;4085931;RNA
chr1;4497426;4503649;RNA
chr1;5456389;5476393;RNA
chr1;5467326;5476393;RNA
chr1;6394821;6401013;RNA
chr1;8254000;8256906;RNA
chr1;9852467;9860391;RNA
chr1;14523381;14558215;RNA
chr1;14550447;14558215;RNA
chr1;19296490;19299748;RNA
chr1;19313161;19318719;RNA
chr1;20027842;20032564;RNA
chr1;20203384;20206769;RNA
chr1;20296014;20297884;RNA
chr1;20303398;20309588;RNA
chr1;20317934;20320917;RNA
chr1;20840224;20850595;RNA
chr1;21142227;21145890;RNA
chr1;21171056;21174870;RNA
chr1;21171057;21205827;RNA
chr1;21235639;21241028;RNA
chr1;21235642;21241028;RNA
chr1;21544230;21554641;RNA
chr1;21544266;21554641;RNA
chr1;21544354;21554641;RNA
chr1;21549014;21554641;RNA
chr1;21549246;21554641;RNA
chr1;21790617;21794779;RNA
chr1;23321589;23325534;RNA
chr1;23997240;23999368;RNA
chr1;24285351;24345352;RNA
chr1;24285351;24400059;RNA
chr1;24342600;24345352;RNA
chr1;24398304;24400059;RNA
chr1;24432764;24511165;RNA
chr1;24589819;24596690;RNA
chr1;24589827;24596690;RNA
chr1;25425052;25432932;RNA
chr1;25425068;25432932;RNA
chr1;25425072;25432932;RNA
chr1;25425103;25432932;RNA
chr1;25552087;25554284;RNA
chr1;25683368;25685523;RNA
chr1;25822339;25824908;RNA
chr1;26020631;26022462;RNA
chr1;26139202;26140819;RNA
chr1;26247536;26249192;RNA
chr1;26299214;26301939;RNA
chr1;26619600;26626286;RNA
chr1;26834587;26836225;RNA
chr1;26981692;26988014;RNA
chr1;27005234;27014776;RNA
chr1;27005252;27014776;RNA
chr1;27005281;27014776;RNA
chr1;27005364;27014776;RNA
chr1;27006216;27014776;RNA
chr1;27218067;27223741;RNA
chr1;27702599;27706447;RNA
chr1;27702620;27706447;RNA
chr1;27959483;27961293;RNA
chr1;27959591;27961787;RNA
chr1;28164190;28166032;RNA
chr1;28348606;28355069;RNA
chr1;28457588;28460013;RNA
chr1;28711401;28715100;RNA
chr1;28775752;28777856;RNA
chr1;29247526;29255348;RNA
chr1;29247536;29255348;RNA
chr1;29337956;29341748;RNA
chr1;29421544;29425117;RNA
chr1;29600032;29605167;RNA
chr1;30585266;30587804;RNA
chr1;30585267;30587804;RNA
chr1;30812297;30814823;RNA
chr1;30845963;30849540;RNA
chr1;30845996;30849540;RNA
chr1;31172647;31175803;RNA
chr1;31367780;31373080;RNA
chr1;31844732;31849403;RNA
chr1;32156608;32170624;RNA
chr1;32159271;32170624;RNA
chr1;32399853;32408631;RNA
chr1;32399863;32408631;RNA
chr1;32399900;32408631;RNA
chr1;32400131;32406812;RNA
chr1;32586147;32593128;RNA
chr1;32749554;32751276;RNA
chr1;32966505;32968653;RNA
chr1;33100337;33106427;RNA
chr1;33533191;33536985;RNA
chr1;33537174;33538916;RNA
chr1;33800327;33802865;RNA
chr1;33800327;33803519;RNA
chr1;33800477;33802865;RNA
chr1;33808534;33814857;RNA
chr1;33937816;33941312;RNA
chr1;33937816;33942932;RNA
chr1;33937945;33942932;RNA
chr1;34145863;34159506;RNA
chr1;34145884;34159506;RNA
chr1;34238290;34241010;RNA
chr1;34492301;34499286;RNA
chr1;34695915;34701652;RNA
chr1;34695929;34701652;RNA
chr1;34695950;34701652;RNA
chr1;34695963;34701652;RNA
chr1;34784137;34786831;RNA
chr1;34784963;34786831;RNA
chr1;34784977;34786831;RNA
chr1;34841453;34845051;RNA
chr1;34852071;34855073;RNA
chr1;34935281;34937674;RNA
chr1;34935286;34937674;RNA
chr1;35390405;35392575;RNA
chr1;35526928;35529013;RNA
chr1;35596722;35600905;RNA
chr1;35597207;35600905;RNA
chr3;161233;165432;RNA
chr3;161301;165432;RNA
chr3;876472;879259;RNA
chr3;1392673;1401163;RNA
chr3;1394036;1401163;RNA
chr3;1394195;1401163;RNA
chr3;1853426;1855648;RNA
chr3;1888687;1890395;RNA
chr3;2130462;2136631;RNA
chr3;2130510;2136631;RNA
chr3;2130513;2135936;RNA
chr3;2371262;2375679;RNA
chr3;2575258;2578392;RNA
chr3;2575259;2578392;RNA
chr3;2575292;2578392;RNA
chr3;2646263;2651297;RNA
chr3;2704824;2707183;RNA
chr3;2721000;2725269;RNA
chr3;2721002;2723667;RNA
chr3;2721002;2725269;RNA
chr3;2984218;2986875;RNA
chr3;3355917;3362853;RNA
chr3;3461953;3503337;RNA
chr3;3498797;3502044;RNA
chr3;4142845;4146181;RNA
chr3;4267509;4269509;RNA
chr3;4624012;4628055;RNA
chr3;4800435;4806469;RNA
chr3;5122304;5124315;RNA
chr3;5122435;5124304;RNA
chr3;5634724;5637664;RNA
chr3;5637636;5643310;RNA
chr3;5796836;5800471;RNA
chr3;5984365;5989884;RNA
chr3;5984367;5989884;RNA
chr3;5984416;5989884;RNA
chr3;5984457;5989884;RNA
chr3;5984482;5989884;RNA
chr3;5984484;5989884;RNA
chr3;5984515;5989884;RNA
chr3;6710275;6712604;RNA
chr3;6861399;6863254;RNA
chr3;6947699;6949311;RNA
chr3;7235456;7239243;RNA
chr3;7235516;7239243;RNA
chr3;7235519;7239243;RNA
chr3;7609193;7614082;RNA
chr3;7734133;7735733;RNA
chr3;7892466;7899265;RNA
chr3;8108602;8110551;RNA
chr3;8154729;8164140;RNA
chr3;8233332;8235463;RNA
chr3;8346097;8350864;RNA
chr3;8346419;8350864;RNA
chr3;8969411;8973105;RNA
chr3;8969417;8973032;RNA
chr3;8969417;8973105;RNA
chr3;8969420;8973105;RNA
chr3;9121369;9128827;RNA
chr3;9121383;9128827;RNA
chr3;9123033;9128827;RNA
chr3;9124251;9128827;RNA
chr3;9511282;9517325;RNA
chr3;9511292;9517325;RNA
chr3;10372438;10374850;RNA
chr3;10646348;10651935;RNA
chr3;11146888;11149306;RNA
chr3;11246344;11252284;RNA
chr3;11246350;11252284;RNA
chr3;11246357;11252284;RNA
chr3;11830843;11840011;RNA
chr3;11831178;11840011;RNA
chr3;11836403;11840011;RNA
chr3;12303748;12307681;RNA
chr3;12359762;12364956;RNA
chr3;12439220;12442730;RNA
chr3;12917551;12919828;RNA
chr3;13535710;13539775;RNA
chr3;13874036;13878822;RNA
chr3;14045396;14047994;RNA
chr3;14045501;14047994;RNA
chr3;14045636;14047994;RNA
chr3;14817550;14819293;RNA
chr3;15305276;15321106;RNA
chr3;15332036;15335680;RNA
chr3;15499619;15501871;RNA
chr3;15670908;15696913;RNA
chr3;15670913;15685822;RNA
chr3;15671633;15674158;RNA
chr3;15682659;15696913;RNA
chr3;15692961;15696913;RNA
chr3;15692968;15696913;RNA
chr3;15760537;15766549;RNA
chr3;15760556;15766549;RNA
chr3;15767067;15769392;RNA
chr3;15866371;15868417;RNA
chr3;15903081;15905449;RNA
chr3;15903100;15905449;RNA
chr3;15975378;15977757;RNA
chr3;16014741;16016477;RNA
chr3;16014793;16016477;RNA
chr3;16233158;16236241;RNA
chr3;16233164;16236241;RNA
chr3;16355565;16357590;RNA
chr3;16445337;16448553;RNA
chr3;16445606;16448086;RNA
chr3;16449605;16452085;RNA
chr3;16449613;16452085;RNA
chr3;16449645;16452085;RNA
chr3;16836512;16838731;RNA
chr3;16921083;16925096;RNA
chr3;17512592;17515094;RNA
chr3;17512592;17520601;RNA
chr3;17844887;17851959;RNA
chr3;18129069;18135159;RNA
chr3;18172192;18175572;RNA
chr3;18282884;18285075;RNA
chr3;19127413;19132024;RNA
chr3;19171700;19182325;RNA
chr3;19434880;19437032;RNA
chr3;19434950;19437032;RNA
chr3;19843901;19851483;RNA
chr3;19843902;19851483;RNA
chr3;19845786;19851483;RNA
chr3;20153505;20155977;RNA
chr3;20153564;20155977;RNA
chr3;20248043;20262070;RNA
chr3;20401004;20406870;RNA
chr3;20401009;20406870;RNA
chr3;20453257;20459964;RNA
chr3;20550409;20554662;RNA
chr3;20550419;20570456;RNA
chr3;20566114;20570456;RNA
chr3;20650034;20655628;RNA
chr3;20800521;20819462;RNA
chr3;20800632;20819462;RNA
chr3;20902687;20905478;RNA
chr3;21014456;21021767;RNA
chr3;21052411;21056062;RNA
chr3;22240041;22243239;RNA
chr3;22307643;22325162;RNA
chr3;22307711;22325162;RNA
chr3;22578800;22584227;RNA
chr3;22579075;22584227;RNA
chr3;22713884;22717320;RNA
chr3;22901606;22906237;RNA
chr3;23238063;23239661;RNA
chr3;23342970;23348498;RNA
chr3;23342977;23348498;RNA
chr3;23379414;23387198;RNA
chr3;23406513;23412347;RNA
chr3;23426054;23430230;RNA
chr3;23426058;23430230;RNA
chr3;23426060;23430230;RNA
chr3;23681122;23686134;RNA
chr3;23697094;23710514;RNA
chr3;23697125;23710514;RNA
chr3;23697126;23710514;RNA
chr3;23819211;23824809;RNA
chr3;24387672;24422768;RNA
chr3;24653938;24660499;RNA
chr3;24859441;24878912;RNA
chr3;25517505;25520373;RNA
chr3;25517546;25520373;RNA
chr3;25658504;25665416;RNA
chr3;25757314;25764057;RNA
chr3;25774993;25776831;RNA
chr3;26230253;26234308;RNA
chr3;26273684;26276519;RNA
chr3;26353986;26356132;RNA
chr3;26354005;26356132;RNA
chr3;26388597;26390916;RNA
chr3;26388688;26390916;RNA
chr3;26599378;26607020;RNA
chr3;27611270;27613531;RNA
chr3;27753051;27754920;RNA
chr3;28736279;28738312;RNA
chr3;29222018;29228535;RNA
chr3;30810511;30824310;RNA
chr3;31935437;31939260;RNA
chr3;31948119;31950792;RNA
chr3;31989826;31994801;RNA
chr3;32351960;32353803;RNA
chr3;32354662;32356501;RNA
chr3;32441811;32445385;RNA
chr3;32620890;32623480;RNA
chr3;32620910;32623480;RNA
chr3;32620963;32623480;RNA
chr3;33220897;33224070;RNA
chr3;33224812;33227913;RNA
chr3;34753779;34761146;RNA
