chr;start;end;stack
chr1;334098;336522;lncRNA
chr1;407195;477836;lncRNA
chr1;908467;911665;lncRNA
chr1;1002603;1004197;lncRNA
chr1;1096507;1108448;lncRNA
chr1;1096670;1108448;lncRNA
chr1;1138283;1142746;lncRNA
chr1;1750531;1752109;lncRNA
chr1;2061352;2063488;lncRNA
chr1;2725750;2727329;lncRNA
chr1;2833814;2841255;lncRNA
chr1;2833815;2841255;lncRNA
chr1;6428007;6435232;lncRNA
chr1;6428032;6435232;lncRNA
chr1;6428348;6435232;lncRNA
chr1;6428373;6435232;lncRNA
chr1;6870374;6879808;lncRNA
chr1;7379686;7381618;lncRNA
chr1;7382576;7399837;lncRNA
chr1;7382639;7399837;lncRNA
chr1;7697072;7717354;lncRNA
chr1;7811129;7853005;lncRNA
chr1;7853102;7857795;lncRNA
chr1;8700970;9102040;lncRNA
chr1;8736702;8740534;lncRNA
chr1;10511437;10514486;lncRNA
chr1;10704914;10706574;lncRNA
chr1;11067696;11075602;lncRNA
chr1;12420100;12441232;lncRNA
chr1;12420160;12441232;lncRNA
chr1;12715362;12723560;lncRNA
chr1;14030202;14036125;lncRNA
chr1;16058595;16061560;lncRNA
chr1;16058624;16061560;lncRNA
chr1;16360189;16365220;lncRNA
chr1;17390275;17399501;lncRNA
chr1;17911583;17916133;lncRNA
chr1;17911590;17916133;lncRNA
chr1;20834538;20836191;lncRNA
chr1;25135648;25137237;lncRNA
chr1;33902849;33907351;lncRNA
chr1;35579620;35610602;lncRNA
chr1;35579678;35610602;lncRNA
chr1;35579712;35610602;lncRNA
chr1;36823827;36826224;lncRNA
chr1;43045359;43047203;lncRNA
chr1;43383402;43384987;lncRNA
chr1;47773435;47776685;lncRNA
chr1;47790192;47795622;lncRNA
chr1;48203500;48220907;lncRNA
chr1;48575432;48578918;lncRNA
chr1;48575433;48578918;lncRNA
chr1;49044173;49046655;lncRNA
chr1;49883298;49885429;lncRNA
chr1;50019775;50055309;lncRNA
chr1;50019807;50055309;lncRNA
chr1;50113911;50119282;lncRNA
chr1;50113913;50119282;lncRNA
chr1;50431953;50442073;lncRNA
chr1;50431959;50442073;lncRNA
chr1;50431967;50442073;lncRNA
chr1;50693599;50703277;lncRNA
chr1;50693599;50708033;lncRNA
chr1;52010016;52014692;lncRNA
chr1;52010071;52014692;lncRNA
chr1;53053836;53056304;lncRNA
chr1;53986906;53989628;lncRNA
chr1;53986927;53989628;lncRNA
chr1;54547841;54615569;lncRNA
chr1;55177216;55185051;lncRNA
chr1;55177295;55185051;lncRNA
chr1;55687060;55688748;lncRNA
chr1;55695182;55715630;lncRNA
chr1;56172972;56175688;lncRNA
chr1;57185199;57191696;lncRNA
chr1;57577731;57586932;lncRNA
chr1;57577827;57585617;lncRNA
chr1;57577827;57586261;lncRNA
chr1;57577864;57586397;lncRNA
chr1;58349577;58353436;lncRNA
chr1;58349616;58353436;lncRNA
