chr;start;end;stack
chr1;21671012;21671123;miRNA
chr1;26643580;26643726;miRNA
chr1;30166938;30167088;miRNA
chr1;30755617;30755810;miRNA
chr1;33044243;33044357;miRNA
chr1;33328549;33328648;miRNA
chr3;916839;916950;miRNA
chr3;4144204;4144396;miRNA
chr3;4144206;4144398;miRNA
chr3;5657533;5657684;miRNA
chr3;5657534;5657685;miRNA
chr3;6179339;6179498;miRNA
chr3;9074736;9074847;miRNA
chr3;9074736;9074847;miRNA
chr3;13657264;13657369;miRNA
chr3;13657264;13657369;miRNA
chr3;13703002;13703104;miRNA
chr3;13703002;13703104;miRNA
chr3;13706217;13706341;miRNA
chr3;19836769;19836915;miRNA
chr3;45752118;45752210;miRNA
chr3;53129907;53130002;miRNA
chr3;58196277;58196431;miRNA
chr5;3442450;3442543;miRNA
chr5;3969437;3969540;miRNA
chr5;20538019;20538119;miRNA
chr5;20538021;20538121;miRNA
chr7;4804656;4804756;miRNA
chr7;4804658;4804758;miRNA
chr7;5223037;5223240;miRNA
chr7;5341567;5341690;miRNA
chr7;5752989;5753259;miRNA
chr7;6353723;6353839;miRNA
chr9;22086931;22087037;miRNA
chr9;22145324;22145422;miRNA
chr9;30770674;30770772;miRNA
chr9;30770676;30770774;miRNA
chr11;294623;294826;miRNA
chr11;5783311;5783483;miRNA
chr11;6284668;6284807;miRNA
chr11;6323770;6323887;miRNA
chr11;6323772;6323880;miRNA
chr11;9263384;9263470;miRNA
chr11;30027244;30027352;miRNA
chr11;35680628;35680745;miRNA
chr11;35697381;35697488;miRNA
chr11;38895145;38895252;miRNA
chr11;38895147;38895254;miRNA
chr13;1327825;1327926;miRNA
chr13;5090893;5091013;miRNA
chr13;6197605;6197737;miRNA
chr13;6197611;6197731;miRNA
chr13;7154481;7154611;miRNA
chr13;7154483;7154613;miRNA
chr13;17977072;17977299;miRNA
chr15;7953295;7953433;miRNA
chr15;25512666;25512774;miRNA
chr15;29436223;29436409;miRNA
chr15;29436229;29436411;miRNA
chr15;29688255;29688337;miRNA
chr17;1086305;1086405;miRNA
chr17;1086307;1086407;miRNA
chr17;1496143;1496232;miRNA
chr17;5569090;5569431;miRNA
chr17;7081606;7081694;miRNA
chr19;759165;759301;miRNA
chr19;836344;836492;miRNA
chr19;836346;836494;miRNA
chr19;19923517;19923584;miRNA
chr21;22741222;22741434;miRNA
chr21;26108043;26108291;miRNA
chr21;27646616;27646830;miRNA
