chr	start	end	valeu1	color	V6	V7
sq0002	0	100000	0	a	0	0
sq0002	100000	200000	10	a	0	0
sq0002	200000	300000	0	a	0	0
sq0002	300000	400000	10	a	0	0
sq0002	400000	500000	0	a	0	0
sq0002	500000	600000	0	a	0	0
sq0002	600000	700000	0	a	0	0
sq0002	700000	800000	0	a	0	0
sq0002	800000	900000	0	a	0	0
sq0002	900000	1000000	30	a	0	0
sq0002	1000000	1100000	0	a	0	0
sq0002	1100000	1200000	0	a	0	0
sq0002	1200000	1300000	0	a	0	0
sq0002	1300000	1400000	30	a	0	0
sq0002	1400000	1500000	10	a	0	0
sq0002	1500000	1600000	40	a	0	0
sq0002	1600000	1700000	0	a	0	0
sq0002	1700000	1800000	30	a	0	0
sq0002	1800000	1900000	0	a	0	0
sq0002	1900000	2000000	0	a	0	0
sq0002	2000000	2100000	20	a	0	0
sq0002	2100000	2200000	0	a	0	0
sq0002	2200000	2300000	10	a	0	0
sq0002	2300000	2400000	20	a	0	0
sq0002	2400000	2500000	0	a	0	0
sq0002	2500000	2600000	10	a	0	0
sq0002	2600000	2700000	10	a	0	0
sq0002	2700000	2800000	20	a	0	0
sq0002	2800000	2900000	30	a	0	0
sq0002	2900000	3000000	10	a	0	0
sq0002	3000000	3100000	10	a	0	0
sq0002	3100000	3200000	10	a	0	0
sq0002	3200000	3300000	30	a	0	0
sq0002	3300000	3400000	20	a	0	0
sq0002	3400000	3500000	20	a	0	0
sq0002	3500000	3600000	20	a	0	0
sq0002	3600000	3700000	0	a	0	0
sq0002	3700000	3800000	30	a	0	0
sq0002	3800000	3900000	10	a	0	0
sq0002	3900000	4000000	20	a	0	0
sq0002	4000000	4100000	20	a	0	0
sq0002	4100000	4200000	20	a	0	0
sq0002	4200000	4300000	10	a	0	0
sq0002	4300000	4400000	20	a	0	0
sq0002	4400000	4500000	0	a	0	0
sq0002	4500000	4600000	30	a	0	0
sq0002	4600000	4700000	20	a	0	0
sq0002	4700000	4800000	0	a	0	0
sq0002	4800000	4900000	40	a	0	0
sq0002	4900000	5000000	20	a	0	0
sq0002	5000000	5100000	30	a	0	0
sq0002	5100000	5200000	0	a	0	0
sq0002	5200000	5300000	40	a	0	0
sq0002	5300000	5400000	0	a	0	0
sq0002	5400000	5500000	0	a	0	0
sq0002	5500000	5600000	10	a	0	0
sq0002	5600000	5700000	20	a	0	0
sq0002	5700000	5800000	50	a	0	0
sq0002	5800000	5900000	30	a	0	0
sq0002	5900000	6000000	10	a	0	0
sq0002	6000000	6100000	0	a	0	0
sq0002	6100000	6200000	10	a	0	0
sq0002	6200000	6300000	10	a	0	0
sq0002	6300000	6400000	10	a	0	0
sq0002	6400000	6500000	0	a	0	0
sq0002	6500000	6600000	10	a	0	0
sq0002	6600000	6700000	20	a	0	0
sq0002	6700000	6800000	10	a	0	0
sq0002	6800000	6900000	60	a	0	0
sq0002	6900000	7000000	0	a	0	0
sq0002	7000000	7100000	20	a	0	0
sq0002	7100000	7200000	20	a	0	0
sq0002	7200000	7300000	10	a	0	0
sq0002	7300000	7400000	10	a	0	0
sq0002	7400000	7500000	30	a	0	0
sq0002	7500000	7600000	10	a	0	0
sq0002	7600000	7700000	40	a	0	0
sq0002	7700000	7800000	10	a	0	0
sq0002	7800000	7900000	20	a	0	0
sq0002	7900000	8000000	0	a	0	0
sq0002	8000000	8100000	20	a	0	0
sq0002	8100000	8200000	10	a	0	0
sq0002	8200000	8300000	10	a	0	0
sq0002	8300000	8400000	30	a	0	0
sq0002	8400000	8500000	0	a	0	0
sq0002	8500000	8600000	10	a	0	0
sq0002	8600000	8700000	20	a	0	0
sq0002	8700000	8800000	20	a	0	0
sq0002	8800000	8900000	0	a	0	0
sq0002	8900000	9000000	30	a	0	0
sq0002	9000000	9100000	20	a	0	0
sq0002	9100000	9200000	40	a	0	0
sq0002	9200000	9300000	10	a	0	0
sq0002	9300000	9400000	20	a	0	0
sq0002	9400000	9500000	10	a	0	0
sq0002	9500000	9600000	30	a	0	0
sq0002	9600000	9700000	30	a	0	0
sq0002	9700000	9800000	0	a	0	0
sq0002	9800000	9900000	20	a	0	0
sq0002	9900000	10000000	10	a	0	0
sq0002	10000000	10100000	10	a	0	0
sq0002	10100000	10200000	30	a	0	0
sq0002	10200000	10300000	20	a	0	0
sq0002	10300000	10400000	10	a	0	0
sq0002	10400000	10500000	0	a	0	0
sq0002	10500000	10600000	0	a	0	0
sq0002	10600000	10700000	20	a	0	0
sq0002	10700000	10800000	10	a	0	0
sq0002	10800000	10900000	20	a	0	0
sq0002	10900000	11000000	30	a	0	0
sq0002	11000000	11100000	30	a	0	0
sq0002	11100000	11200000	10	a	0	0
sq0002	11200000	11300000	10	a	0	0
sq0002	11300000	11400000	10	a	0	0
sq0002	11400000	11500000	10	a	0	0
sq0002	11500000	11600000	20	a	0	0
sq0002	11600000	11700000	40	a	0	0
sq0002	11700000	11800000	20	a	0	0
sq0002	11800000	11900000	10	a	0	0
sq0002	11900000	12000000	0	a	0	0
sq0002	12000000	12100000	0	a	0	0
sq0002	12100000	12200000	0	a	0	0
sq0002	12200000	12300000	30	a	0	0
sq0002	12300000	12400000	10	a	0	0
sq0002	12400000	12500000	0	a	0	0
sq0002	12500000	12600000	0	a	0	0
sq0002	12600000	12700000	10	a	0	0
sq0002	12700000	12800000	20	a	0	0
sq0002	12800000	12900000	0	a	0	0
sq0002	12900000	13000000	10	a	0	0
sq0002	13000000	13100000	0	a	0	0
sq0002	13100000	13200000	10	a	0	0
sq0002	13200000	13300000	20	a	0	0
sq0002	13300000	13400000	0	a	0	0
sq0002	13400000	13500000	0	a	0	0
sq0002	13500000	13600000	30	a	0	0
sq0002	13600000	13700000	10	a	0	0
sq0002	13700000	13800000	10	a	0	0
sq0002	13800000	13900000	20	a	0	0
sq0002	13900000	14000000	0	a	0	0
sq0002	14000000	14100000	10	a	0	0
sq0002	14100000	14200000	10	a	0	0
sq0002	14200000	14300000	0	a	0	0
sq0002	14300000	14400000	0	a	0	0
sq0002	14400000	14500000	30	a	0	0
sq0002	14500000	14600000	20	a	0	0
sq0002	14600000	14700000	40	a	0	0
sq0002	14700000	14800000	0	a	0	0
sq0002	14800000	14900000	10	a	0	0
sq0002	14900000	15000000	0	a	0	0
sq0002	15000000	15100000	10	a	0	0
sq0002	15100000	15200000	0	a	0	0
sq0002	15200000	15300000	10	a	0	0
sq0002	15300000	15400000	0	a	0	0
sq0002	15400000	15500000	0	a	0	0
sq0002	15500000	15600000	20	a	0	0
sq0002	15600000	15700000	0	a	0	0
sq0002	15700000	15800000	0	a	0	0
sq0002	15800000	15900000	20	a	0	0
sq0002	15900000	16000000	0	a	0	0
sq0002	16000000	16100000	0	a	0	0
sq0002	16100000	16200000	0	a	0	0
sq0002	16200000	16300000	0	a	0	0
sq0002	16300000	16400000	10	a	0	0
sq0002	16400000	16500000	0	a	0	0
sq0002	16500000	16600000	0	a	0	0
sq0002	16600000	16700000	0	a	0	0
sq0002	16700000	16800000	20	a	0	0
sq0002	16800000	16900000	20	a	0	0
sq0002	16900000	17000000	20	a	0	0
sq0002	17000000	17100000	0	a	0	0
sq0002	17100000	17200000	0	a	0	0
sq0002	17200000	17300000	0	a	0	0
sq0002	17300000	17400000	20	a	0	0
sq0002	17400000	17500000	10	a	0	0
sq0002	17500000	17600000	0	a	0	0
sq0002	17600000	17700000	20	a	0	0
sq0002	17700000	17800000	10	a	0	0
sq0002	17800000	17900000	0	a	0	0
sq0002	17900000	18000000	10	a	0	0
sq0002	18000000	18100000	0	a	0	0
sq0002	18100000	18200000	10	a	0	0
sq0002	18200000	18300000	20	a	0	0
sq0002	18300000	18400000	0	a	0	0
sq0002	18400000	18500000	20	a	0	0
sq0002	18500000	18600000	10	a	0	0
sq0002	18600000	18700000	0	a	0	0
sq0002	18700000	18800000	0	a	0	0
sq0002	18800000	18900000	10	a	0	0
sq0002	18900000	19000000	0	a	0	0
sq0002	19000000	19100000	0	a	0	0
sq0002	19100000	19200000	30	a	0	0
sq0002	19200000	19300000	20	a	0	0
sq0002	19300000	19400000	0	a	0	0
sq0002	19400000	19500000	20	a	0	0
sq0002	19500000	19600000	40	a	0	0
sq0002	19600000	19700000	20	a	0	0
sq0002	19700000	19800000	20	a	0	0
sq0002	19800000	19900000	50	a	0	0
sq0002	19900000	20000000	30	a	0	0
sq0002	20000000	20100000	40	a	0	0
sq0002	20100000	20200000	20	a	0	0
sq0002	20200000	20300000	10	a	0	0
sq0002	20300000	20400000	0	a	0	0
sq0002	20400000	20500000	0	a	0	0
sq0002	20500000	20600000	0	a	0	0
sq0002	20600000	20700000	10	a	0	0
sq0002	20700000	20800000	0	a	0	0
sq0002	20800000	20900000	0	a	0	0
sq0002	20900000	21000000	0	a	0	0
sq0002	21000000	21100000	10	a	0	0
sq0002	21100000	21200000	20	a	0	0
sq0002	21200000	21300000	0	a	0	0
sq0002	21300000	21400000	10	a	0	0
sq0002	21400000	21500000	40	a	0	0
sq0002	21500000	21600000	0	a	0	0
sq0002	21600000	21700000	30	a	0	0
sq0002	21700000	21800000	0	a	0	0
sq0002	21800000	21900000	0	a	0	0
sq0002	21900000	22000000	0	a	0	0
sq0002	22000000	22100000	20	a	0	0
sq0002	22100000	22200000	50	a	0	0
sq0002	22200000	22300000	0	a	0	0
sq0002	22300000	22400000	0	a	0	0
sq0002	22400000	22500000	0	a	0	0
sq0002	22500000	22600000	30	a	0	0
sq0002	22600000	22700000	0	a	0	0
sq0002	22700000	22800000	20	a	0	0
sq0002	22800000	22900000	10	a	0	0
sq0002	22900000	23000000	0	a	0	0
sq0002	23000000	23100000	0	a	0	0
sq0002	23100000	23200000	0	a	0	0
sq0002	23200000	23300000	0	a	0	0
sq0002	23300000	23400000	0	a	0	0
sq0002	23400000	23500000	0	a	0	0
sq0002	23500000	23600000	20	a	0	0
sq0002	23600000	23700000	10	a	0	0
sq0002	23700000	23800000	0	a	0	0
sq0002	23800000	23900000	40	a	0	0
sq0002	23900000	24000000	30	a	0	0
sq0002	24000000	24100000	10	a	0	0
sq0002	24100000	24200000	0	a	0	0
sq0002	24200000	24300000	40	a	0	0
sq0002	24300000	24400000	30	a	0	0
sq0002	24400000	24500000	30	a	0	0
sq0002	24500000	24600000	20	a	0	0
sq0002	24600000	24700000	0	a	0	0
sq0002	24700000	24800000	0	a	0	0
sq0002	24800000	24900000	0	a	0	0
sq0002	24900000	25000000	20	a	0	0
sq0002	25000000	25100000	30	a	0	0
sq0002	25100000	25200000	0	a	0	0
sq0002	25200000	25300000	20	a	0	0
sq0002	25300000	25400000	10	a	0	0
sq0002	25400000	25500000	20	a	0	0
sq0002	25500000	25600000	30	a	0	0
sq0002	25600000	25700000	10	a	0	0
sq0002	25700000	25800000	30	a	0	0
sq0002	25800000	25900000	20	a	0	0
sq0002	25900000	26000000	20	a	0	0
