chr;start;end;value
chr10a;0;499999;0
chr10a;500000;999999;35
chr10a;1000000;1499999;39
chr10a;1500000;1999999;44
chr10a;2000000;2499999;46
chr10a;2500000;2999999;30
chr10a;3000000;3499999;42
chr10a;3500000;3999999;49
chr10a;4000000;4499999;45
chr10a;4500000;4999999;57
chr10a;5000000;5499999;42
chr10a;5500000;5999999;31
chr10a;6000000;6499999;42
chr10a;6500000;6999999;36
chr10a;7000000;7499999;34
chr10a;7500000;7999999;39
chr10a;8000000;8499999;41
chr10a;8500000;8999999;45
chr10a;9000000;9499999;6
chr10a;9500000;9999999;9
chr10a;10000000;10499999;17
chr10a;10500000;10999999;12
chr10a;11000000;11499999;20
chr10a;11500000;11999999;15
chr10a;12000000;12499999;11
chr10a;12500000;12999999;8
chr10a;13000000;13499999;3
chr10a;13500000;13999999;17
chr10a;14000000;14499999;8
chr10a;14500000;14999999;6
chr10a;15000000;15499999;10
chr10a;15500000;15999999;4
chr10a;16000000;16499999;4
chr10a;16500000;16999999;4
chr10a;17000000;17499999;6
chr10a;17500000;17999999;5
chr10a;18000000;18499999;2
chr10a;18500000;18999999;3
chr10a;19000000;19499999;3
chr10a;19500000;19999999;25
chr10a;20000000;20499999;6
chr10a;20500000;20999999;1
chr10a;21000000;21499999;24
chr10a;21500000;21999999;24
chr10a;22000000;22499999;25
chr10a;22500000;22999999;29
chr10a;23000000;23499999;30
chr10a;23500000;23999999;20
chr10a;24000000;24499999;30
chr10a;24500000;24999999;22
chr10a;25000000;25499999;15
chr10a;25500000;25999999;16
chr10b;0;499999;0
chr10b;500000;999999;35
chr10b;1000000;1499999;41
chr10b;1500000;1999999;43
chr10b;2000000;2499999;45
chr10b;2500000;2999999;30
chr10b;3000000;3499999;42
chr10b;3500000;3999999;51
chr10b;4000000;4499999;45
chr10b;4500000;4999999;59
chr10b;5000000;5499999;38
chr10b;5500000;5999999;32
chr10b;6000000;6499999;43
chr10b;6500000;6999999;35
chr10b;7000000;7499999;35
chr10b;7500000;7999999;39
chr10b;8000000;8499999;41
chr10b;8500000;8999999;46
chr10b;9000000;9499999;8
chr10b;9500000;9999999;7
chr10b;10000000;10499999;14
chr10b;10500000;10999999;16
chr10b;11000000;11499999;21
chr10b;11500000;11999999;15
chr10b;12000000;12499999;7
chr10b;12500000;12999999;5
chr10b;13000000;13499999;4
chr10b;13500000;13999999;18
chr10b;14000000;14499999;5
chr10b;14500000;14999999;11
chr10b;15000000;15499999;5
chr10b;15500000;15999999;4
chr10b;16000000;16499999;2
chr10b;16500000;16999999;9
chr10b;17000000;17499999;2
chr10b;17500000;17999999;6
chr10b;18000000;18499999;2
chr10b;18500000;18999999;2
chr10b;19000000;19499999;10
chr10b;19500000;19999999;23
chr10b;20000000;20499999;11
chr10b;20500000;20999999;14
chr10b;21000000;21499999;31
chr10b;21500000;21999999;13
chr10b;22000000;22499999;28
chr10b;22500000;22999999;28
chr10b;23000000;23499999;24
chr10b;23500000;23999999;20
chr10b;24000000;24499999;27
chr10b;24500000;24999999;22
chr10b;25000000;25499999;14
chr10b;25500000;25999999;16
chr10b;26000000;26499999;40
chr1a;0;499999;0
chr1a;500000;999999;41
chr1a;1000000;1499999;50
chr1a;1500000;1999999;44
chr1a;2000000;2499999;26
chr1a;2500000;2999999;20
chr1a;3000000;3499999;42
chr1a;3500000;3999999;42
chr1a;4000000;4499999;32
chr1a;4500000;4999999;40
chr1a;5000000;5499999;32
chr1a;5500000;5999999;47
chr1a;6000000;6499999;43
chr1a;6500000;6999999;41
chr1a;7000000;7499999;39
chr1a;7500000;7999999;47
chr1a;8000000;8499999;47
chr1a;8500000;8999999;39
chr1a;9000000;9499999;38
chr1a;9500000;9999999;38
chr1a;10000000;10499999;36
chr1a;10500000;10999999;41
chr1a;11000000;11499999;30
chr1a;11500000;11999999;14
