chr;start;end;stack
chr1;221924;225975;lncRNA
chr1;222142;225975;lncRNA
chr1;511502;519011;lncRNA
chr1;704269;710241;lncRNA
chr1;704374;710241;lncRNA
chr1;705284;710241;lncRNA
chr1;942918;944528;lncRNA
chr1;988705;998134;lncRNA
chr1;989190;998134;lncRNA
chr1;989192;998134;lncRNA
chr1;989659;998134;lncRNA
chr1;1258314;1261860;lncRNA
chr1;1258442;1261860;lncRNA
chr1;1258477;1261860;lncRNA
chr1;1874851;1876726;lncRNA
chr1;2239662;2250343;lncRNA
chr1;2239683;2250343;lncRNA
chr1;2780173;2782152;lncRNA
chr1;2966318;2978980;lncRNA
chr1;2966332;2978980;lncRNA
chr1;3015321;3032694;lncRNA
chr1;3015335;3032694;lncRNA
chr1;3015336;3032694;lncRNA
chr1;3015342;3032694;lncRNA
chr1;3015392;3032694;lncRNA
chr1;3015634;3032694;lncRNA
chr1;3015649;3032694;lncRNA
chr1;3981135;3986936;lncRNA
chr1;4073540;4085931;lncRNA
chr1;4073615;4085931;lncRNA
chr1;4073633;4085931;lncRNA
chr1;4073721;4085931;lncRNA
chr1;4497426;4503649;lncRNA
chr1;5456389;5476393;lncRNA
chr1;5467326;5476393;lncRNA
chr1;6394821;6401013;lncRNA
chr1;8254000;8256906;lncRNA
chr1;9852467;9860391;lncRNA
chr1;14523381;14558215;lncRNA
chr1;14550447;14558215;lncRNA
chr1;19296490;19299748;lncRNA
chr1;19313161;19318719;lncRNA
chr1;20027842;20032564;lncRNA
chr1;20203384;20206769;lncRNA
chr1;20296014;20297884;lncRNA
chr1;20303398;20309588;lncRNA
chr1;20317934;20320917;lncRNA
chr1;20840224;20850595;lncRNA
chr1;21142227;21145890;lncRNA
chr1;21171056;21174870;lncRNA
chr1;21171057;21205827;lncRNA
chr1;21235639;21241028;lncRNA
chr1;21235642;21241028;lncRNA
chr1;21544230;21554641;lncRNA
chr1;21544266;21554641;lncRNA
chr1;21544354;21554641;lncRNA
chr1;21549014;21554641;lncRNA
chr1;21549246;21554641;lncRNA
chr1;21790617;21794779;lncRNA
chr1;23321589;23325534;lncRNA
chr1;23997240;23999368;lncRNA
chr1;24285351;24345352;lncRNA
chr1;24285351;24400059;lncRNA
chr1;24342600;24345352;lncRNA
chr1;24398304;24400059;lncRNA
chr1;24432764;24511165;lncRNA
chr1;24589819;24596690;lncRNA
chr1;24589827;24596690;lncRNA
chr1;25425052;25432932;lncRNA
chr1;25425068;25432932;lncRNA
chr1;25425072;25432932;lncRNA
chr1;25425103;25432932;lncRNA
chr1;25552087;25554284;lncRNA
