chr;start;end;value
chr10a;0;999999;0
chr10a;1000000;1999999;1
chr10a;2000000;2999999;1
chr10a;3000000;3999999;1
chr10a;4000000;4999999;1
chr10a;5000000;5999999;1
chr10a;6000000;6999999;1
chr10a;7000000;7999999;1
chr10a;8000000;8999999;1
chr10a;9000000;9999999;0
chr10a;10000000;10999999;1
chr10a;11000000;11999999;1
chr10a;12000000;12999999;1
chr10a;13000000;13999999;1
chr10a;14000000;14999999;1
chr10a;15000000;15999999;1
chr10a;16000000;16999999;1
chr10a;17000000;17999999;1
chr10a;18000000;18999999;1
chr10a;19000000;19999999;1
chr10a;20000000;20999999;1
chr10a;21000000;21999999;1
chr10a;22000000;22999999;1
chr10a;23000000;23999999;1
chr10a;24000000;24999999;0
chr10a;25000000;25999999;1
chr10b;0;999999;0
chr10b;1000000;1999999;1
chr10b;2000000;2999999;1
chr10b;3000000;3999999;1
chr10b;4000000;4999999;1
chr10b;5000000;5999999;1
chr10b;6000000;6999999;1
chr10b;7000000;7999999;1
chr10b;8000000;8999999;1
chr10b;9000000;9999999;1
chr10b;10000000;10999999;1
chr10b;11000000;11999999;1
chr10b;12000000;12999999;0
chr10b;13000000;13999999;1
chr10b;14000000;14999999;1
chr10b;15000000;15999999;1
chr10b;16000000;16999999;1
chr10b;17000000;17999999;1
chr10b;18000000;18999999;1
chr10b;19000000;19999999;1
chr10b;20000000;20999999;1
chr10b;21000000;21999999;1
chr10b;22000000;22999999;1
chr10b;23000000;23999999;1
chr10b;24000000;24999999;0
chr10b;25000000;25999999;1
chr10b;26000000;26999999;1
chr1a;0;999999;0
chr1a;1000000;1999999;1
chr1a;2000000;2999999;1
chr1a;3000000;3999999;1
chr1a;4000000;4999999;1
chr1a;5000000;5999999;1
chr1a;6000000;6999999;1
chr1a;7000000;7999999;1
chr1a;8000000;8999999;1
chr1a;9000000;9999999;1
chr1a;10000000;10999999;1
chr1a;11000000;11999999;1
chr1a;12000000;12999999;1
chr1a;13000000;13999999;1
chr1a;14000000;14999999;1
chr1a;15000000;15999999;1
chr1a;16000000;16999999;1
chr1a;17000000;17999999;1
chr1a;18000000;18999999;1
chr1a;19000000;19999999;1
chr1a;20000000;20999999;1
chr1a;21000000;21999999;1
chr1a;22000000;22999999;0
chr1a;23000000;23999999;1
chr1a;24000000;24999999;1
chr1a;25000000;25999999;0
chr1a;26000000;26999999;1
chr1a;27000000;27999999;0
chr1a;28000000;28999999;1
chr1a;29000000;29999999;1
chr1a;30000000;30999999;1
chr1a;31000000;31999999;1
chr1a;32000000;32999999;1
chr1a;33000000;33999999;1
chr1a;34000000;34999999;1
chr1a;35000000;35999999;0
chr1a;36000000;36999999;1
chr1a;37000000;37999999;1
chr1a;38000000;38999999;0
