chr;start;end;stack
chr2;208058;209811;lncRNA
chr2;223124;235566;lncRNA
chr2;388401;400161;lncRNA
chr2;389243;400161;lncRNA
chr2;389245;400161;lncRNA
chr2;429007;433514;lncRNA
chr2;1163621;1170072;lncRNA
chr2;1200485;1202090;lncRNA
chr2;1210348;1364014;lncRNA
chr2;1210359;1364014;lncRNA
chr2;1210403;1217720;lncRNA
chr2;1223002;1225404;lncRNA
chr2;1223005;1225404;lncRNA
chr2;1851977;1862590;lncRNA
chr2;1852221;1862590;lncRNA
chr2;1852234;1862590;lncRNA
chr2;1852238;1860803;lncRNA
chr2;1852251;1860803;lncRNA
chr2;1853308;1862590;lncRNA
chr2;1853641;1860803;lncRNA
chr2;1867523;1871388;lncRNA
chr2;2180883;2184329;lncRNA
chr2;2883526;2885096;lncRNA
chr2;2970179;2979165;lncRNA
chr2;2970872;2979165;lncRNA
chr2;2970986;2979165;lncRNA
chr2;2970992;2979165;lncRNA
chr2;3011708;3014738;lncRNA
chr2;3494944;3502039;lncRNA
chr2;3494993;3502039;lncRNA
chr2;3495012;3502039;lncRNA
chr2;4307966;4314702;lncRNA
chr2;4488609;4491161;lncRNA
chr2;4871152;4876348;lncRNA
chr2;5372562;5391055;lncRNA
chr2;5980875;5984458;lncRNA
chr2;6538439;6544429;lncRNA
chr2;7047572;7053616;lncRNA
chr2;7047596;7053616;lncRNA
chr2;7191788;7201192;lncRNA
chr2;7191788;7203215;lncRNA
chr2;7191861;7203215;lncRNA
chr2;7191913;7201192;lncRNA
chr2;7191915;7203215;lncRNA
chr2;7191916;7201192;lncRNA
chr2;7191916;7203215;lncRNA
chr2;7191918;7203215;lncRNA
chr2;7191938;7203215;lncRNA
chr2;7822546;7825186;lncRNA
chr2;8490706;8496865;lncRNA
chr2;8491589;8496865;lncRNA
chr2;8495005;8496865;lncRNA
chr2;8947485;8952032;lncRNA
chr2;10075364;10076945;lncRNA
chr2;11119983;11123028;lncRNA
chr2;11120077;11123028;lncRNA
chr2;11670413;11674327;lncRNA
chr2;12289524;12293230;lncRNA
chr2;14267007;14271756;lncRNA
chr2;17205783;17211466;lncRNA
chr2;17257545;17261108;lncRNA
chr2;17259171;17261108;lncRNA
chr2;19847499;19858043;lncRNA
chr2;20731491;20736577;lncRNA
chr2;20929849;20932057;lncRNA
chr2;20929926;20934800;lncRNA
chr2;23134742;23137666;lncRNA
chr2;23622279;23634544;lncRNA
chr2;24462773;24477308;lncRNA
chr2;24579608;24582731;lncRNA
chr2;24720189;24727754;lncRNA
chr2;24720189;24728681;lncRNA
chr2;24963862;24968760;lncRNA
chr2;25237518;25240423;lncRNA
chr2;25364889;25367346;lncRNA
chr2;26374946;26380289;lncRNA
chr2;27035532;27038635;lncRNA
chr2;27035852;27038635;lncRNA
chr2;27189175;27204858;lncRNA
chr2;27189196;27204858;lncRNA
chr2;27189212;27204858;lncRNA
chr2;27438237;27444624;lncRNA
chr2;27438238;27444624;lncRNA
chr2;27438283;27444030;lncRNA
chr2;27438283;27444624;lncRNA
chr2;27438329;27444624;lncRNA
chr2;27438347;27444030;lncRNA
chr2;27438349;27444030;lncRNA
chr2;27438349;27444624;lncRNA
chr2;27438388;27444030;lncRNA
