chr;start;end;stack
chr2;29587263;29587374;miRNA
chr2;33580997;33581143;miRNA
chr2;37160433;37160583;miRNA
chr2;37641018;37641212;miRNA
chr2;37641020;37641214;miRNA
chr2;40015878;40015992;miRNA
chr2;40275670;40275769;miRNA
chr4;716655;716766;miRNA
chr4;3980847;3981039;miRNA
chr4;3980849;3981041;miRNA
chr4;5508577;5508741;miRNA
chr4;5508578;5508742;miRNA
chr4;6007240;6007399;miRNA
chr4;9106486;9106597;miRNA
chr4;9106486;9106597;miRNA
chr4;13781048;13781200;miRNA
chr4;13784762;13784869;miRNA
chr4;13784762;13784869;miRNA
chr4;13826960;13827053;miRNA
chr4;13829335;13829437;miRNA
chr4;13829335;13829437;miRNA
chr4;13832626;13832750;miRNA
chr4;19747418;19747553;miRNA
chr4;52364437;52364529;miRNA
chr4;59089265;59089360;miRNA
chr4;64481279;64481432;miRNA
chr6;3628292;3628385;miRNA
chr6;4191338;4191441;miRNA
chr6;23536847;23536947;miRNA
chr6;23536849;23536949;miRNA
chr8;4555722;4555822;miRNA
chr8;4555724;4555824;miRNA
chr8;4989215;4989418;miRNA
chr8;5418999;5419266;miRNA
chr8;6963831;6963940;miRNA
chr10;26180424;26180530;miRNA
chr10;26237456;26237554;miRNA
chr10;35330921;35331019;miRNA
chr12;5367505;5367677;miRNA
chr12;6084480;6084584;miRNA
chr12;6084482;6084586;miRNA
chr12;6122238;6122377;miRNA
chr12;9070946;9071032;miRNA
chr12;33873385;33873521;miRNA
chr12;33873387;33873523;miRNA
chr12;42112846;42112963;miRNA
chr12;42134532;42134639;miRNA
chr12;45137366;45137473;miRNA
chr12;45137368;45137475;miRNA
chr14;2455531;2455633;miRNA
chr14;6361146;6361266;miRNA
chr14;7492734;7492866;miRNA
chr14;7492740;7492860;miRNA
chr14;8498548;8498677;miRNA
chr14;8498550;8498679;miRNA
chr14;19915860;19916087;miRNA
chr14;19915860;19916087;miRNA
chr16;9074457;9074595;miRNA
chr16;30649959;30650067;miRNA
chr16;34703017;34703203;miRNA
chr16;34703023;34703205;miRNA
chr16;34975195;34975277;miRNA
chr16;35645717;35645888;miRNA
chr18;3239311;3239425;miRNA
chr18;3348247;3348361;miRNA
chr18;23712330;23712418;miRNA
chr18;25556348;25556688;miRNA
chr18;29709250;29709339;miRNA
chr18;30080496;30080596;miRNA
chr18;30080498;30080598;miRNA
chr20;776385;776521;miRNA
chr20;15857413;15857521;miRNA
chr20;24047436;24047503;miRNA
chr22;26664134;26664346;miRNA
chr22;30639145;30639254;miRNA
chr22;30640109;30640223;miRNA
chr22;30648971;30649082;miRNA
chr22;32036119;32036333;miRNA
