chr;start;end;stack
chr1;1714687;1714781;RNA
chr1;1714930;1715007;RNA
chr1;1966755;1966862;RNA
chr1;1971500;1971606;RNA
chr1;5006134;5006217;RNA
chr1;5545240;5545323;RNA
chr1;5831463;5831536;RNA
chr1;5946126;5946199;RNA
chr1;6008037;6008110;RNA
chr1;6103925;6103998;RNA
chr1;6193252;6193325;RNA
chr1;6193448;6193521;RNA
chr1;6253633;6253706;RNA
chr1;6283062;6283135;RNA
chr1;7586207;7586313;RNA
chr1;9542748;9542819;RNA
chr1;9543556;9543627;RNA
chr1;10092760;10092865;RNA
chr1;10252303;10252375;RNA
chr1;10252507;10252579;RNA
chr1;10434899;10434971;RNA
chr1;10435103;10435175;RNA
chr1;10760311;10760382;RNA
chr1;10761566;10761637;RNA
chr1;10762824;10762895;RNA
chr1;15445551;15445657;RNA
chr1;16313358;16313430;RNA
chr1;16314699;16314785;RNA
chr1;16723984;16724054;RNA
chr1;17934600;17934706;RNA
chr1;18154487;18154592;RNA
chr1;18387919;18387992;RNA
chr1;31019411;31019516;RNA
chr1;38498464;38498550;RNA
chr1;41393678;41393785;RNA
chr1;43149225;43149331;RNA
chr1;43337248;43337320;RNA
chr1;45566703;45566789;RNA
chr1;47434112;47434184;RNA
chr1;47757307;47757381;RNA
chr1;47856356;47856421;RNA
chr1;49364438;49364510;RNA
chr1;49737351;49737510;RNA
chr1;49737557;49737716;RNA
chr1;49737829;49737915;RNA
chr1;54158932;54159038;RNA
chr1;55632725;55632797;RNA
chr1;56087565;56087708;RNA
chr1;56097154;56097225;RNA
chr1;56199602;56199674;RNA
chr1;56624542;56624633;RNA
chr1;57915231;57915302;RNA
chr1;58156288;58156449;RNA
chr1;58441134;58441206;RNA
chr1;58639053;58639133;RNA
chr1;58728425;58728496;RNA
chr1;58950421;58950494;RNA
chr1;58950617;58950690;RNA
chr1;59009644;59009715;RNA
chr1;59009828;59009899;RNA
chr1;59290410;59290482;RNA
chr1;59341726;59341797;RNA
chr1;59730599;59730670;RNA
chr1;60474767;60474840;RNA
chr1;60503099;60503171;RNA
chr1;60623033;60623114;RNA
chr1;60703321;60703391;RNA
chr1;61179527;61179664;RNA
chr1;61216364;61216451;RNA
chr1;61633270;61633342;RNA
chr1;61758404;61758476;RNA
chr1;62226624;62226696;RNA
chr1;62472292;62472376;RNA
chr1;62973856;62974001;RNA
chr1;63329966;63330102;RNA
chr1;63759554;63759624;RNA
chr1;64144920;64144991;RNA
chr1;64866476;64866557;RNA
chr1;64972546;64972618;RNA
chr1;65347386;65347457;RNA
chr1;65608035;65608112;RNA
chr1;65608226;65608317;RNA
chr1;65655466;65655536;RNA
chr1;65719011;65719084;RNA
chr1;66663876;66663948;RNA
chr2;1122795;1122874;RNA
chr2;1847046;1847116;RNA
chr2;2330020;2330092;RNA
chr2;2574256;2574327;RNA
chr2;2574395;2574466;RNA
chr2;2574535;2574606;RNA
chr2;3001187;3001266;RNA
chr2;5432274;5432368;RNA
chr2;5432596;5432690;RNA
chr2;5432806;5432908;RNA
chr2;5432985;5433094;RNA
chr2;5700779;5700852;RNA
chr2;6417815;6417896;RNA
chr2;6501034;6501107;RNA
chr2;6535915;6535996;RNA
chr2;6536076;6536148;RNA
chr2;6568111;6568194;RNA
chr2;7251863;7252002;RNA
chr2;7289941;7290013;RNA
chr2;7366109;7366181;RNA
chr2;7366246;7366329;RNA
chr2;7491514;7491585;RNA
chr2;7586328;7586401;RNA
chr2;7973156;7973228;RNA
chr2;8055096;8055168;RNA
chr2;8230367;8230439;RNA
chr2;8231038;8231109;RNA
chr2;8486391;8486497;RNA
chr2;8659325;8659397;RNA
chr2;8659996;8660067;RNA
chr2;8813966;8814037;RNA
chr2;9069105;9069176;RNA
chr2;9551007;9551079;RNA
chr2;9889522;9889593;RNA
chr2;11093297;11093369;RNA
chr2;11574372;11574460;RNA
chr2;12103089;12103160;RNA
chr2;12310635;12310714;RNA
chr2;13944961;13945032;RNA
chr2;13945604;13945675;RNA
chr2;14662426;14662498;RNA
chr2;14781494;14781573;RNA
chr2;15753136;15753208;RNA
chr2;15862287;15862360;RNA
chr2;15982604;15982740;RNA
chr2;16739627;16739697;RNA
chr2;16739846;16739916;RNA
chr2;17251355;17251491;RNA
chr2;17286489;17286625;RNA
chr2;18223940;18224023;RNA
chr2;18428745;18428816;RNA
chr2;18807308;18807393;RNA
chr2;18908664;18908735;RNA
chr2;19171736;19171887;RNA
chr2;19261140;19261213;RNA
chr2;19336855;19336928;RNA
chr2;19418089;19418161;RNA
chr2;19865753;19865825;RNA
chr2;19957540;19957612;RNA
chr2;20726898;20726969;RNA
chr2;20734115;20734186;RNA
chr2;20735416;20735487;RNA
chr2;20736469;20736540;RNA
chr2;20736983;20737054;RNA
chr2;20738191;20738262;RNA
chr2;21163165;21163238;RNA
chr2;21463128;21463223;RNA
chr2;21703280;21703363;RNA
chr2;22144543;22144626;RNA
chr2;22350224;22350308;RNA
chr2;22358988;22359071;RNA
chr2;22421626;22421710;RNA
chr2;22430916;22430999;RNA
chr2;23549035;23549108;RNA
chr2;24804814;24804886;RNA
chr2;26505620;26505711;RNA
chr2;26505890;26505981;RNA
chr2;26559163;26559234;RNA
chr2;27258845;27258951;RNA
chr2;30233929;30234077;RNA
chr2;30238339;30238420;RNA
chr2;30587050;30587156;RNA
chr2;31233236;31233320;RNA
chr2;32687401;32687482;RNA
chr2;32846780;32846909;RNA
chr2;34402638;34402709;RNA
chr2;37238535;37238622;RNA
chr2;41312074;41312140;RNA
chr2;42178960;42179066;RNA
chr2;43026660;43026731;RNA
chr2;43202436;43202507;RNA
chr2;43376454;43376560;RNA
chr2;44738421;44738504;RNA
chr2;44738687;44738780;RNA
chr2;45679507;45679613;RNA
chr2;46246378;46246450;RNA
chr2;46456582;46456698;RNA
chr2;47845874;47845980;RNA
chr2;47873201;47873307;RNA
chr2;58944945;58945018;RNA
chr2;62400643;62400750;RNA
chr2;65794095;65794201;RNA
chr2;65989994;65990099;RNA
chr2;67331200;67331346;RNA
chr2;68054136;68054210;RNA
chr2;71328088;71328195;RNA
chr2;71740006;71740112;RNA
chr2;72554147;72554216;RNA
chr2;73830763;73830881;RNA
chr2;73831275;73831393;RNA
chr2;73831804;73831922;RNA
chr2;73832321;73832413;RNA
chr2;73840422;73840541;RNA
chr2;73840954;73841072;RNA
chr2;73841557;73841675;RNA
chr2;73898599;73898719;RNA
chr2;73899111;73899227;RNA
chr2;73899622;73899736;RNA
chr2;79871396;79871501;RNA
chr2;79882973;79883079;RNA
chr2;81787206;81787279;RNA
chr2;81826171;81826242;RNA
chr2;81826334;81826405;RNA
chr2;82893428;82893509;RNA
chr2;82893628;82893709;RNA
chr2;84977936;84978007;RNA
chr2;84981007;84981093;RNA
chr2;85260498;85260584;RNA
chr2;85260685;85260794;RNA
chr2;85630982;85631053;RNA
chr2;85643012;85643084;RNA
chr2;85645814;85645947;RNA
chr2;87821292;87821398;RNA
chr2;88227897;88228029;RNA
chr2;91283148;91283228;RNA
chr2;91587770;91587857;RNA
chr2;91587869;91587939;RNA
chr2;92427321;92427406;RNA
chr2;92489232;92489305;RNA
chr2;92857815;92857886;RNA
chr2;93024917;93024989;RNA
chr2;93443022;93443093;RNA
chr2;93623452;93623523;RNA
chr2;94082740;94082812;RNA
chr2;94096147;94096219;RNA
chr3;180976;181048;RNA
chr3;532855;532931;RNA
chr3;533053;533136;RNA
chr3;920779;920852;RNA
chr3;1267287;1267358;RNA
chr3;1391148;1391220;RNA
chr3;1646957;1647027;RNA
chr3;1800479;1800612;RNA
chr3;2109579;2109683;RNA
chr3;2860849;2860922;RNA
chr3;3044587;3044647;RNA
chr3;4980344;4980414;RNA
chr3;5311519;5311663;RNA
chr3;5602062;5602133;RNA
chr3;6894774;6894855;RNA
chr3;8371256;8371340;RNA
chr3;9616793;9616899;RNA
chr3;11255824;11255930;RNA
chr3;11496162;11496269;RNA
chr3;11842314;11842385;RNA
chr3;14739685;14739791;RNA
chr3;14870814;14870920;RNA
chr3;15234174;15234271;RNA
chr3;17914669;17914776;RNA
chr3;26271379;26271450;RNA
chr3;41274844;41274950;RNA
chr3;43295480;43295586;RNA
chr3;44207391;44207543;RNA
chr3;44495665;44495817;RNA
chr3;45028715;45028802;RNA
chr3;45366176;45366263;RNA
chr3;47365329;47365436;RNA
chr3;49035924;49036030;RNA
