chr;start;end;stack
chr2;208058;209811;RNA
chr2;223124;235566;RNA
chr2;388401;400161;RNA
chr2;389243;400161;RNA
chr2;389245;400161;RNA
chr2;429007;433514;RNA
chr2;1163621;1170072;RNA
chr2;1200485;1202090;RNA
chr2;1210348;1364014;RNA
chr2;1210359;1364014;RNA
chr2;1210403;1217720;RNA
chr2;1223002;1225404;RNA
chr2;1223005;1225404;RNA
chr2;1851977;1862590;RNA
chr2;1852221;1862590;RNA
chr2;1852234;1862590;RNA
chr2;1852238;1860803;RNA
chr2;1852251;1860803;RNA
chr2;1853308;1862590;RNA
chr2;1853641;1860803;RNA
chr2;1867523;1871388;RNA
chr2;2180883;2184329;RNA
chr2;2883526;2885096;RNA
chr2;2970179;2979165;RNA
chr2;2970872;2979165;RNA
chr2;2970986;2979165;RNA
chr2;2970992;2979165;RNA
chr2;3011708;3014738;RNA
chr2;3494944;3502039;RNA
chr2;3494993;3502039;RNA
chr2;3495012;3502039;RNA
chr2;4307966;4314702;RNA
chr2;4488609;4491161;RNA
chr2;4871152;4876348;RNA
chr2;5372562;5391055;RNA
chr2;5980875;5984458;RNA
chr2;6538439;6544429;RNA
chr2;7047572;7053616;RNA
chr2;7047596;7053616;RNA
chr2;7191788;7201192;RNA
chr2;7191788;7203215;RNA
chr2;7191861;7203215;RNA
chr2;7191913;7201192;RNA
chr2;7191915;7203215;RNA
chr2;7191916;7201192;RNA
chr2;7191916;7203215;RNA
chr2;7191918;7203215;RNA
chr2;7191938;7203215;RNA
chr2;7822546;7825186;RNA
chr2;8490706;8496865;RNA
chr2;8491589;8496865;RNA
chr2;8495005;8496865;RNA
chr2;8947485;8952032;RNA
chr2;10075364;10076945;RNA
chr2;11119983;11123028;RNA
chr2;11120077;11123028;RNA
chr2;11670413;11674327;RNA
chr2;12289524;12293230;RNA
chr2;14267007;14271756;RNA
chr2;17205783;17211466;RNA
chr2;17257545;17261108;RNA
chr2;17259171;17261108;RNA
chr2;19847499;19858043;RNA
chr2;20731491;20736577;RNA
chr2;20929849;20932057;RNA
chr2;20929926;20934800;RNA
chr2;23134742;23137666;RNA
chr2;23622279;23634544;RNA
chr2;24462773;24477308;RNA
chr2;24579608;24582731;RNA
chr2;24720189;24727754;RNA
chr2;24720189;24728681;RNA
chr2;24963862;24968760;RNA
chr2;25237518;25240423;RNA
chr2;25364889;25367346;RNA
chr2;26374946;26380289;RNA
chr2;27035532;27038635;RNA
chr2;27035852;27038635;RNA
chr2;27189175;27204858;RNA
chr2;27189196;27204858;RNA
chr2;27189212;27204858;RNA
chr2;27438237;27444624;RNA
chr2;27438238;27444624;RNA
chr2;27438283;27444030;RNA
chr2;27438283;27444624;RNA
chr2;27438329;27444624;RNA
chr2;27438347;27444030;RNA
chr2;27438349;27444030;RNA
chr2;27438349;27444624;RNA
chr2;27438388;27444030;RNA
chr2;28121350;28126182;RNA
chr2;28316827;28320148;RNA
chr2;29078074;29082258;RNA
chr2;29078453;29082258;RNA
chr2;29168264;29174236;RNA
chr2;29217884;29220330;RNA
chr2;29269225;29276543;RNA
chr2;29307494;29315866;RNA
chr2;29472383;29482491;RNA
chr2;29472391;29482491;RNA
chr2;29472435;29482491;RNA
chr2;29702417;29712355;RNA
chr2;30690786;30702500;RNA
chr2;30710699;30712773;RNA
chr2;31300202;31303096;RNA
chr2;31680480;31687528;RNA
chr2;31680523;31687528;RNA
chr2;31745033;31797071;RNA
chr2;32396414;32413074;RNA
chr2;32475246;32477992;RNA
chr2;32494854;32497552;RNA
chr2;32553856;32556362;RNA
chr2;32565779;32567783;RNA
chr2;33126234;33128440;RNA
chr2;33455234;33459579;RNA
chr2;33556467;33563237;RNA
chr2;33556617;33563237;RNA
chr2;34345726;34349254;RNA
chr2;34461106;34465089;RNA
chr2;34461148;34465089;RNA
chr2;34461171;34465089;RNA
chr2;34516257;34519847;RNA
chr2;34750121;34753893;RNA
chr2;34963058;34965485;RNA
chr2;35028280;35034568;RNA
chr2;35028439;35034568;RNA
chr2;35092505;35094225;RNA
chr2;35092527;35094225;RNA
chr2;35266965;35268550;RNA
chr2;35307093;35312780;RNA
chr2;35390880;35394410;RNA
chr2;36439888;36446453;RNA
chr2;36805866;36808858;RNA
chr2;36805878;36808858;RNA
chr2;36805927;36808858;RNA
chr2;36806016;36808858;RNA
chr2;36806520;36808858;RNA
chr2;38399805;38401756;RNA
chr2;38399847;38401756;RNA
chr2;38468697;38475909;RNA
chr2;38769517;38773120;RNA
chr2;38919866;38926416;RNA
chr2;38919875;38926416;RNA
chr2;38919877;38926416;RNA
chr2;38919974;38926416;RNA
chr2;39120700;39127297;RNA
chr2;39176000;39184937;RNA
chr2;39264242;39268477;RNA
chr2;39393164;39401919;RNA
chr2;39393211;39401919;RNA
chr2;39393314;39399984;RNA
chr2;39393555;39401919;RNA
chr2;39393749;39401919;RNA
chr2;39484530;39490179;RNA
chr2;39484560;39490179;RNA
chr2;39486688;39490179;RNA
chr2;39555589;39560139;RNA
chr2;39555925;39560139;RNA
chr2;39561959;39569950;RNA
chr2;39577836;39585407;RNA
chr2;39577854;39585407;RNA
chr2;39577889;39585407;RNA
chr2;39579061;39585407;RNA
chr2;39582729;39585319;RNA
chr2;39753686;39755460;RNA
chr2;39804954;39806639;RNA
chr2;39947174;39949243;RNA
chr2;39985047;39989129;RNA
chr2;40001297;40008049;RNA
chr2;40001388;40008049;RNA
chr2;40266577;40268766;RNA
chr2;40352684;40354279;RNA
chr2;40352688;40354279;RNA
chr2;40491526;40500290;RNA
chr2;40990554;40996597;RNA
chr2;40990562;40996597;RNA
chr2;40990632;40996597;RNA
chr2;41124665;41137157;RNA
chr2;41176172;41177839;RNA
chr2;41208327;41211826;RNA
chr2;41208344;41211826;RNA
chr2;41514176;41516115;RNA
chr2;41792475;41795025;RNA
chr2;42104049;42108371;RNA
chr2;42127833;42144496;RNA
chr2;42128284;42144496;RNA
chr2;42135744;42144496;RNA
chr2;42403841;42410524;RNA
chr4;42261;46446;RNA
chr4;95445;105132;RNA
chr4;174430;177487;RNA
chr4;184760;190940;RNA
chr4;495807;499645;RNA
chr4;677857;681071;RNA
chr4;954219;956034;RNA
chr4;1068068;1082536;RNA
chr4;1068069;1076332;RNA
chr4;1184719;1186986;RNA
chr4;1396222;1398077;RNA
chr4;1792469;1795177;RNA
chr4;2023511;2027598;RNA
chr4;2141843;2146117;RNA
chr4;2312152;2319251;RNA
chr4;2329653;2331645;RNA
chr4;2369272;2372294;RNA
chr4;2369389;2372294;RNA
chr4;2428629;2434616;RNA
chr4;2482088;2484108;RNA
chr4;2506604;2510750;RNA
chr4;2506605;2510750;RNA
chr4;2758946;2761083;RNA
chr4;3055045;3058038;RNA
chr4;3608948;3611151;RNA
chr4;4001449;4004587;RNA
chr4;4247515;4252112;RNA
chr4;4291114;4294646;RNA
chr4;4694462;4700640;RNA
chr4;5133002;5135310;RNA
chr4;5753713;5757263;RNA
chr4;5796493;5802006;RNA
chr4;5796559;5802006;RNA
chr4;5796560;5802006;RNA
chr4;5796561;5802006;RNA
chr4;5796565;5802006;RNA
chr4;5796566;5802006;RNA
chr4;5796574;5802006;RNA
chr4;5796575;5802006;RNA
chr4;6053554;6056383;RNA
chr4;6308824;6310799;RNA
chr4;6534270;6536798;RNA
chr4;6997460;7001155;RNA
chr4;7092858;7100837;RNA
chr4;8044703;8050140;RNA
chr4;8044891;8050140;RNA
chr4;8388948;8390662;RNA
chr4;8598437;8604320;RNA
chr4;8617041;8622763;RNA
chr4;8617062;8622763;RNA
chr4;8994842;8999032;RNA
chr4;8994889;8999032;RNA
chr4;9151518;9159165;RNA
chr4;9151620;9159165;RNA
chr4;9813476;9817744;RNA
chr4;9955139;9958735;RNA
chr4;10018538;10022784;RNA
chr4;10540589;10545980;RNA
chr4;10815742;10823517;RNA
chr4;10863116;10868613;RNA
chr4;10863284;10868613;RNA
chr4;11355486;11359485;RNA
chr4;11985401;11992381;RNA
chr4;11985624;11992381;RNA
chr4;12283238;12285508;RNA
chr4;12365516;12381697;RNA
chr4;13249310;13252172;RNA
chr4;13310447;13316535;RNA
chr4;13863295;13875548;RNA
chr4;13863329;13875548;RNA
chr4;13863331;13875548;RNA
chr4;13987836;13992637;RNA
chr4;13987874;13992637;RNA
chr4;14067220;14068957;RNA
chr4;15760932;15762731;RNA
chr4;15760932;15767077;RNA
chr4;15760947;15762731;RNA
chr4;15867768;15869903;RNA
chr4;15920797;15923227;RNA
chr4;16399846;16401674;RNA
chr4;16501028;16502985;RNA
chr4;16689634;16694205;RNA
chr4;16689675;16694205;RNA
chr4;16698580;16700185;RNA
chr4;16959951;16961829;RNA
chr4;17256691;17258925;RNA
chr4;17256693;17258925;RNA
chr4;17256714;17258925;RNA
chr4;17256718;17258925;RNA
