chr;start;end;stack
chr1;334098;336522;RNA
chr1;407195;477836;RNA
chr1;908467;911665;RNA
chr1;1002603;1004197;RNA
chr1;1096507;1108448;RNA
chr1;1096670;1108448;RNA
chr1;1138283;1142746;RNA
chr1;1750531;1752109;RNA
chr1;2061352;2063488;RNA
chr1;2725750;2727329;RNA
chr1;2833814;2841255;RNA
chr1;2833815;2841255;RNA
chr1;6428007;6435232;RNA
chr1;6428032;6435232;RNA
chr1;6428348;6435232;RNA
chr1;6428373;6435232;RNA
chr1;6870374;6879808;RNA
chr1;7379686;7381618;RNA
chr1;7382576;7399837;RNA
chr1;7382639;7399837;RNA
chr1;7697072;7717354;RNA
chr1;7811129;7853005;RNA
chr1;7853102;7857795;RNA
chr1;8700970;9102040;RNA
chr1;8736702;8740534;RNA
chr1;10511437;10514486;RNA
chr1;10704914;10706574;RNA
chr1;11067696;11075602;RNA
chr1;12420100;12441232;RNA
chr1;12420160;12441232;RNA
chr1;12715362;12723560;RNA
chr1;14030202;14036125;RNA
chr1;16058595;16061560;RNA
chr1;16058624;16061560;RNA
chr1;16360189;16365220;RNA
chr1;17390275;17399501;RNA
chr1;17911583;17916133;RNA
chr1;17911590;17916133;RNA
chr1;20834538;20836191;RNA
chr1;25135648;25137237;RNA
chr1;33902849;33907351;RNA
chr1;35579620;35610602;RNA
chr1;35579678;35610602;RNA
chr1;35579712;35610602;RNA
chr1;36823827;36826224;RNA
chr1;43045359;43047203;RNA
chr1;43383402;43384987;RNA
chr1;47773435;47776685;RNA
chr1;47790192;47795622;RNA
chr1;48203500;48220907;RNA
chr1;48575432;48578918;RNA
chr1;48575433;48578918;RNA
chr1;49044173;49046655;RNA
chr1;49883298;49885429;RNA
chr1;50019775;50055309;RNA
chr1;50019807;50055309;RNA
chr1;50113911;50119282;RNA
chr1;50113913;50119282;RNA
chr1;50431953;50442073;RNA
chr1;50431959;50442073;RNA
chr1;50431967;50442073;RNA
chr1;50693599;50703277;RNA
chr1;50693599;50708033;RNA
chr1;52010016;52014692;RNA
chr1;52010071;52014692;RNA
chr1;53053836;53056304;RNA
chr1;53986906;53989628;RNA
chr1;53986927;53989628;RNA
chr1;54547841;54615569;RNA
chr1;55177216;55185051;RNA
chr1;55177295;55185051;RNA
chr1;55687060;55688748;RNA
chr1;55695182;55715630;RNA
chr1;56172972;56175688;RNA
chr1;57185199;57191696;RNA
chr1;57577731;57586932;RNA
chr1;57577827;57585617;RNA
chr1;57577827;57586261;RNA
chr1;57577864;57586397;RNA
chr1;58349577;58353436;RNA
chr1;58349616;58353436;RNA
chr1;59089086;59095559;RNA
chr1;59089361;59095559;RNA
chr1;59156698;59159078;RNA
chr1;59529205;59532155;RNA
chr1;59974403;59979128;RNA
chr1;60080851;60082551;RNA
chr1;60234610;60246964;RNA
chr1;60397311;60400347;RNA
chr1;61025512;61027724;RNA
chr1;61133977;61136401;RNA
chr1;61269876;61278918;RNA
chr1;61733652;61737713;RNA
chr1;62388612;62399690;RNA
chr1;62811117;62830068;RNA
chr1;63061935;63070629;RNA
chr1;63061970;63070629;RNA
chr1;63061982;63068976;RNA
chr1;63243144;63248293;RNA
chr1;63243475;63248293;RNA
chr1;63249956;63256870;RNA
chr1;63249985;63256870;RNA
chr1;63280266;63287148;RNA
chr1;63374549;63377654;RNA
chr1;63447767;63449536;RNA
chr1;63637308;63639513;RNA
chr1;63776895;63783237;RNA
chr1;64589739;64594779;RNA
chr1;64643145;64657841;RNA
chr1;64685712;64691886;RNA
chr1;64705977;64710034;RNA
chr1;64791942;64804281;RNA
chr1;64791958;64804281;RNA
chr1;64878530;64881815;RNA
chr1;65365801;65371581;RNA
chr1;65365828;65371581;RNA
chr1;65436437;65439063;RNA
chr1;65436474;65439063;RNA
chr2;184946;189029;RNA
chr2;184973;189029;RNA
chr2;1417513;1425978;RNA
chr2;1417553;1425978;RNA
chr2;1417573;1425978;RNA
chr2;1418936;1425978;RNA
chr2;1698851;1703751;RNA
chr2;1698872;1703751;RNA
chr2;2211610;2215580;RNA
chr2;2332762;2336999;RNA
chr2;2611208;2614171;RNA
chr2;2695889;2700132;RNA
chr2;2695964;2700132;RNA
chr2;3121192;3127376;RNA
chr2;3379418;3386645;RNA
chr2;3379704;3386645;RNA
chr2;3798872;3813382;RNA
chr2;3798966;3813382;RNA
chr2;3799022;3813382;RNA
chr2;3870374;3872056;RNA
chr2;3876594;3914477;RNA
chr2;4168988;4172110;RNA
chr2;4169006;4172110;RNA
chr2;4355558;4360364;RNA
chr2;4516853;4519014;RNA
chr2;4724170;4731501;RNA
chr2;4884376;4890425;RNA
chr2;5666058;5669504;RNA
chr2;5687944;5690728;RNA
chr2;5691123;5696567;RNA
chr2;5853891;5856401;RNA
chr2;5853900;5856401;RNA
chr2;6028903;6034182;RNA
chr2;6029053;6034182;RNA
chr2;6029063;6034182;RNA
chr2;6029082;6034182;RNA
chr2;6256320;6259572;RNA
chr2;6699634;6706787;RNA
chr2;6728733;6730977;RNA
chr2;7200126;7203842;RNA
chr2;7200136;7203842;RNA
chr2;8264675;8274213;RNA
chr2;8710064;8716257;RNA
chr2;8710094;8716257;RNA
chr2;9072052;9075676;RNA
chr2;9247600;9269100;RNA
chr2;9627633;9633107;RNA
chr2;10474440;10476246;RNA
