chr;start;end;value1;color;V6;V7
1;0;200000;0;a;0;0
1;200000;400000;24;a;0;0
1;400000;600000;27;a;0;0
1;600000;800000;72;a;0;0
1;800000;1000000;70;a;0;0
1;1000000;1200000;37;a;0;0
1;1200000;1400000;55;a;0;0
1;1400000;1600000;78;a;0;0
1;1600000;1800000;84;a;0;0
1;1800000;2000000;51;a;0;0
1;2000000;2200000;53;a;0;0
1;2200000;2400000;51;a;0;0
1;2400000;2600000;67;a;0;0
1;2600000;2800000;71;a;0;0
1;2800000;3000000;67;a;0;0
1;3000000;3200000;94;a;0;0
1;3200000;3400000;86;a;0;0
1;3400000;3600000;86;a;0;0
1;3600000;3800000;77;a;0;0
1;3800000;4000000;90;a;0;0
1;4000000;4200000;93;a;0;0
1;4200000;4400000;73;a;0;0
1;4400000;4600000;82;a;0;0
1;4600000;4800000;79;a;0;0
1;4800000;5000000;83;a;0;0
1;5000000;5200000;52;a;0;0
1;5200000;5400000;40;a;0;0
1;5400000;5600000;78;a;0;0
1;5600000;5800000;38;a;0;0
1;5800000;6000000;55;a;0;0
1;6000000;6200000;65;a;0;0
1;6200000;6400000;64;a;0;0
1;6400000;6600000;62;a;0;0
1;6600000;6800000;49;a;0;0
1;6800000;7000000;55;a;0;0
1;7000000;7200000;59;a;0;0
1;7200000;7400000;45;a;0;0
1;7400000;7600000;55;a;0;0
1;7600000;7800000;74;a;0;0
1;7800000;8000000;84;a;0;0
1;8000000;8200000;73;a;0;0
1;8200000;8400000;79;a;0;0
1;8400000;8600000;76;a;0;0
1;8600000;8800000;78;a;0;0
1;8800000;9000000;66;a;0;0
1;9000000;9200000;65;a;0;0
1;9200000;9400000;72;a;0;0
1;9400000;9600000;55;a;0;0
1;9600000;9800000;54;a;0;0
1;9800000;10000000;61;a;0;0
1;10000000;10200000;68;a;0;0
1;10200000;10400000;67;a;0;0
1;10400000;10600000;45;a;0;0
1;10600000;10800000;65;a;0;0
1;10800000;11000000;55;a;0;0
1;11000000;11200000;35;a;0;0
1;11200000;11400000;64;a;0;0
1;11400000;11600000;44;a;0;0
1;11600000;11800000;80;a;0;0
