chr;start;end ;value1;color;V6;V7
sq0001;0;100;0;a;0;0
sq0001;200000;200100;7;a;0;0
sq0001;400000;400100;11;a;0;0
sq0001;600000;600100;13;a;0;0
sq0001;800000;800100;1;a;0;0
sq0001;1000000;1000100;5;a;0;0
sq0001;1200000;1200100;6;a;0;0
sq0001;1400000;1400100;2;a;0;0
sq0001;1600000;1600100;12;a;0;0
sq0001;1800000;1800100;5;a;0;0
sq0001;2000000;2000100;0;a;0;0
sq0001;2200000;2200100;3;a;0;0
sq0001;2400000;2400100;17;a;0;0
sq0001;2600000;2600100;4;a;0;0
sq0001;2800000;2800100;2;a;0;0
sq0001;3000000;3000100;15;a;0;0
sq0001;3200000;3200100;0;a;0;0
sq0001;3400000;3400100;2;a;0;0
sq0001;3600000;3600100;5;a;0;0
sq0001;3800000;3800100;7;a;0;0
sq0001;4000000;4000100;13;a;0;0
sq0001;4200000;4200100;4;a;0;0
sq0001;4400000;4400100;9;a;0;0
sq0001;4600000;4600100;17;a;0;0
sq0001;4800000;4800100;5;a;0;0
sq0001;5000000;5000100;0;a;0;0
sq0001;5200000;5200100;6;a;0;0
sq0001;5400000;5400100;7;a;0;0
sq0001;5600000;5600100;11;a;0;0
sq0001;5800000;5800100;1;a;0;0
sq0001;6000000;6000100;3;a;0;0
sq0001;6200000;6200100;2;a;0;0
sq0001;6400000;6400100;2;a;0;0
sq0001;6600000;6600100;6;a;0;0
sq0001;6800000;6800100;10;a;0;0
sq0001;7000000;7000100;0;a;0;0
sq0001;7200000;7200100;0;a;0;0
sq0001;7400000;7400100;1;a;0;0
sq0001;7600000;7600100;6;a;0;0
sq0001;7800000;7800100;9;a;0;0
sq0001;8000000;8000100;8;a;0;0
sq0001;8200000;8200100;18;a;0;0
sq0001;8400000;8400100;10;a;0;0
sq0001;8600000;8600100;10;a;0;0
sq0001;8800000;8800100;0;a;0;0
sq0001;9000000;9000100;3;a;0;0
sq0001;9200000;9200100;0;a;0;0
sq0001;9400000;9400100;9;a;0;0
sq0001;9600000;9600100;7;a;0;0
sq0001;9800000;9800100;8;a;0;0
sq0001;10000000;10000100;2;a;0;0
sq0001;10200000;10200100;8;a;0;0
sq0001;10400000;10400100;0;a;0;0
sq0001;10600000;10600100;1;a;0;0
sq0001;10800000;10800100;11;a;0;0
sq0001;11000000;11000100;5;a;0;0
sq0001;11200000;11200100;10;a;0;0
sq0001;11400000;11400100;2;a;0;0
sq0001;11600000;11600100;0;a;0;0
sq0001;11800000;11800100;7;a;0;0
sq0001;12000000;12000100;8;a;0;0
sq0001;12200000;12200100;3;a;0;0
sq0001;12400000;12400100;1;a;0;0
sq0001;12600000;12600100;0;a;0;0
sq0001;12800000;12800100;0;a;0;0
sq0001;13000000;13000100;0;a;0;0
sq0001;13200000;13200100;5;a;0;0
sq0001;13400000;13400100;3;a;0;0
sq0001;13600000;13600100;0;a;0;0
sq0001;13800000;13800100;10;a;0;0
sq0001;14000000;14000100;7;a;0;0
sq0001;14200000;14200100;5;a;0;0
sq0001;14400000;14400100;2;a;0;0
sq0001;14600000;14600100;0;a;0;0
sq0001;14800000;14800100;4;a;0;0
sq0001;15000000;15000100;2;a;0;0
sq0001;15200000;15200100;5;a;0;0
sq0001;15400000;15400100;0;a;0;0
sq0001;15600000;15600100;0;a;0;0
sq0001;15800000;15800100;7;a;0;0
sq0001;16000000;16000100;10;a;0;0
sq0001;16200000;16200100;0;a;0;0
sq0001;16400000;16400100;0;a;0;0
sq0001;16600000;16600100;6;a;0;0
sq0001;16800000;16800100;15;a;0;0
sq0001;17000000;17000100;8;a;0;0
sq0001;17200000;17200100;2;a;0;0
sq0001;17400000;17400100;4;a;0;0
sq0001;17600000;17600100;5;a;0;0
sq0001;17800000;17800100;8;a;0;0
sq0001;18000000;18000100;10;a;0;0
sq0001;18200000;18200100;0;a;0;0
sq0001;18400000;18400100;0;a;0;0
sq0001;18600000;18600100;7;a;0;0
sq0001;18800000;18800100;2;a;0;0
sq0001;19000000;19000100;6;a;0;0
sq0001;19200000;19200100;12;a;0;0
sq0001;19400000;19400100;2;a;0;0
sq0001;19600000;19600100;0;a;0;0
sq0001;19800000;19800100;9;a;0;0
sq0001;20000000;20000100;2;a;0;0
sq0001;20200000;20200100;2;a;0;0
sq0001;20400000;20400100;8;a;0;0
sq0001;20600000;20600100;0;a;0;0
sq0001;20800000;20800100;0;a;0;0
sq0001;21000000;21000100;0;a;0;0
sq0001;21200000;21200100;0;a;0;0
sq0001;21400000;21400100;4;a;0;0
sq0001;21600000;21600100;1;a;0;0
sq0001;21800000;21800100;6;a;0;0
sq0001;22000000;22000100;2;a;0;0
sq0001;22200000;22200100;2;a;0;0
sq0001;22400000;22400100;7;a;0;0
sq0001;22600000;22600100;12;a;0;0
sq0001;22800000;22800100;0;a;0;0
sq0001;23000000;23000100;8;a;0;0
sq0001;23200000;23200100;0;a;0;0
sq0001;23400000;23400100;2;a;0;0
sq0001;23600000;23600100;7;a;0;0
sq0001;23800000;23800100;7;a;0;0
sq0001;24000000;24000100;1;a;0;0
sq0001;24200000;24200100;3;a;0;0
sq0001;24400000;24400100;21;a;0;0
sq0001;24600000;24600100;21;a;0;0
sq0001;24800000;24800100;0;a;0;0
sq0001;25000000;25000100;2;a;0;0
sq0001;25200000;25200100;7;a;0;0
sq0001;25400000;25400100;0;a;0;0
sq0001;25600000;25600100;0;a;0;0
sq0001;25800000;25800100;0;a;0;0
sq0001;26000000;26000100;4;a;0;0
sq0001;26200000;26200100;4;a;0;0
sq0001;26400000;26400100;0;a;0;0
sq0001;26600000;26600100;0;a;0;0
sq0001;26800000;26800100;1;a;0;0
sq0001;27000000;27000100;3;a;0;0
sq0001;27200000;27200100;0;a;0;0
sq0001;27400000;27400100;0;a;0;0
sq0001;27600000;27600100;0;a;0;0
sq0001;27800000;27800100;7;a;0;0
sq0001;28000000;28000100;0;a;0;0
sq0001;28200000;28200100;1;a;0;0
sq0001;28400000;28400100;1;a;0;0
sq0001;28600000;28600100;2;a;0;0
