chr;start;end;value1;color;V6;V7
chr1;0;200000;0;a;0;0
chr1;200000;400000;13;a;0;0
chr1;400000;600000;3;a;0;0
chr1;600000;800000;9;a;0;0
chr1;800000;1000000;3;a;0;0
chr1;1000000;1200000;1;a;0;0
chr1;1200000;1400000;14;a;0;0
chr1;1400000;1600000;10;a;0;0
chr1;1600000;1800000;9;a;0;0
chr1;1800000;2000000;3;a;0;0
chr1;2000000;2200000;2;a;0;0
chr1;2200000;2400000;2;a;0;0
chr1;2400000;2600000;2;a;0;0
chr1;2600000;2800000;15;a;0;0
chr1;2800000;3000000;16;a;0;0
chr1;3000000;3200000;12;a;0;0
chr1;3200000;3400000;6;a;0;0
chr1;3400000;3600000;32;a;0;0
chr1;3600000;3800000;5;a;0;0
chr1;3800000;4000000;7;a;0;0
chr1;4000000;4200000;18;a;0;0
chr1;4200000;4400000;21;a;0;0
chr1;4400000;4600000;24;a;0;0
chr1;4600000;4800000;18;a;0;0
chr1;4800000;5000000;8;a;0;0
chr1;5000000;5200000;20;a;0;0
chr1;5200000;5400000;32;a;0;0
chr1;5400000;5600000;34;a;0;0
chr1;5600000;5800000;16;a;0;0
chr1;5800000;6000000;21;a;0;0
chr1;6000000;6200000;21;a;0;0
chr1;6200000;6400000;15;a;0;0
chr1;6400000;6600000;15;a;0;0
chr1;6600000;6800000;12;a;0;0
chr1;6800000;7000000;17;a;0;0
chr1;7000000;7200000;24;a;0;0
chr1;7200000;7400000;24;a;0;0
chr1;7400000;7600000;35;a;0;0
chr1;7600000;7800000;19;a;0;0
chr1;7800000;8000000;41;a;0;0
chr1;8000000;8200000;22;a;0;0
chr1;8200000;8400000;30;a;0;0
chr1;8400000;8600000;27;a;0;0
chr1;8600000;8800000;24;a;0;0
chr1;8800000;9000000;32;a;0;0
chr1;9000000;9200000;28;a;0;0
chr1;9200000;9400000;29;a;0;0
chr1;9400000;9600000;44;a;0;0
chr1;9600000;9800000;25;a;0;0
chr1;9800000;10000000;33;a;0;0
chr1;10000000;10200000;18;a;0;0
chr1;10200000;10400000;27;a;0;0
chr1;10400000;10600000;31;a;0;0
chr1;10600000;10800000;16;a;0;0
chr1;10800000;11000000;39;a;0;0
chr1;11000000;11200000;44;a;0;0
chr1;11200000;11400000;32;a;0;0
chr1;11400000;11600000;36;a;0;0
chr1;11600000;11800000;42;a;0;0
chr1;11800000;12000000;27;a;0;0
chr1;12000000;12200000;54;a;0;0
chr1;12200000;12400000;51;a;0;0
chr1;12400000;12600000;52;a;0;0
chr1;12600000;12800000;63;a;0;0
chr1;12800000;13000000;37;a;0;0
chr1;13000000;13200000;64;a;0;0
chr1;13200000;13400000;51;a;0;0
chr1;13400000;13600000;53;a;0;0
chr1;13600000;13800000;47;a;0;0
chr1;13800000;14000000;51;a;0;0
chr1;14000000;14200000;44;a;0;0
chr1;14200000;14400000;49;a;0;0
chr1;14400000;14600000;55;a;0;0
chr1;14600000;14800000;42;a;0;0
chr1;14800000;15000000;33;a;0;0
chr1;15000000;15200000;27;a;0;0
chr1;15200000;15400000;35;a;0;0
chr1;15400000;15600000;58;a;0;0
chr1;15600000;15800000;52;a;0;0
chr1;15800000;16000000;35;a;0;0
chr1;16000000;16200000;25;a;0;0
chr1;16200000;16400000;15;a;0;0
chr1;16400000;16600000;35;a;0;0
chr1;16600000;16800000;33;a;0;0
chr1;16800000;17000000;15;a;0;0
chr1;17000000;17200000;37;a;0;0
chr1;17200000;17400000;36;a;0;0
chr1;17400000;17600000;39;a;0;0
chr1;17600000;17800000;20;a;0;0
chr1;17800000;18000000;58;a;0;0
chr1;18000000;18200000;34;a;0;0
chr1;18200000;18400000;23;a;0;0
chr1;18400000;18600000;39;a;0;0
chr1;18600000;18800000;11;a;0;0
chr1;18800000;19000000;13;a;0;0
chr1;19000000;19200000;18;a;0;0
chr1;19200000;19400000;24;a;0;0
chr1;19400000;19600000;20;a;0;0
chr1;19600000;19800000;23;a;0;0
chr1;19800000;20000000;19;a;0;0
chr1;20000000;20200000;16;a;0;0
chr1;20200000;20400000;17;a;0;0
chr1;20400000;20600000;1;a;0;0
chr1;20600000;20800000;19;a;0;0
chr1;20800000;21000000;20;a;0;0
chr1;21000000;21200000;2;a;0;0
chr1;21200000;21400000;15;a;0;0
chr1;21400000;21600000;4;a;0;0
chr1;21600000;21800000;9;a;0;0
chr1;21800000;22000000;1;a;0;0
chr1;22000000;22200000;6;a;0;0
chr1;22200000;22400000;14;a;0;0
chr1;22400000;22600000;11;a;0;0
chr1;22600000;22800000;3;a;0;0
chr1;22800000;23000000;5;a;0;0
chr1;23000000;23200000;1;a;0;0
chr1;23200000;23400000;6;a;0;0
chr1;23400000;23600000;11;a;0;0
chr1;23600000;23800000;15;a;0;0
chr1;23800000;24000000;8;a;0;0
chr1;24000000;24200000;5;a;0;0
chr1;24200000;24400000;5;a;0;0
chr1;24400000;24600000;6;a;0;0
chr1;24600000;24800000;5;a;0;0
chr1;24800000;25000000;6;a;0;0
chr1;25000000;25200000;8;a;0;0
chr1;25200000;25400000;5;a;0;0
chr1;25400000;25600000;10;a;0;0
chr1;25600000;25800000;0;a;0;0
chr1;25800000;26000000;3;a;0;0
chr1;26000000;26200000;7;a;0;0
chr1;26200000;26400000;1;a;0;0
chr1;26400000;26600000;4;a;0;0
chr1;26600000;26800000;0;a;0;0
chr1;26800000;27000000;0;a;0;0
chr1;27000000;27200000;1;a;0;0
chr1;27200000;27400000;0;a;0;0
chr1;27400000;27600000;0;a;0;0
chr1;27600000;27800000;0;a;0;0
chr1;27800000;28000000;0;a;0;0
chr1;28000000;28200000;6;a;0;0
chr1;28200000;28400000;4;a;0;0
chr1;28400000;28600000;1;a;0;0
chr1;28600000;28800000;0;a;0;0
chr1;28800000;29000000;1;a;0;0
chr1;29000000;29200000;0;a;0;0
chr1;29200000;29400000;2;a;0;0
chr1;29400000;29600000;0;a;0;0
chr1;29600000;29800000;2;a;0;0
chr1;29800000;30000000;1;a;0;0
chr1;30000000;30200000;5;a;0;0
chr1;30200000;30400000;6;a;0;0
chr1;30400000;30600000;6;a;0;0
chr1;30600000;30800000;0;a;0;0
chr1;30800000;31000000;0;a;0;0
chr1;31000000;31200000;0;a;0;0
chr1;31200000;31400000;6;a;0;0
chr1;31400000;31600000;0;a;0;0
chr1;31600000;31800000;11;a;0;0
chr1;31800000;32000000;0;a;0;0
chr1;32000000;32200000;0;a;0;0
chr1;32200000;32400000;4;a;0;0
chr1;32400000;32600000;0;a;0;0
chr1;32600000;32800000;0;a;0;0
chr1;32800000;33000000;5;a;0;0
chr1;33000000;33200000;11;a;0;0
chr1;33200000;33400000;2;a;0;0
chr1;33400000;33600000;1;a;0;0
chr1;33600000;33800000;1;a;0;0
chr1;33800000;34000000;0;a;0;0
chr1;34000000;34200000;5;a;0;0
chr1;34200000;34400000;8;a;0;0
chr1;34400000;34600000;7;a;0;0
chr1;34600000;34800000;0;a;0;0
chr1;34800000;35000000;0;a;0;0
chr1;35000000;35200000;6;a;0;0
chr1;35200000;35400000;7;a;0;0
chr1;35400000;35600000;1;a;0;0
chr1;35600000;35800000;0;a;0;0
chr3;0;200000;0;a;0;0
chr3;200000;400000;4;a;0;0
chr3;400000;600000;1;a;0;0
chr3;600000;800000;2;a;0;0
chr3;800000;1000000;3;a;0;0
chr3;1000000;1200000;0;a;0;0
chr3;1200000;1400000;0;a;0;0
chr3;1400000;1600000;0;a;0;0
chr3;1600000;1800000;0;a;0;0
chr3;1800000;2000000;1;a;0;0
chr3;2000000;2200000;0;a;0;0
chr3;2200000;2400000;3;a;0;0
chr3;2400000;2600000;2;a;0;0
chr3;2600000;2800000;2;a;0;0
chr3;2800000;3000000;0;a;0;0
chr3;3000000;3200000;0;a;0;0
chr3;3200000;3400000;9;a;0;0
chr3;3400000;3600000;1;a;0;0
chr3;3600000;3800000;1;a;0;0
chr3;3800000;4000000;0;a;0;0
chr3;4000000;4200000;0;a;0;0
chr3;4200000;4400000;1;a;0;0
chr3;4400000;4600000;1;a;0;0
chr3;4600000;4800000;0;a;0;0
chr3;4800000;5000000;2;a;0;0
chr3;5000000;5200000;0;a;0;0
chr3;5200000;5400000;0;a;0;0
chr3;5400000;5600000;2;a;0;0
chr3;5600000;5800000;1;a;0;0
chr3;5800000;6000000;5;a;0;0
chr3;6000000;6200000;9;a;0;0
chr3;6200000;6400000;1;a;0;0
chr3;6400000;6600000;5;a;0;0
chr3;6600000;6800000;1;a;0;0
chr3;6800000;7000000;7;a;0;0
