chr;start;end;value1;color;V6;V7
chr2;0;200000;0;a;0;0
chr2;200000;400000;25;a;0;0
chr2;400000;600000;30;a;0;0
chr2;600000;800000;33;a;0;0
chr2;800000;1000000;28;a;0;0
chr2;1000000;1200000;40;a;0;0
chr2;1200000;1400000;37;a;0;0
chr2;1400000;1600000;46;a;0;0
chr2;1600000;1800000;70;a;0;0
chr2;1800000;2000000;35;a;0;0
chr2;2000000;2200000;37;a;0;0
chr2;2200000;2400000;40;a;0;0
chr2;2400000;2600000;47;a;0;0
chr2;2600000;2800000;50;a;0;0
chr2;2800000;3000000;47;a;0;0
chr2;3000000;3200000;47;a;0;0
chr2;3200000;3400000;35;a;0;0
chr2;3400000;3600000;46;a;0;0
chr2;3600000;3800000;32;a;0;0
chr2;3800000;4000000;47;a;0;0
chr2;4000000;4200000;54;a;0;0
chr2;4200000;4400000;59;a;0;0
chr2;4400000;4600000;41;a;0;0
chr2;4600000;4800000;49;a;0;0
chr2;4800000;5000000;55;a;0;0
chr2;5000000;5200000;44;a;0;0
chr2;5200000;5400000;36;a;0;0
chr2;5400000;5600000;49;a;0;0
chr2;5600000;5800000;53;a;0;0
chr2;5800000;6000000;68;a;0;0
chr2;6000000;6200000;60;a;0;0
chr2;6200000;6400000;67;a;0;0
chr2;6400000;6600000;51;a;0;0
chr2;6600000;6800000;52;a;0;0
chr2;6800000;7000000;63;a;0;0
chr2;7000000;7200000;61;a;0;0
chr2;7200000;7400000;47;a;0;0
chr2;7400000;7600000;69;a;0;0
chr2;7600000;7800000;58;a;0;0
chr2;7800000;8000000;91;a;0;0
chr2;8000000;8200000;73;a;0;0
chr2;8200000;8400000;73;a;0;0
chr2;8400000;8600000;77;a;0;0
chr2;8600000;8800000;63;a;0;0
chr2;8800000;9000000;66;a;0;0
chr2;9000000;9200000;76;a;0;0
chr2;9200000;9400000;65;a;0;0
chr2;9400000;9600000;83;a;0;0
chr2;9600000;9800000;73;a;0;0
chr2;9800000;10000000;75;a;0;0
chr2;10000000;10200000;50;a;0;0
chr2;10200000;10400000;49;a;0;0
chr2;10400000;10600000;66;a;0;0
chr2;10600000;10800000;58;a;0;0
chr2;10800000;11000000;64;a;0;0
chr2;11000000;11200000;67;a;0;0
chr2;11200000;11400000;70;a;0;0
chr2;11400000;11600000;79;a;0;0
chr2;11600000;11800000;64;a;0;0
chr2;11800000;12000000;77;a;0;0
chr2;12000000;12200000;95;a;0;0
chr2;12200000;12400000;92;a;0;0
chr2;12400000;12600000;78;a;0;0
chr2;12600000;12800000;98;a;0;0
chr2;12800000;13000000;91;a;0;0
chr2;13000000;13200000;95;a;0;0
chr2;13200000;13400000;63;a;0;0
chr2;13400000;13600000;86;a;0;0
chr2;13600000;13800000;96;a;0;0
chr2;13800000;14000000;92;a;0;0
chr2;14000000;14200000;96;a;0;0
chr2;14200000;14400000;92;a;0;0
chr2;14400000;14600000;79;a;0;0
chr2;14600000;14800000;93;a;0;0
chr2;14800000;15000000;97;a;0;0
chr2;15000000;15200000;93;a;0;0
chr2;15200000;15400000;95;a;0;0
chr2;15400000;15600000;97;a;0;0
chr2;15600000;15800000;96;a;0;0
chr2;15800000;16000000;92;a;0;0
chr2;16000000;16200000;94;a;0;0
chr2;16200000;16400000;91;a;0;0
chr2;16400000;16600000;97;a;0;0
chr2;16600000;16800000;97;a;0;0
chr2;16800000;17000000;77;a;0;0
chr2;17000000;17200000;91;a;0;0
chr2;17200000;17400000;94;a;0;0
chr2;17400000;17600000;66;a;0;0
chr2;17600000;17800000;88;a;0;0
chr2;17800000;18000000;89;a;0;0
chr2;18000000;18200000;86;a;0;0
chr2;18200000;18400000;79;a;0;0
chr2;18400000;18600000;90;a;0;0
chr2;18600000;18800000;84;a;0;0
chr2;18800000;19000000;68;a;0;0
chr2;19000000;19200000;73;a;0;0
chr2;19200000;19400000;83;a;0;0
chr2;19400000;19600000;88;a;0;0
