chr;start;end;stack
1;57208900;57209046;a
1;60760398;60760548;a
1;61442573;61442767;a
1;63701788;63701902;a
2;959938;960049;a
2;4145803;4145995;a
2;9178290;9178401;a
2;14131655;14131760;a
2;14179777;14179879;a
2;20271137;20271283;a
2;79098510;79098664;a
3;3387522;3387615;a
3;28757788;28757888;a
4;4732576;4732676;a
4;6253366;6253482;a
4;8033740;8033906;a
5;38413943;38414049;a
5;38470502;38470600;a
5;48021880;48021978;a
6;6707123;6707231;a
6;9552811;9552897;a
6;39615173;39615309;a
6;63208379;63208484;a
6;63215479;63215586;a
6;65567481;65567588;a
7;2470130;2470231;a
7;7375182;7375302;a
7;8412823;8412953;a
8;12473347;12473485;a
8;44785432;44785540;a
8;48693508;48693690;a
8;48950779;48950861;a
8;49603472;49603645;a
9;1302169;1302269;a
9;1903228;1903317;a
9;6593709;6594050;a
9;8836573;8836662;a
10;675660;675796;a
10;755022;755175;a
1;50589689;50589800;a
1;61442571;61442765;a
1;63976843;63976942;a
2;4145801;4145993;a
2;5716438;5716590;a
2;6234260;6234419;a
2;9178290;9178401;a
2;14131655;14131760;a
2;14179777;14179879;a
2;14182895;14183019;a
2;61955550;61955642;a
2;72518805;72518900;a
3;3970342;3970445;a
3;28522733;28522893;a
3;28757786;28757886;a
4;4732574;4732674;a
4;5136619;5136822;a
4;5252080;5252203;a
4;5625041;5625313;a
4;8033746;8033898;a
5;48021882;48021980;a
6;520470;520671;a
6;742319;742483;a
6;5946315;5946487;a
6;6668061;6668200;a
6;6707121;6707238;a
6;39615171;39615307;a
6;51826272;51826380;a
6;61057494;61057611;a
6;61075886;61075993;a
6;65567479;65567586;a
7;6242642;6242762;a
7;7375176;7375308;a
7;8412821;8412951;a
8;48693502;48693688;a
9;1302167;1302267;a
9;37315194;37315309;a
10;40840089;40840156;a
11;14346987;14347168;a
11;35438801;35439013;a
11;39171475;39171724;a
11;39626042;39626151;a
11;39628033;39628124;a
