chr;start;end;stack
sq0002;29587263;29587374;a
sq0002;33580997;33581143;a
sq0002;37160433;37160583;a
sq0002;37641018;37641212;a
sq0002;37641020;37641214;a
sq0002;40015878;40015992;a
sq0002;40275670;40275769;a
sq0004;716655;716766;a
sq0004;3980847;3981039;a
sq0004;3980849;3981041;a
sq0004;5508577;5508741;a
sq0004;5508578;5508742;a
sq0004;6007240;6007399;a
sq0004;9106486;9106597;a
sq0004;9106486;9106597;a
sq0004;13781048;13781200;a
sq0004;13784762;13784869;a
sq0004;13784762;13784869;a
sq0004;13826960;13827053;a
sq0004;13829335;13829437;a
sq0004;13829335;13829437;a
sq0004;13832626;13832750;a
sq0004;19747418;19747553;a
sq0004;52364437;52364529;a
sq0004;59089265;59089360;a
sq0004;64481279;64481432;a
sq0006;3628292;3628385;a
sq0006;4191338;4191441;a
sq0006;23536847;23536947;a
sq0006;23536849;23536949;a
sq0008;4555722;4555822;a
sq0008;4555724;4555824;a
sq0008;4989215;4989418;a
sq0008;5418999;5419266;a
sq0008;6963831;6963940;a
sq0010;26180424;26180530;a
sq0010;26237456;26237554;a
sq0010;35330921;35331019;a
sq0012;5367505;5367677;a
sq0012;6084480;6084584;a
sq0012;6084482;6084586;a
sq0012;6122238;6122377;a
sq0012;9070946;9071032;a
sq0012;33873385;33873521;a
sq0012;33873387;33873523;a
sq0012;42112846;42112963;a
sq0012;42134532;42134639;a
sq0012;45137366;45137473;a
sq0012;45137368;45137475;a
sq0014;2455531;2455633;a
sq0014;6361146;6361266;a
sq0014;7492734;7492866;a
sq0014;7492740;7492860;a
sq0014;8498548;8498677;a
sq0014;8498550;8498679;a
sq0014;19915860;19916087;a
sq0014;19915860;19916087;a
sq0016;9074457;9074595;a
sq0016;30649959;30650067;a
sq0016;34703017;34703203;a
sq0016;34703023;34703205;a
sq0016;34975195;34975277;a
sq0016;35645717;35645888;a
sq0018;3239311;3239425;a
sq0018;3348247;3348361;a
sq0018;23712330;23712418;a
sq0018;25556348;25556688;a
sq0018;29709250;29709339;a
sq0018;30080496;30080596;a
sq0018;30080498;30080598;a
sq0020;776385;776521;a
sq0020;15857413;15857521;a
sq0020;24047436;24047503;a
sq0022;26664134;26664346;a
sq0022;30639145;30639254;a
sq0022;30640109;30640223;a
sq0022;30648971;30649082;a
sq0022;32036119;32036333;a
