chr;start;end;value1;color
chr2;0;200000;0;a
chr2;200000;400000;54;a
chr2;400000;600000;45;a
chr2;600000;800000;33;a
chr2;800000;1000000;37;a
chr2;1000000;1200000;42;a
chr2;1200000;1400000;19;a
chr2;1400000;1600000;25;a
chr2;1600000;1800000;12;a
chr2;1800000;2000000;30;a
chr2;2000000;2200000;34;a
chr2;2200000;2400000;12;a
chr2;2400000;2600000;33;a
chr2;2600000;2800000;20;a
chr2;2800000;3000000;18;a
chr2;3000000;3200000;26;a
chr2;3200000;3400000;36;a
chr2;3400000;3600000;25;a
chr2;3600000;3800000;32;a
chr2;3800000;4000000;28;a
chr2;4000000;4200000;15;a
chr2;4200000;4400000;14;a
chr2;4400000;4600000;32;a
chr2;4600000;4800000;32;a
chr2;4800000;5000000;21;a
chr2;5000000;5200000;34;a
chr2;5200000;5400000;36;a
chr2;5400000;5600000;17;a
chr2;5600000;5800000;24;a
chr2;5800000;6000000;16;a
chr2;6000000;6200000;11;a
chr2;6200000;6400000;18;a
chr2;6400000;6600000;25;a
chr2;6600000;6800000;23;a
chr2;6800000;7000000;17;a
chr2;7000000;7200000;30;a
chr2;7200000;7400000;17;a
chr2;7400000;7600000;11;a
chr2;7600000;7800000;5;a
chr2;7800000;8000000;4;a
chr2;8000000;8200000;11;a
chr2;8200000;8400000;22;a
chr2;8400000;8600000;10;a
chr2;8600000;8800000;10;a
chr2;8800000;9000000;6;a
chr2;9000000;9200000;12;a
chr2;9200000;9400000;4;a
chr2;9400000;9600000;13;a
chr2;9600000;9800000;14;a
chr2;9800000;10000000;11;a
chr2;10000000;10200000;15;a
chr2;10200000;10400000;28;a
chr2;10400000;10600000;6;a
chr2;10600000;10800000;17;a
chr2;10800000;11000000;10;a
chr2;11000000;11200000;9;a
chr2;11200000;11400000;16;a
chr2;11400000;11600000;10;a
chr2;11600000;11800000;17;a
chr2;11800000;12000000;4;a
chr2;12000000;12200000;0;a
chr2;12200000;12400000;7;a
chr2;12400000;12600000;4;a
chr2;12600000;12800000;0;a
chr2;12800000;13000000;2;a
chr2;13000000;13200000;0;a
chr2;13200000;13400000;17;a
chr2;13400000;13600000;14;a
chr2;13600000;13800000;0;a
chr2;13800000;14000000;2;a
chr2;14000000;14200000;0;a
chr2;14200000;14400000;1;a
chr2;14400000;14600000;15;a
chr2;14600000;14800000;0;a
chr2;14800000;15000000;0;a
chr2;15000000;15200000;2;a
chr2;15200000;15400000;4;a
chr2;15400000;15600000;0;a
chr2;15600000;15800000;0;a
chr2;15800000;16000000;2;a
chr2;16000000;16200000;6;a
chr2;16200000;16400000;1;a
chr2;16400000;16600000;0;a
chr2;16600000;16800000;0;a
chr2;16800000;17000000;11;a
chr2;17000000;17200000;0;a
chr2;17200000;17400000;0;a
chr2;17400000;17600000;8;a
chr2;17600000;17800000;4;a
chr2;17800000;18000000;1;a
chr2;18000000;18200000;8;a
chr2;18200000;18400000;6;a
chr2;18400000;18600000;3;a
chr2;18600000;18800000;2;a
chr2;18800000;19000000;7;a
chr2;19000000;19200000;8;a
chr2;19200000;19400000;3;a
chr2;19400000;19600000;4;a
chr2;19600000;19800000;6;a
chr2;19800000;20000000;14;a
chr2;20000000;20200000;23;a
chr2;20200000;20400000;11;a
chr2;20400000;20600000;11;a
chr2;20600000;20800000;8;a
chr2;20800000;21000000;23;a
chr2;21000000;21200000;33;a
chr2;21200000;21400000;10;a
chr2;21400000;21600000;1;a
chr2;21600000;21800000;10;a
chr2;21800000;22000000;11;a
chr2;22000000;22200000;13;a
chr2;22200000;22400000;11;a
chr2;22400000;22600000;20;a
chr2;22600000;22800000;5;a
chr2;22800000;23000000;7;a
chr2;23000000;23200000;0;a
chr2;23200000;23400000;6;a
chr2;23400000;23600000;15;a
chr2;23600000;23800000;8;a
chr2;23800000;24000000;15;a
chr2;24000000;24200000;5;a
chr2;24200000;24400000;26;a
chr2;24400000;24600000;21;a
chr2;24600000;24800000;26;a
chr2;24800000;25000000;19;a
chr2;25000000;25200000;42;a
chr2;25200000;25400000;37;a
chr2;25400000;25600000;13;a
chr2;25600000;25800000;17;a
chr2;25800000;26000000;17;a
chr2;26000000;26200000;20;a
chr2;26200000;26400000;33;a
chr2;26400000;26600000;23;a
chr2;26600000;26800000;34;a
chr2;26800000;27000000;34;a
chr2;27000000;27200000;52;a
chr2;27200000;27400000;28;a
chr2;27400000;27600000;54;a
chr2;27600000;27800000;33;a
chr2;27800000;28000000;22;a
chr2;28000000;28200000;35;a
chr2;28200000;28400000;17;a
chr2;28400000;28600000;24;a
chr2;28600000;28800000;10;a
chr2;28800000;29000000;34;a
chr2;29000000;29200000;28;a
chr2;29200000;29400000;35;a
chr2;29400000;29600000;42;a
chr2;29600000;29800000;42;a
