chr;start;end;stack
chr1;48081673;48081784;miRNA
chr1;56876270;56876416;miRNA
chr1;60731195;60731345;miRNA
chr1;61344629;61344823;miRNA
chr1;61344631;61344825;miRNA
chr1;63882523;63882637;miRNA
chr1;64137138;64137237;miRNA
chr2;1221329;1221440;miRNA
chr2;5642663;5642855;miRNA
chr2;5642665;5642857;miRNA
chr2;7374348;7374512;miRNA
chr2;7374349;7374513;miRNA
chr2;7855797;7855956;miRNA
chr2;11713853;11713964;miRNA
chr2;11713853;11713964;miRNA
chr2;23262248;23262383;miRNA
chr2;72518189;72518281;miRNA
chr2;85079398;85079493;miRNA
chr2;93873161;93873315;miRNA
chr3;4110941;4111034;miRNA
chr3;4722168;4722271;miRNA
chr3;33583161;33583261;miRNA
chr3;33583163;33583263;miRNA
chr3;34407467;34407567;miRNA
chr3;34407469;34407569;miRNA
chr4;5093790;5093890;miRNA
chr4;5093792;5093892;miRNA
chr4;5517011;5517214;miRNA
chr4;5629909;5630032;miRNA
chr4;6005534;6005802;miRNA
chr4;6658012;6658122;miRNA
chr5;33865411;33865517;miRNA
chr5;33921648;33921746;miRNA
chr5;34061932;34062030;miRNA
chr5;45953133;45953231;miRNA
chr6;533414;533608;miRNA
chr6;749510;749674;miRNA
chr6;6080968;6081140;miRNA
chr6;6810240;6810383;miRNA
chr6;6846567;6846680;miRNA
chr6;6846569;6846673;miRNA
chr6;9952838;9952924;miRNA
chr6;25129704;25129813;miRNA
chr6;41489151;41489287;miRNA
chr6;41489153;41489289;miRNA
chr6;49574498;49574606;miRNA
chr6;50516556;50516664;miRNA
chr6;59082040;59082157;miRNA
chr6;59098985;59099092;miRNA
chr6;66234874;66234981;miRNA
chr6;66234876;66234983;miRNA
chr7;2441782;2441884;miRNA
chr7;6537345;6537465;miRNA
chr7;7686019;7686151;miRNA
chr7;7686025;7686145;miRNA
chr7;8748235;8748364;miRNA
chr7;8748237;8748366;miRNA
chr7;25966309;25966536;miRNA
chr8;16000213;16000351;miRNA
chr8;54915679;54915787;miRNA
chr8;60536311;60536497;miRNA
chr8;60536317;60536499;miRNA
chr8;60798432;60798514;miRNA
chr8;61548868;61549039;miRNA
chr9;1294008;1294108;miRNA
chr9;1294010;1294110;miRNA
chr9;1698156;1698245;miRNA
chr9;7048847;7049188;miRNA
chr9;9843613;9843701;miRNA
chr9;35446854;35446970;miRNA
chr9;35447254;35447370;miRNA
chr9;35462553;35462668;miRNA
chr10;317035;317171;miRNA
chr10;397509;397657;miRNA
chr10;30589518;30589625;miRNA
chr10;30589518;30589625;miRNA
chr10;30636980;30637073;miRNA
chr10;30639354;30639456;miRNA
chr10;30639354;30639456;miRNA
chr10;30642594;30642718;miRNA
chr11;42856700;42856912;miRNA
chr11;47517747;47517858;miRNA
