chr;start;end;stack
sq0002;755511;755593;a
sq0002;755742;755819;a
sq0002;1786086;1786169;a
sq0002;2039973;2040046;a
sq0002;2052558;2052631;a
sq0002;2064792;2064865;a
sq0002;2083578;2083651;a
sq0002;2141736;2141809;a
sq0002;2231076;2231149;a
sq0002;2234021;2234094;a
sq0002;2234217;2234290;a
sq0002;3743223;3743294;a
sq0002;3744006;3744077;a
sq0002;4349800;4349872;a
sq0002;4350004;4350076;a
sq0002;4912319;4912390;a
sq0002;4991685;4991819;a
sq0002;5935392;5935552;a
sq0002;5938254;5938414;a
sq0002;5964770;5964930;a
sq0002;7475891;7475997;a
sq0002;8006118;8006224;a
sq0002;8171485;8171590;a
sq0002;8429751;8429824;a
sq0002;9760309;9760380;a
sq0002;9922130;9922325;a
sq0002;10662938;10663043;a
sq0002;11890759;11890937;a
sq0002;14583346;14583452;a
sq0002;17312696;17312802;a
sq0002;19706732;19706818;a
sq0002;20074152;20074258;a
sq0002;21880324;21880431;a
sq0002;24045267;24045347;a
sq0002;24625497;24625573;a
sq0002;25387466;25387552;a
sq0002;26187424;26187496;a
sq0002;27799522;27799608;a
sq0002;28343762;28343870;a
sq0002;28349710;28349782;a
sq0002;29047042;29047114;a
sq0002;29381369;29381454;a
sq0002;29385126;29385200;a
sq0002;29587263;29587374;a
sq0002;32214567;32214639;a
sq0002;32755837;32755919;a
sq0002;32755980;32756051;a
sq0002;32864641;32864713;a
sq0002;33296416;33296507;a
sq0002;33580997;33581143;a
sq0002;34391857;34391928;a
sq0002;35060436;35060508;a
sq0002;35060621;35060692;a
sq0002;35112834;35112907;a
sq0002;35113030;35113103;a
sq0002;35313888;35313959;a
sq0002;35410392;35410472;a
sq0002;35602058;35602130;a
sq0002;35765002;35765074;a
sq0002;35800699;35800769;a
sq0002;36113767;36113840;a
sq0002;36163304;36163385;a
sq0002;36178211;36178282;a
sq0002;36475064;36475195;a
sq0002;36917615;36917688;a
sq0002;36946199;36946271;a
sq0002;37067518;37067599;a
sq0002;37130916;37130986;a
sq0002;37160433;37160583;a
sq0002;37387880;37387950;a
sq0002;37387956;37388048;a
sq0002;37474691;37474792;a
sq0002;37512281;37512368;a
sq0002;37641018;37641212;a
sq0002;37641020;37641214;a
sq0002;38217280;38217352;a
sq0002;38702274;38702346;a
sq0002;38935764;38935848;a
sq0002;39150837;39150910;a
sq0002;39406083;39406228;a
sq0002;39886500;39886570;a
sq0002;40015878;40015992;a
sq0002;40275670;40275769;a
sq0002;40283444;40283515;a
sq0002;40976253;40976334;a
sq0002;41107152;41107224;a
sq0002;41223631;41223702;a
sq0002;41515601;41515691;a
sq0002;41561726;41561796;a
sq0002;41618589;41618662;a
sq0002;42528210;42528282;a
sq0004;611199;611278;a
sq0004;716655;716766;a
sq0004;931162;931312;a
sq0004;1374371;1374442;a
sq0004;1878180;1878251;a
sq0004;2121819;2121886;a
sq0004;2122081;2122152;a
sq0004;2551578;2551657;a
sq0004;3035808;3035877;a
sq0004;3037421;3037497;a
sq0004;3038182;3038255;a
sq0004;3730459;3730553;a
sq0004;3730781;3730875;a
sq0004;3730992;3731093;a
sq0004;3731170;3731279;a
sq0004;3980847;3981039;a
sq0004;3980849;3981041;a
sq0004;4041995;4042068;a
sq0004;4715267;4715348;a
sq0004;4801893;4801966;a
sq0004;4835733;4835814;a
sq0004;4835894;4835966;a
sq0004;4859378;4859461;a
sq0004;5393232;5393358;a
sq0004;5432706;5432778;a
sq0004;5508577;5508741;a
sq0004;5508578;5508742;a
sq0004;5627686;5627757;a
sq0004;5718024;5718097;a
sq0004;6007240;6007399;a
sq0004;6133000;6133072;a
sq0004;6155357;6155429;a
sq0004;6232484;6232556;a
sq0004;6403513;6403585;a
sq0004;6404184;6404255;a
sq0004;6514976;6515047;a
sq0004;6714384;6714455;a
sq0004;6738305;6738462;a
sq0004;6798730;6798845;a
sq0004;6832763;6832880;a
sq0004;7619958;7620030;a
sq0004;7714231;7714303;a
sq0004;8478151;8478223;a
sq0004;8966814;8966901;a
sq0004;9106486;9106597;a
sq0004;9106486;9106597;a
sq0004;9503403;9503474;a
sq0004;9698812;9698891;a
sq0004;10530185;10530256;a
sq0004;10530859;10530930;a
sq0004;11245628;11245700;a
sq0004;11386698;11386777;a
sq0004;12302121;12302193;a
sq0004;12427594;12427667;a
sq0004;13016111;13016181;a
sq0004;13016306;13016376;a
sq0004;13016502;13016572;a
sq0004;13684310;13684382;a
sq0004;13781048;13781200;a
sq0004;13784762;13784869;a
sq0004;13784762;13784869;a
sq0004;13826960;13827053;a
sq0004;13829335;13829437;a
sq0004;13829335;13829437;a
sq0004;13832626;13832750;a
sq0004;14204672;14204745;a
sq0004;15267217;15267300;a
sq0004;15478485;15478556;a
sq0004;15864512;15864597;a
sq0004;15961119;15961190;a
sq0004;16213234;16213371;a
sq0004;16298257;16298330;a
sq0004;16375814;16375887;a
sq0004;16448422;16448494;a
sq0004;16860137;16860209;a
sq0004;16957662;16957734;a
sq0004;17680653;17680726;a
sq0004;17720603;17720674;a
sq0004;17725995;17726066;a
sq0004;17727267;17727335;a
sq0004;17728311;17728382;a
sq0004;17728825;17728896;a
sq0004;17730039;17730110;a
sq0004;18114830;18114903;a
sq0004;18411729;18411811;a
sq0004;18684839;18684922;a
sq0004;18902475;18902559;a
sq0004;18911626;18911709;a
sq0004;19747418;19747553;a
sq0004;20077499;20077572;a
sq0004;21000745;21000817;a
sq0004;22694534;22694625;a
sq0004;22694804;22694895;a
sq0004;22731889;22731960;a
sq0004;23742808;23742908;a
sq0004;24258858;24258964;a
sq0004;24927260;24927341;a
sq0004;25033553;25033719;a
sq0004;25800634;25800718;a
sq0004;26678817;26678898;a
sq0004;26853618;26853747;a
sq0004;27114711;27114802;a
sq0004;28319379;28319450;a
sq0004;28662181;28662287;a
sq0004;31387478;31387583;a
sq0004;32186300;32186371;a
sq0004;32382169;32382275;a
sq0004;34170272;34170378;a
sq0004;34174283;34174389;a
sq0004;34553718;34553824;a
sq0004;40166991;40167093;a
sq0004;40184151;40184253;a
sq0004;43957536;43957645;a
sq0004;46633922;46634028;a
sq0004;52364437;52364529;a
sq0004;52533546;52533652;a
sq0004;52635716;52635826;a
sq0004;55875959;55876065;a
sq0004;56244641;56244712;a
sq0004;56244805;56244876;a
sq0004;56886191;56886272;a
sq0004;56886341;56886422;a
sq0004;58983524;58983595;a
sq0004;58986630;58986716;a
sq0004;59089265;59089360;a
sq0004;59263712;59263798;a
sq0004;59263899;59264008;a
sq0004;59648044;59648115;a
sq0004;59664748;59664820;a
sq0004;59667376;59667496;a
sq0004;60954442;60954533;a
sq0004;62192415;62192563;a
sq0004;62193188;62193268;a
sq0004;62476993;62477080;a
sq0004;62477092;62477162;a
sq0004;62940924;62940997;a
sq0004;63015421;63015523;a
sq0004;63182147;63182232;a
sq0004;63245388;63245461;a
sq0004;63451134;63451242;a
sq0004;63618455;63618526;a
sq0004;63774060;63774132;a
sq0004;64167064;64167135;a
sq0004;64350394;64350466;a
sq0004;64481279;64481432;a
sq0006;205762;205834;a
sq0006;559508;559582;a
sq0006;559704;559787;a
sq0006;968035;968108;a
sq0006;1324415;1324486;a
sq0006;1641441;1641511;a
sq0006;1798282;1798400;a
sq0006;2106822;2106926;a
sq0006;2663629;2663702;a
sq0006;2851260;2851320;a
sq0006;2870450;2870523;a
sq0006;3628292;3628385;a
sq0006;4191338;4191441;a
sq0006;4424943;4425013;a
sq0006;4480495;4480619;a
sq0006;5001790;5001861;a
sq0006;5411312;5411412;a
sq0006;5720358;5720439;a
sq0006;7055600;7055698;a
sq0006;7077245;7077329;a
sq0006;8844776;8844879;a
sq0006;8937401;8937506;a
sq0006;14897318;14897425;a
sq0006;15487815;15487917;a
sq0006;15569053;15569304;a
sq0006;17170668;17170739;a
sq0006;21918718;21918794;a
sq0006;22822595;22822701;a
sq0006;23536847;23536947;a
sq0006;23536849;23536949;a
sq0006;28351848;28351966;a
sq0006;30143312;30143418;a
sq0006;30507960;30508066;a
sq0006;32516487;32516559;a
sq0006;32528529;32528635;a
sq0006;33611366;33611501;a
sq0006;35743166;35743294;a
sq0006;35756989;35757065;a
sq0006;36436827;36436900;a
sq0006;36437160;36437232;a
sq0008;126083;126162;a
sq0008;126469;126547;a
