chr;start;end;value1;color
chr1;0;100;0;a
chr1;200000;200100;40;a
chr1;400000;400100;33;a
chr1;600000;600100;1;a
chr1;800000;800100;2;a
chr1;1000000;1000100;1;a
chr1;1200000;1200100;25;a
chr1;1400000;1400100;7;a
chr1;1600000;1600100;12;a
chr1;1800000;1800100;0;a
chr1;2000000;2000100;3;a
chr1;2200000;2200100;12;a
chr1;2400000;2400100;10;a
chr1;2600000;2600100;5;a
chr1;2800000;2800100;4;a
chr1;3000000;3000100;13;a
chr1;3200000;3200100;1;a
chr1;3400000;3400100;3;a
chr1;3600000;3600100;1;a
chr1;3800000;3800100;2;a
chr1;4000000;4000100;7;a
chr1;4200000;4200100;7;a
chr1;4400000;4400100;0;a
chr1;4600000;4600100;2;a
chr1;4800000;4800100;0;a
chr1;5000000;5000100;4;a
chr1;5200000;5200100;6;a
chr1;5400000;5400100;6;a
chr1;5600000;5600100;3;a
chr1;5800000;5800100;10;a
chr1;6000000;6000100;7;a
chr1;6200000;6200100;7;a
chr1;6400000;6400100;20;a
chr1;6600000;6600100;3;a
chr1;6800000;6800100;3;a
chr1;7000000;7000100;6;a
chr1;7200000;7200100;11;a
chr1;7400000;7400100;13;a
chr1;7600000;7600100;5;a
chr1;7800000;7800100;9;a
chr1;8000000;8000100;10;a
chr1;8200000;8200100;8;a
chr1;8400000;8400100;4;a
chr1;8600000;8600100;8;a
chr1;8800000;8800100;7;a
chr1;9000000;9000100;6;a
chr1;9200000;9200100;9;a
chr1;9400000;9400100;10;a
chr1;9600000;9600100;16;a
chr1;9800000;9800100;9;a
chr1;10000000;10000100;10;a
chr1;10200000;10200100;2;a
chr1;10400000;10400100;6;a
chr1;10600000;10600100;14;a
chr1;10800000;10800100;9;a
chr1;11000000;11000100;8;a
chr1;11200000;11200100;5;a
chr1;11400000;11400100;18;a
chr1;11600000;11600100;10;a
chr1;11800000;11800100;1;a
chr1;12000000;12000100;1;a
chr1;12200000;12200100;3;a
chr1;12400000;12400100;7;a
chr1;12600000;12600100;16;a
chr1;12800000;12800100;2;a
chr1;13000000;13000100;2;a
chr1;13200000;13200100;3;a
chr1;13400000;13400100;0;a
chr1;13600000;13600100;3;a
chr1;13800000;13800100;13;a
chr1;14000000;14000100;5;a
chr1;14200000;14200100;5;a
chr1;14400000;14400100;4;a
chr1;14600000;14600100;2;a
chr1;14800000;14800100;6;a
chr1;15000000;15000100;4;a
chr1;15200000;15200100;0;a
chr1;15400000;15400100;12;a
chr1;15600000;15600100;1;a
chr1;15800000;15800100;3;a
chr1;16000000;16000100;0;a
chr1;16200000;16200100;2;a
chr1;16400000;16400100;2;a
chr1;16600000;16600100;1;a
chr1;16800000;16800100;11;a
chr1;17000000;17000100;1;a
chr1;17200000;17200100;20;a
chr1;17400000;17400100;13;a
chr1;17600000;17600100;6;a
chr1;17800000;17800100;10;a
chr1;18000000;18000100;6;a
chr1;18200000;18200100;8;a
chr1;18400000;18400100;2;a
chr1;18600000;18600100;1;a
chr1;18800000;18800100;12;a
chr1;19000000;19000100;6;a
chr1;19200000;19200100;12;a
chr1;19400000;19400100;2;a
chr1;19600000;19600100;8;a
chr1;19800000;19800100;0;a
chr1;20000000;20000100;11;a
chr1;20200000;20200100;0;a
chr1;20400000;20400100;1;a
chr1;20600000;20600100;3;a
chr1;20800000;20800100;0;a
chr1;21000000;21000100;0;a
chr1;21200000;21200100;0;a
chr1;21400000;21400100;0;a
chr1;21600000;21600100;0;a
chr1;21800000;21800100;0;a
chr1;22000000;22000100;0;a
chr1;22200000;22200100;0;a
chr1;22400000;22400100;0;a
chr1;22600000;22600100;0;a
chr1;22800000;22800100;0;a
chr1;23000000;23000100;0;a
chr1;23200000;23200100;1;a
chr1;23400000;23400100;0;a
chr1;23600000;23600100;0;a
chr1;23800000;23800100;0;a
chr1;24000000;24000100;2;a
chr1;24200000;24200100;0;a
chr1;24400000;24400100;0;a
chr1;24600000;24600100;0;a
chr1;24800000;24800100;0;a
chr1;25000000;25000100;0;a
chr1;25200000;25200100;0;a
chr1;25400000;25400100;2;a
chr1;25600000;25600100;0;a
chr1;25800000;25800100;0;a
chr1;26000000;26000100;0;a
chr1;26200000;26200100;0;a
chr1;26400000;26400100;0;a
chr1;26600000;26600100;0;a
chr1;26800000;26800100;0;a
chr1;27000000;27000100;0;a
chr1;27200000;27200100;0;a
chr1;27400000;27400100;0;a
chr1;27600000;27600100;0;a
chr1;27800000;27800100;1;a
chr1;28000000;28000100;0;a
chr1;28200000;28200100;0;a
chr1;28400000;28400100;0;a
chr1;28600000;28600100;0;a
chr1;28800000;28800100;0;a
chr1;29000000;29000100;2;a
chr1;29200000;29200100;0;a
chr1;29400000;29400100;0;a
chr1;29600000;29600100;0;a
chr1;29800000;29800100;0;a
chr1;30000000;30000100;0;a
chr1;30200000;30200100;0;a
chr1;30400000;30400100;0;a
chr1;30600000;30600100;0;a
chr1;30800000;30800100;3;a
chr1;31000000;31000100;0;a
chr1;31200000;31200100;4;a
chr1;31400000;31400100;0;a
chr1;31600000;31600100;2;a
chr1;31800000;31800100;2;a
chr1;32000000;32000100;8;a
chr1;32200000;32200100;0;a
chr1;32400000;32400100;1;a
chr1;32600000;32600100;0;a
chr1;32800000;32800100;0;a
chr1;33000000;33000100;0;a
chr1;33200000;33200100;0;a
chr1;33400000;33400100;0;a
chr1;33600000;33600100;1;a
chr1;33800000;33800100;0;a
chr1;34000000;34000100;0;a
chr1;34200000;34200100;3;a
chr1;34400000;34400100;0;a
chr1;34600000;34600100;0;a
chr1;34800000;34800100;0;a
chr1;35000000;35000100;0;a
chr1;35200000;35200100;0;a
chr1;35400000;35400100;0;a
chr1;35600000;35600100;8;a
chr1;35800000;35800100;5;a
chr1;36000000;36000100;0;a
chr1;36200000;36200100;0;a
chr1;36400000;36400100;1;a
chr1;36600000;36600100;0;a
chr1;36800000;36800100;0;a
chr1;37000000;37000100;0;a
chr1;37200000;37200100;0;a
chr1;37400000;37400100;4;a
chr1;37600000;37600100;0;a
chr1;37800000;37800100;0;a
chr1;38000000;38000100;0;a
chr1;38200000;38200100;0;a
chr1;38400000;38400100;0;a
chr1;38600000;38600100;0;a
chr1;38800000;38800100;0;a
chr1;39000000;39000100;0;a
chr1;39200000;39200100;0;a
chr1;39400000;39400100;0;a
chr1;39600000;39600100;8;a
chr1;39800000;39800100;0;a
chr1;40000000;40000100;0;a
chr1;40200000;40200100;0;a
chr1;40400000;40400100;3;a
chr1;40600000;40600100;2;a
chr1;40800000;40800100;0;a
chr1;41000000;41000100;0;a
chr1;41200000;41200100;3;a
chr1;41400000;41400100;0;a
chr1;41600000;41600100;0;a
chr1;41800000;41800100;5;a
chr1;42000000;42000100;8;a
chr1;42200000;42200100;2;a
chr1;42400000;42400100;0;a
chr1;42600000;42600100;1;a
chr1;42800000;42800100;6;a
chr1;43000000;43000100;8;a
chr1;43200000;43200100;7;a
chr1;43400000;43400100;4;a
chr1;43600000;43600100;0;a
chr1;43800000;43800100;11;a
chr1;44000000;44000100;4;a
chr1;44200000;44200100;5;a
chr1;44400000;44400100;15;a
chr1;44600000;44600100;2;a
chr1;44800000;44800100;4;a
chr1;45000000;45000100;1;a
chr1;45200000;45200100;6;a
chr1;45400000;45400100;4;a
chr1;45600000;45600100;1;a
chr1;45800000;45800100;6;a
chr1;46000000;46000100;15;a
chr1;46200000;46200100;1;a
chr1;46400000;46400100;6;a
chr1;46600000;46600100;4;a
chr1;46800000;46800100;10;a
chr1;47000000;47000100;7;a
chr1;47200000;47200100;2;a
chr1;47400000;47400100;4;a
chr1;47600000;47600100;6;a
