chr;start;end;value1;color;V6;V7
sq0001;0;100000;0;a;0;0
sq0001;100000;200000;0;a;0;0
sq0001;200000;300000;10;a;0;0
sq0001;300000;400000;10;a;0;0
sq0001;400000;500000;10;a;0;0
sq0001;500000;600000;0;a;0;0
sq0001;600000;700000;0;a;0;0
sq0001;700000;800000;10;a;0;0
sq0001;800000;900000;10;a;0;0
sq0001;900000;1000000;30;a;0;0
sq0001;1000000;1100000;0;a;0;0
sq0001;1100000;1200000;10;a;0;0
sq0001;1200000;1300000;10;a;0;0
sq0001;1300000;1400000;0;a;0;0
sq0001;1400000;1500000;30;a;0;0
sq0001;1500000;1600000;30;a;0;0
sq0001;1600000;1700000;40;a;0;0
sq0001;1700000;1800000;30;a;0;0
sq0001;1800000;1900000;0;a;0;0
sq0001;1900000;2000000;0;a;0;0
sq0001;2000000;2100000;20;a;0;0
sq0001;2100000;2200000;10;a;0;0
sq0001;2200000;2300000;10;a;0;0
sq0001;2300000;2400000;10;a;0;0
sq0001;2400000;2500000;0;a;0;0
sq0001;2500000;2600000;0;a;0;0
sq0001;2600000;2700000;10;a;0;0
sq0001;2700000;2800000;40;a;0;0
sq0001;2800000;2900000;0;a;0;0
sq0001;2900000;3000000;10;a;0;0
sq0001;3000000;3100000;10;a;0;0
sq0001;3100000;3200000;20;a;0;0
sq0001;3200000;3300000;0;a;0;0
sq0001;3300000;3400000;40;a;0;0
sq0001;3400000;3500000;20;a;0;0
sq0001;3500000;3600000;30;a;0;0
sq0001;3600000;3700000;30;a;0;0
sq0001;3700000;3800000;20;a;0;0
sq0001;3800000;3900000;60;a;0;0
sq0001;3900000;4000000;30;a;0;0
sq0001;4000000;4100000;20;a;0;0
sq0001;4100000;4200000;20;a;0;0
sq0001;4200000;4300000;0;a;0;0
sq0001;4300000;4400000;0;a;0;0
sq0001;4400000;4500000;60;a;0;0
sq0001;4500000;4600000;40;a;0;0
sq0001;4600000;4700000;10;a;0;0
sq0001;4700000;4800000;20;a;0;0
sq0001;4800000;4900000;10;a;0;0
sq0001;4900000;5000000;20;a;0;0
sq0001;5000000;5100000;10;a;0;0
sq0001;5100000;5200000;30;a;0;0
sq0001;5200000;5300000;60;a;0;0
sq0001;5300000;5400000;50;a;0;0
sq0001;5400000;5500000;60;a;0;0
sq0001;5500000;5600000;20;a;0;0
sq0001;5600000;5700000;20;a;0;0
sq0001;5700000;5800000;10;a;0;0
sq0001;5800000;5900000;40;a;0;0
sq0001;5900000;6000000;40;a;0;0
sq0001;6000000;6100000;60;a;0;0
sq0001;6100000;6200000;80;a;0;0
sq0001;6200000;6300000;30;a;0;0
sq0001;6300000;6400000;30;a;0;0
