chr;start;end;stack
chr10a;3350403;3350475;ncRNA
chr10a;5164449;5164565;ncRNA
chr10a;9087964;9088078;ncRNA
chr10a;9118499;9118615;ncRNA
chr10a;9399335;9399451;ncRNA
chr10a;9454073;9454184;ncRNA
chr10a;9472328;9472430;ncRNA
chr10a;10352658;10352774;ncRNA
chr10a;10364291;10364402;ncRNA
chr10a;12684441;12684557;ncRNA
chr10a;15058532;15058651;ncRNA
chr10a;15277087;15277203;ncRNA
chr10a;15415878;15415994;ncRNA
chr10a;15475322;15475438;ncRNA
chr10a;15985582;15985703;ncRNA
chr10a;16304977;16305090;ncRNA
chr10a;17232973;17233093;ncRNA
chr10a;17294170;17294286;ncRNA
chr10a;17308935;17309051;ncRNA
chr10a;17753467;17753587;ncRNA
chr10a;18929181;18929295;ncRNA
chr10a;19362569;19362685;ncRNA
chr10a;19376806;19376908;ncRNA
chr10a;19732000;19732120;ncRNA
chr10a;19880860;19880976;ncRNA
chr10a;20015402;20015516;ncRNA
chr10a;20201670;20201786;ncRNA
chr10a;20524012;20524128;ncRNA
chr10a;20576772;20576889;ncRNA
chr10a;20619633;20619747;ncRNA
chr10a;20786576;20786692;ncRNA
chr10a;20930316;20930424;ncRNA
chr10a;21200319;21200439;ncRNA
chr10a;21492598;21492714;ncRNA
chr10a;21584925;21585033;ncRNA
chr10a;21617059;21617175;ncRNA
chr10a;22243850;22243964;ncRNA
chr10a;22417592;22417708;ncRNA
chr10a;22446373;22446489;ncRNA
chr10a;22466436;22466552;ncRNA
chr10a;22613324;22613396;ncRNA
chr10a;22939129;22939245;ncRNA
chr10a;22947822;22947934;ncRNA
chr10a;22964756;22964869;ncRNA
chr10a;24972812;24972928;ncRNA
chr10b;18129;18245;ncRNA
chr10b;3348532;3348604;ncRNA
chr10b;5168888;5169004;ncRNA
chr10b;8954323;8954439;ncRNA
chr10b;9034159;9034275;ncRNA
chr10b;9292088;9292204;ncRNA
chr10b;9346809;9346920;ncRNA
chr10b;9365054;9365156;ncRNA
chr10b;10222668;10222784;ncRNA
chr10b;10234376;10234487;ncRNA
chr10b;12484071;12484187;ncRNA
chr10b;13212550;13212669;ncRNA
chr10b;14858688;14858807;ncRNA
chr10b;15083975;15084091;ncRNA
chr10b;15222885;15223001;ncRNA
chr10b;15773036;15773157;ncRNA
chr10b;16088435;16088548;ncRNA
chr10b;17049379;17049499;ncRNA
chr10b;17110590;17110706;ncRNA
chr10b;17125355;17125471;ncRNA
chr10b;17556952;17557072;ncRNA
chr10b;18667425;18667539;ncRNA
chr10b;18755789;18755903;ncRNA
chr10b;19164060;19164162;ncRNA
chr10b;19298961;19299077;ncRNA
chr10b;19489318;19489434;ncRNA
chr10b;19648849;19648965;ncRNA
chr10b;19656885;19657004;ncRNA
chr10b;19907292;19907411;ncRNA
chr10b;19998994;19999107;ncRNA
chr10b;20008556;20008666;ncRNA
