chr;start;end;stack
1;1714687;1714781;a
1;1714930;1715007;a
1;1966755;1966862;a
1;1971500;1971606;a
1;5006134;5006217;a
1;5545240;5545323;a
1;5831463;5831536;a
1;5946126;5946199;a
1;6008037;6008110;a
1;6103925;6103998;a
1;6193252;6193325;a
1;6193448;6193521;a
1;6253633;6253706;a
1;6283062;6283135;a
1;7586207;7586313;a
1;9542748;9542819;a
1;9543556;9543627;a
1;10092760;10092865;a
1;10252303;10252375;a
1;10252507;10252579;a
1;10434899;10434971;a
1;10435103;10435175;a
1;10760311;10760382;a
1;10761566;10761637;a
1;10762824;10762895;a
1;10832716;10832876;a
1;11354243;11354403;a
1;12656771;12656931;a
1;15445551;15445657;a
1;16313358;16313430;a
1;16314699;16314785;a
1;16315943;16316031;a
1;16316924;16316992;a
1;16323369;16323437;a
1;16657420;16657488;a
1;16723984;16724054;a
1;17147760;17147838;a
1;17934600;17934706;a
1;18154487;18154592;a
1;18387919;18387992;a
1;21399576;21399771;a
1;24615401;24615581;a
1;24615504;24615682;a
1;31019411;31019516;a
1;38498464;38498550;a
1;41393678;41393785;a
1;43149225;43149331;a
1;43337248;43337320;a
1;43946407;43946508;a
1;45566703;45566789;a
1;47408388;47408464;a
1;47434112;47434184;a
1;47757307;47757381;a
1;47856356;47856421;a
1;48081673;48081784;a
1;49364438;49364510;a
1;49370497;49370599;a
1;49737351;49737510;a
1;49737557;49737716;a
1;49737829;49737915;a
1;53519799;53519915;a
1;54158932;54159038;a
1;55632725;55632797;a
1;56087565;56087708;a
1;56097154;56097225;a
1;56199602;56199674;a
1;56346141;56346360;a
1;56624542;56624633;a
1;56876270;56876416;a
1;57561676;57561894;a
1;57915231;57915302;a
1;58156288;58156449;a
1;58441134;58441206;a
1;58639053;58639133;a
1;58728425;58728496;a
1;58950421;58950494;a
1;58950617;58950690;a
1;59009644;59009715;a
1;59009828;59009899;a
1;59290410;59290482;a
1;59341726;59341797;a
1;59730599;59730670;a
1;60053841;60053972;a
1;60474767;60474840;a
1;60503099;60503171;a
