chr;start;end;stack
chr2;25545902;25546046;rRNA
chr2;58507803;58509611;rRNA
chr2;58509849;58510004;rRNA
chr7;6364116;6364234;rRNA
chr8;36921399;36921542;rRNA
chr6;23812105;23812216;rRNA
chr6;23856322;23856433;rRNA
chr11;41819763;41820146;sRNA
chr1;2241603;2241697;snoRNA
chr1;2241847;2241924;snoRNA
chr1;33404927;33405033;snoRNA
chr1;45509149;45509256;snoRNA
chr1;52187924;52188083;snoRNA
chr1;56406579;56406722;snoRNA
chr1;58231472;58231633;snoRNA
chr1;61197798;61197889;snoRNA
chr1;61283812;61283950;snoRNA
chr1;63075314;63075459;snoRNA
chr2;5594948;5595087;snoRNA
chr2;11733176;11733255;snoRNA
chr2;13897070;13897176;snoRNA
chr2;16396866;16396951;snoRNA
chr2;18944476;18944571;snoRNA
chr2;24776533;24776639;snoRNA
chr2;27333605;27333736;snoRNA
chr2;33874040;33874145;snoRNA
chr2;39727953;39728059;snoRNA
chr2;43922286;43922389;snoRNA
chr2;61470365;61470471;snoRNA
chr2;62318198;62318304;snoRNA
chr2;63628960;63629066;snoRNA
chr2;69486032;69486138;snoRNA
chr2;72381893;72381979;snoRNA
chr3;551578;551654;snoRNA
chr3;551773;551856;snoRNA
chr3;2619558;2619618;snoRNA
chr3;20541881;20541988;snoRNA
chr3;25243741;25243873;snoRNA
chr3;36552382;36552535;snoRNA
chr3;42175634;42175740;snoRNA
chr4;3757169;3757316;snoRNA
chr4;3757678;3757825;snoRNA
chr4;5178809;5178950;snoRNA
chr4;11884916;11885021;snoRNA
chr4;12807293;12807400;snoRNA
chr4;13033748;13033854;snoRNA
chr4;14807184;14807290;snoRNA
chr4;16505766;16505872;snoRNA
chr4;34775114;34775220;snoRNA
chr5;4077841;4077946;snoRNA
chr5;5428239;5428345;snoRNA
chr5;12196793;12196899;snoRNA
chr5;12375544;12375648;snoRNA
chr5;27560208;27560340;snoRNA
chr5;29700968;29701074;snoRNA
chr5;31253163;31253269;snoRNA
chr5;33658000;33658226;snoRNA
chr5;33658293;33658452;snoRNA
chr5;33658536;33658621;snoRNA
chr5;43303360;43303440;snoRNA
chr5;46318072;46318150;snoRNA
chr5;50713006;50713103;snoRNA
chr6;8078411;8078498;snoRNA
chr6;8078704;8078787;snoRNA
chr6;8078964;8079063;snoRNA
chr6;8079249;8079352;snoRNA
chr6;10205211;10205290;snoRNA
chr6;16048207;16048307;snoRNA
chr6;33534921;33535027;snoRNA
chr6;33552628;33552734;snoRNA
chr6;33561478;33561584;snoRNA
chr6;38576040;38576154;snoRNA
chr6;38576632;38576707;snoRNA
chr6;63262445;63262551;snoRNA
