chr;start;end;value
sq0001;988748;988831;1
sq0001;1108566;1108643;1
sq0001;1108793;1108875;1
sq0001;2122925;2122998;1
sq0001;3620331;3620402;1
sq0001;3621180;3621251;1
sq0001;3952903;3953005;1
sq0001;4107870;4107942;1
sq0001;4108075;4108147;1
sq0001;4681510;4681581;1
sq0001;4687629;4687700;1
sq0001;4688924;4688995;1
sq0001;4729420;4729580;1
sq0001;5636123;5636283;1
sq0001;6788259;6788351;1
sq0001;6824710;6824816;1
sq0001;7362285;7362390;1
sq0001;7534419;7534494;1
sq0001;7679027;7679133;1
sq0001;7906746;7906814;1
sq0001;7908097;7908168;1
sq0001;9235937;9236008;1
sq0001;9907615;9907810;1
sq0001;15670286;15670392;1
sq0001;17742996;17743103;1
sq0001;19101684;19101756;1
sq0001;21081578;21081656;1
sq0001;21084664;21084740;1
sq0001;21127043;21127115;1
sq0001;21461240;21461325;1
sq0001;21464981;21465055;1
sq0001;21671012;21671123;1
sq0001;22743316;22743388;1
sq0001;22748429;22748531;1
sq0001;24110625;24110697;1
sq0001;25804695;25804914;1
sq0001;25951377;25951449;1
sq0001;26064165;26064236;1
sq0001;26064296;26064378;1
sq0001;26380130;26380221;1
sq0001;26643580;26643726;1
sq0001;27347352;27347423;1
sq0001;27610271;27610466;1
sq0001;27885290;27885362;1
sq0001;28119125;28119196;1
sq0001;28309450;28309523;1
sq0001;28357795;28357866;1
sq0001;28672452;28672524;1
sq0001;28995110;28995183;1
sq0001;29100672;29100743;1
sq0001;29423645;29423776;1
sq0001;29902365;29902438;1
sq0001;29933631;29933703;1
sq0001;30058665;30058746;1
sq0001;30138976;30139046;1
sq0001;30166938;30167088;1
sq0001;30508043;30508113;1
sq0001;30508119;30508210;1
sq0001;30592733;30592834;1
sq0001;30627966;30628049;1
sq0001;30755617;30755810;1
sq0001;31209899;31209971;1
sq0001;31667676;31667748;1
sq0001;31908760;31908844;1
sq0001;32131742;32131815;1
sq0001;32415780;32415925;1
sq0001;32454014;32454086;1
sq0001;32897288;32897358;1
sq0001;33044243;33044357;1
sq0001;33328549;33328648;1
sq0001;33336322;33336393;1
sq0001;34026567;34026648;1
sq0001;34129178;34129250;1
sq0001;34253137;34253208;1
sq0001;34510917;34511007;1
sq0001;34552003;34552073;1
sq0001;34609585;34609658;1
sq0001;35572237;35572309;1
sq0003;831285;831364;1
sq0003;916839;916950;1
sq0003;1154004;1154154;1
sq0003;1598206;1598277;1
sq0003;2053145;2053216;1
sq0003;2350762;2350833;1
sq0003;2350898;2350969;1
sq0003;2351036;2351107;1
sq0003;2765654;2765726;1
sq0003;3898964;3899058;1
sq0003;3899291;3899385;1
sq0003;3899503;3899604;1
sq0003;3899682;3899791;1
sq0003;4144204;4144396;1
sq0003;4144206;4144398;1
sq0003;4197804;4197877;1
sq0003;4821144;4821225;1
sq0003;4906203;4906276;1
sq0003;4944016;4944097;1
sq0003;4944181;4944253;1
sq0003;4968206;4968289;1
sq0003;5420158;5420276;1
sq0003;5537762;5537888;1
sq0003;5585367;5585439;1
sq0003;5657533;5657684;1
sq0003;5657534;5657685;1
sq0003;5788794;5788865;1
sq0003;5912126;5912199;1
sq0003;6179339;6179498;1
sq0003;6315503;6315577;1
sq0003;6425835;6425907;1
sq0003;6592206;6592278;1
sq0003;6592875;6592946;1
sq0003;6968179;6968250;1
sq0003;6991775;6991932;1
sq0003;7048128;7048243;1
sq0003;7079254;7079369;1
sq0003;8489482;8489554;1
sq0003;8944686;8944774;1
sq0003;9074736;9074847;1
sq0003;9074736;9074847;1
sq0003;9465818;9465889;1
sq0003;9660242;9660321;1
sq0003;10629746;10629817;1
sq0003;11406772;11406844;1
sq0003;11529805;11529884;1
sq0003;11816994;11817096;1
sq0003;12460802;12460874;1
sq0003;12576177;12576248;1
sq0003;13071934;13072004;1
sq0003;13072130;13072200;1
sq0003;13563808;13563880;1
sq0003;13657264;13657369;1
sq0003;13657264;13657369;1
sq0003;13703002;13703104;1
sq0003;13703002;13703104;1
sq0003;13706217;13706341;1
sq0003;14070392;14070465;1
sq0003;15227434;15227517;1
sq0003;15453087;15453158;1
sq0003;15863824;15863909;1
sq0003;15956224;15956295;1
sq0003;16186872;16187009;1
sq0003;16273883;16273956;1
sq0003;16342669;16342742;1
sq0003;16397710;16397782;1
sq0003;16848016;16848088;1
sq0003;16938624;16938696;1
sq0003;17609410;17609483;1
sq0003;17645740;17645811;1
sq0003;17653341;17653412;1
sq0003;17654629;17654700;1
sq0003;17655709;17655780;1
sq0003;17656227;17656298;1
sq0003;17657426;17657497;1
sq0003;18476332;18476414;1
sq0003;18715423;18715506;1
sq0003;18962896;18962980;1
sq0003;18971694;18971777;1
sq0003;18971938;18972021;1
sq0003;19836769;19836915;1
sq0003;20119821;20119894;1
sq0003;22629892;22630002;1
sq0003;22738018;22738109;1
sq0003;22738288;22738379;1
sq0003;22795571;22795642;1
sq0003;23660156;23660256;1
sq0003;24755750;24755831;1
sq0003;24908741;24908963;1
sq0003;25373981;25374053;1
sq0003;25687991;25688075;1
sq0003;26323981;26324062;1
sq0003;26513937;26514066;1
sq0003;26783778;26783868;1
sq0003;27968610;27968672;1
sq0003;27968701;27968772;1
sq0003;30257622;30257728;1
sq0003;31904779;31904895;1
sq0003;32520221;32520326;1
sq0003;35928009;35928115;1
sq0003;37177080;37177153;1
sq0003;37750150;37750221;1
sq0003;37750426;37750505;1
sq0003;38455338;38455444;1
sq0003;44219729;44219835;1
sq0003;44361068;44361125;1
sq0003;45752118;45752210;1
sq0003;46091467;46091573;1
sq0003;46202829;46202938;1
sq0003;48545953;48546184;1
sq0003;49467221;49467326;1
sq0003;49764776;49764925;1
sq0003;50021082;50021188;1
sq0003;50136712;50136785;1
sq0003;50170590;50170661;1
sq0003;50170755;50170826;1
sq0003;50812855;50812936;1
sq0003;50813066;50813147;1
sq0003;52174422;52174495;1
sq0003;52985805;52985876;1
sq0003;52988905;52988991;1
sq0003;53129907;53130002;1
sq0003;53319530;53319616;1
sq0003;53319717;53319826;1
sq0003;53737673;53737744;1
sq0003;53749683;53749755;1
sq0003;53752292;53752412;1
sq0003;54978588;54978679;1
sq0003;55837530;55837610;1
sq0003;56123510;56123597;1
sq0003;56123609;56123679;1
sq0003;56568387;56568460;1
sq0003;56652926;56653028;1
sq0003;56849911;56849996;1
sq0003;56914361;56914434;1
sq0003;57145756;57145877;1
sq0003;57328493;57328564;1
sq0003;57479633;57479705;1
sq0003;57642398;57642475;1
sq0003;57893111;57893182;1
sq0003;58069437;58069509;1
sq0003;58196277;58196431;1
sq0005;171599;171671;1
sq0005;523926;524000;1
sq0005;524120;524203;1
sq0005;956568;956641;1
sq0005;1536383;1536453;1
sq0005;1682485;1682601;1
sq0005;2472847;2472920;1
sq0005;2673115;2673175;1
sq0005;2693006;2693079;1
sq0005;3442450;3442543;1
sq0005;3969437;3969540;1
sq0005;4195930;4196000;1
sq0005;4263906;4264032;1
sq0005;4755628;4755699;1
sq0005;4942213;4942294;1
sq0005;6675078;6675166;1
sq0005;6702775;6702859;1
sq0005;6950847;6950997;1
sq0005;8478006;8478108;1
sq0005;8533146;8533248;1
sq0005;8565037;8565142;1
sq0005;10370252;10370343;1
sq0005;12520921;12520994;1
sq0005;14669789;14669895;1
sq0005;15337567;15337669;1
sq0005;16454204;16454311;1
sq0005;17113940;17114011;1
sq0005;18674056;18674134;1
sq0005;20538019;20538119;1
sq0005;20538021;20538121;1
sq0005;23176129;23176249;1
sq0005;23181654;23181774;1
sq0005;24620274;24620380;1
sq0005;24657543;24657616;1
sq0005;25674242;25674313;1
sq0005;26649392;26649464;1
sq0005;26723809;26723915;1
sq0005;26975875;26975962;1
sq0005;27731307;27731442;1
sq0005;28770241;28770347;1
sq0005;28829157;28829263;1
sq0005;29230986;29231058;1
sq0005;30440128;30440173;1
sq0005;30939420;30939493;1
sq0007;104581;104660;1
sq0007;105223;105317;1
sq0007;1984035;1984107;1
sq0007;2163838;2163911;1
sq0007;2551374;2551447;1
sq0007;3023101;3023255;1
sq0007;3847616;3847747;1
sq0007;3848125;3848256;1
sq0007;4393959;4394040;1
sq0007;4804656;4804756;1
sq0007;4804658;4804758;1
sq0007;5223037;5223240;1
sq0007;5341567;5341690;1
sq0007;5403944;5404024;1
sq0007;5567463;5567555;1
sq0007;5612996;5613089;1
sq0007;5636270;5636343;1
sq0007;5752989;5753259;1
sq0007;5887641;5887712;1
sq0007;5891977;5892138;1
sq0007;5898126;5898287;1
sq0007;6261686;6261804;1
sq0007;6353723;6353839;1
sq0007;8249817;8249888;1
sq0007;8660360;8660452;1
sq0007;8792419;8792521;1
sq0007;9766493;9766563;1
sq0007;10655482;10655554;1
sq0007;10655675;10655747;1
sq0007;10905953;10906033;1
sq0007;12326299;12326370;1
sq0007;13148028;13148107;1
sq0007;13557016;13557122;1
sq0007;13763454;13763561;1
sq0007;13966155;13966251;1
sq0007;14240513;14240670;1
sq0007;14241435;14241596;1
sq0007;14242338;14242494;1
sq0007;14614506;14614577;1
sq0007;14650837;14650908;1
sq0007;14665580;14665651;1
sq0007;14667910;14667981;1
sq0007;15100085;15100191;1
sq0007;15304552;15304658;1
sq0007;15463000;15463105;1
sq0007;15780564;15780692;1
sq0007;17500521;17500594;1
sq0007;21546339;21546410;1
sq0007;21548072;21548541;1
sq0007;25286938;25287096;1
sq0007;27489792;27489865;1
sq0007;27538084;27538168;1
sq0007;27538302;27538374;1
sq0007;27538621;27538713;1
sq0007;27538834;27538915;1
sq0007;27628010;27628083;1
sq0007;28155557;28155605;1
sq0007;28270190;28270270;1
sq0007;28518019;28518214;1
sq0007;28534654;28534725;1
sq0007;28642645;28642751;1
sq0007;28658809;28658911;1
sq0007;28693097;28693203;1
sq0007;29503574;29503646;1
sq0007;29505974;29506046;1
sq0007;29506803;29506875;1
sq0009;1423801;1423872;1
sq0009;1450197;1450268;1
sq0009;1507880;1507951;1
sq0009;3200754;3200860;1
sq0009;3692747;3692818;1
sq0009;3826171;3826243;1
sq0009;5184312;5184390;1
sq0009;5711364;5711435;1
sq0009;8839970;8840043;1
sq0009;9064051;9064197;1
sq0009;9210428;9210499;1
sq0009;9346842;9346948;1
sq0009;9407452;9407558;1
sq0009;9472338;9472442;1
sq0009;9902049;9902235;1
sq0009;10963620;10963726;1
sq0009;14589940;14590046;1
sq0009;16725114;16725299;1
sq0009;17437639;17437745;1
sq0009;17642951;17643057;1
sq0009;19198721;19198806;1
sq0009;19198899;19199058;1
sq0009;19199129;19199355;1
sq0009;19507192;19507299;1
sq0009;20003266;20003417;1
sq0009;20092808;20092878;1
sq0009;21103437;21103513;1
sq0009;21106523;21106601;1
sq0009;22086931;22087037;1
sq0009;22145324;22145422;1
sq0009;22263093;22263211;1
sq0009;22556103;22556176;1
