chr;start;end;stack
chr1;57208900;57209046;miRNA
chr1;60760398;60760548;miRNA
chr1;61442573;61442767;miRNA
chr1;63701788;63701902;miRNA
chr2;959938;960049;miRNA
chr2;4145803;4145995;miRNA
chr2;9178290;9178401;miRNA
chr2;14131655;14131760;miRNA
chr2;14179777;14179879;miRNA
chr2;20271137;20271283;miRNA
chr2;79098510;79098664;miRNA
chr3;3387522;3387615;miRNA
chr3;28757788;28757888;miRNA
chr4;4732576;4732676;miRNA
chr4;6253366;6253482;miRNA
chr4;8033740;8033906;miRNA
chr5;38413943;38414049;miRNA
chr5;38470502;38470600;miRNA
chr5;48021880;48021978;miRNA
chr6;6707123;6707231;miRNA
chr6;9552811;9552897;miRNA
chr6;39615173;39615309;miRNA
chr6;63208379;63208484;miRNA
chr6;63215479;63215586;miRNA
chr6;65567481;65567588;miRNA
chr7;2470130;2470231;miRNA
chr7;7375182;7375302;miRNA
chr7;8412823;8412953;miRNA
chr8;12473347;12473485;miRNA
chr8;44785432;44785540;miRNA
chr8;48693508;48693690;miRNA
chr8;48950779;48950861;miRNA
chr8;49603472;49603645;miRNA
chr9;1302169;1302269;miRNA
chr9;1903228;1903317;miRNA
chr9;6593709;6594050;miRNA
chr9;8836573;8836662;miRNA
chr10;675660;675796;miRNA
chr10;755022;755175;miRNA
chr1;50589689;50589800;miRNA
chr1;61442571;61442765;miRNA
chr1;63976843;63976942;miRNA
chr2;4145801;4145993;miRNA
chr2;5716438;5716590;miRNA
chr2;6234260;6234419;miRNA
chr2;9178290;9178401;miRNA
chr2;14131655;14131760;miRNA
chr2;14179777;14179879;miRNA
chr2;14182895;14183019;miRNA
chr2;61955550;61955642;miRNA
chr2;72518805;72518900;miRNA
chr3;3970342;3970445;miRNA
chr3;28522733;28522893;miRNA
chr3;28757786;28757886;miRNA
chr4;4732574;4732674;miRNA
chr4;5136619;5136822;miRNA
chr4;5252080;5252203;miRNA
chr4;5625041;5625313;miRNA
chr4;8033746;8033898;miRNA
chr5;48021882;48021980;miRNA
chr6;520470;520671;miRNA
chr6;742319;742483;miRNA
chr6;5946315;5946487;miRNA
chr6;6668061;6668200;miRNA
chr6;6707121;6707238;miRNA
chr6;39615171;39615307;miRNA
chr6;51826272;51826380;miRNA
chr6;61057494;61057611;miRNA
chr6;61075886;61075993;miRNA
chr6;65567479;65567586;miRNA
chr7;6242642;6242762;miRNA
chr7;7375176;7375308;miRNA
chr7;8412821;8412951;miRNA
chr8;48693502;48693688;miRNA
chr9;1302167;1302267;miRNA
chr9;37315194;37315309;miRNA
chr10;40840089;40840156;miRNA
chr11;14346987;14347168;miRNA
chr11;35438801;35439013;miRNA
chr11;39171475;39171724;miRNA
chr11;39626042;39626151;miRNA
chr11;39628033;39628124;miRNA
