chr;start;end;stack
sq0001;21671012;21671123;a
sq0001;26643580;26643726;a
sq0001;30166938;30167088;a
sq0001;30755617;30755810;a
sq0001;33044243;33044357;a
sq0001;33328549;33328648;a
sq0003;916839;916950;a
sq0003;4144204;4144396;a
sq0003;4144206;4144398;a
sq0003;5657533;5657684;a
sq0003;5657534;5657685;a
sq0003;6179339;6179498;a
sq0003;9074736;9074847;a
sq0003;9074736;9074847;a
sq0003;13657264;13657369;a
sq0003;13657264;13657369;a
sq0003;13703002;13703104;a
sq0003;13703002;13703104;a
sq0003;13706217;13706341;a
sq0003;19836769;19836915;a
sq0003;45752118;45752210;a
sq0003;53129907;53130002;a
sq0003;58196277;58196431;a
sq0005;3442450;3442543;a
sq0005;3969437;3969540;a
sq0005;20538019;20538119;a
sq0005;20538021;20538121;a
sq0007;4804656;4804756;a
sq0007;4804658;4804758;a
sq0007;5223037;5223240;a
sq0007;5341567;5341690;a
sq0007;5752989;5753259;a
sq0007;6353723;6353839;a
sq0009;22086931;22087037;a
sq0009;22145324;22145422;a
sq0009;30770674;30770772;a
sq0009;30770676;30770774;a
sq0011;294623;294826;a
sq0011;5783311;5783483;a
sq0011;6284668;6284807;a
sq0011;6323770;6323887;a
sq0011;6323772;6323880;a
sq0011;9263384;9263470;a
sq0011;30027244;30027352;a
sq0011;35680628;35680745;a
sq0011;35697381;35697488;a
sq0011;38895145;38895252;a
sq0011;38895147;38895254;a
sq0013;1327825;1327926;a
sq0013;5090893;5091013;a
sq0013;6197605;6197737;a
sq0013;6197611;6197731;a
sq0013;7154481;7154611;a
sq0013;7154483;7154613;a
sq0013;17977072;17977299;a
sq0015;7953295;7953433;a
sq0015;25512666;25512774;a
sq0015;29436223;29436409;a
sq0015;29436229;29436411;a
sq0015;29688255;29688337;a
sq0017;1086305;1086405;a
sq0017;1086307;1086407;a
sq0017;1496143;1496232;a
sq0017;5569090;5569431;a
sq0017;7081606;7081694;a
sq0019;759165;759301;a
sq0019;836344;836492;a
sq0019;836346;836494;a
sq0019;19923517;19923584;a
sq0021;22741222;22741434;a
sq0021;26108043;26108291;a
sq0021;27646616;27646830;a
