chr;start;end;value1;color;V6;V7
sq0002;0;100;0;a;0;0
sq0002;200000;200100;22;a;0;0
sq0002;400000;400100;35;a;0;0
sq0002;600000;600100;35;a;0;0
sq0002;800000;800100;36;a;0;0
sq0002;1000000;1000100;46;a;0;0
sq0002;1200000;1200100;45;a;0;0
sq0002;1400000;1400100;26;a;0;0
sq0002;1600000;1600100;47;a;0;0
sq0002;1800000;1800100;36;a;0;0
sq0002;2000000;2000100;55;a;0;0
sq0002;2200000;2200100;39;a;0;0
sq0002;2400000;2400100;41;a;0;0
sq0002;2600000;2600100;50;a;0;0
sq0002;2800000;2800100;52;a;0;0
sq0002;3000000;3000100;37;a;0;0
sq0002;3200000;3200100;38;a;0;0
sq0002;3400000;3400100;38;a;0;0
sq0002;3600000;3600100;33;a;0;0
sq0002;3800000;3800100;40;a;0;0
sq0002;4000000;4000100;48;a;0;0
sq0002;4200000;4200100;47;a;0;0
sq0002;4400000;4400100;38;a;0;0
sq0002;4600000;4600100;46;a;0;0
sq0002;4800000;4800100;44;a;0;0
sq0002;5000000;5000100;39;a;0;0
sq0002;5200000;5200100;39;a;0;0
sq0002;5400000;5400100;53;a;0;0
sq0002;5600000;5600100;55;a;0;0
sq0002;5800000;5800100;60;a;0;0
sq0002;6000000;6000100;50;a;0;0
sq0002;6200000;6200100;68;a;0;0
sq0002;6400000;6400100;54;a;0;0
sq0002;6600000;6600100;35;a;0;0
sq0002;6800000;6800100;50;a;0;0
sq0002;7000000;7000100;51;a;0;0
sq0002;7200000;7200100;27;a;0;0
sq0002;7400000;7400100;58;a;0;0
sq0002;7600000;7600100;47;a;0;0
sq0002;7800000;7800100;72;a;0;0
sq0002;8000000;8000100;59;a;0;0
sq0002;8200000;8200100;59;a;0;0
sq0002;8400000;8400100;68;a;0;0
sq0002;8600000;8600100;49;a;0;0
sq0002;8800000;8800100;47;a;0;0
sq0002;9000000;9000100;59;a;0;0
sq0002;9200000;9200100;55;a;0;0
sq0002;9400000;9400100;72;a;0;0
sq0002;9600000;9600100;63;a;0;0
sq0002;9800000;9800100;55;a;0;0
sq0002;10000000;10000100;41;a;0;0
sq0002;10200000;10200100;38;a;0;0
sq0002;10400000;10400100;48;a;0;0
sq0002;10600000;10600100;58;a;0;0
sq0002;10800000;10800100;52;a;0;0
sq0002;11000000;11000100;61;a;0;0
sq0002;11200000;11200100;56;a;0;0
