chr;start;end;value1;color;V6;V7
1;0;100;0;a;0;0
1;200000;200100;48;a;0;0
1;400000;400100;37;a;0;0
1;600000;600100;36;a;0;0
1;800000;800100;7;a;0;0
1;1000000;1000100;9;a;0;0
1;1200000;1200100;27;a;0;0
1;1400000;1400100;7;a;0;0
1;1600000;1600100;8;a;0;0
1;1800000;1800100;7;a;0;0
1;2000000;2000100;2;a;0;0
1;2200000;2200100;7;a;0;0
1;2400000;2400100;2;a;0;0
1;2600000;2600100;2;a;0;0
1;2800000;2800100;0;a;0;0
1;3000000;3000100;0;a;0;0
1;3200000;3200100;1;a;0;0
1;3400000;3400100;0;a;0;0
1;3600000;3600100;0;a;0;0
1;3800000;3800100;2;a;0;0
1;4000000;4000100;0;a;0;0
1;4200000;4200100;6;a;0;0
1;4400000;4400100;3;a;0;0
1;4600000;4600100;0;a;0;0
1;4800000;4800100;16;a;0;0
1;5000000;5000100;17;a;0;0
1;5200000;5200100;2;a;0;0
1;5400000;5400100;0;a;0;0
1;5600000;5600100;23;a;0;0
1;5800000;5800100;9;a;0;0
1;6000000;6000100;0;a;0;0
1;6200000;6200100;3;a;0;0
1;6400000;6400100;19;a;0;0
1;6600000;6600100;9;a;0;0
1;6800000;6800100;3;a;0;0
1;7000000;7000100;7;a;0;0
1;7200000;7200100;16;a;0;0
1;7400000;7400100;4;a;0;0
1;7600000;7600100;4;a;0;0
1;7800000;7800100;2;a;0;0
1;8000000;8000100;0;a;0;0
1;8200000;8200100;4;a;0;0
1;8400000;8400100;4;a;0;0
1;8600000;8600100;15;a;0;0
1;8800000;8800100;0;a;0;0
1;9000000;9000100;5;a;0;0
1;9200000;9200100;6;a;0;0
1;9400000;9400100;3;a;0;0
1;9600000;9600100;11;a;0;0
1;9800000;9800100;6;a;0;0
1;10000000;10000100;5;a;0;0
1;10200000;10200100;8;a;0;0
1;10400000;10400100;6;a;0;0
1;10600000;10600100;6;a;0;0
1;10800000;10800100;5;a;0;0
1;11000000;11000100;9;a;0;0
1;11200000;11200100;8;a;0;0
1;11400000;11400100;4;a;0;0
1;11600000;11600100;2;a;0;0
1;11800000;11800100;12;a;0;0
1;12000000;12000100;8;a;0;0
1;12200000;12200100;14;a;0;0
1;12400000;12400100;6;a;0;0
1;12600000;12600100;11;a;0;0
1;12800000;12800100;9;a;0;0
1;13000000;13000100;0;a;0;0
1;13200000;13200100;6;a;0;0
1;13400000;13400100;2;a;0;0
1;13600000;13600100;11;a;0;0
1;13800000;13800100;8;a;0;0
1;14000000;14000100;12;a;0;0
1;14200000;14200100;9;a;0;0
1;14400000;14400100;8;a;0;0
1;14600000;14600100;4;a;0;0
1;14800000;14800100;1;a;0;0
1;15000000;15000100;0;a;0;0
1;15200000;15200100;16;a;0;0
1;15400000;15400100;8;a;0;0
1;15600000;15600100;8;a;0;0
1;15800000;15800100;1;a;0;0
1;16000000;16000100;5;a;0;0
1;16200000;16200100;1;a;0;0
1;16400000;16400100;5;a;0;0
1;16600000;16600100;2;a;0;0
1;16800000;16800100;4;a;0;0
1;17000000;17000100;8;a;0;0
1;17200000;17200100;20;a;0;0
1;17400000;17400100;7;a;0;0
1;17600000;17600100;8;a;0;0
1;17800000;17800100;0;a;0;0
1;18000000;18000100;1;a;0;0
1;18200000;18200100;0;a;0;0
1;18400000;18400100;1;a;0;0
1;18600000;18600100;0;a;0;0
1;18800000;18800100;2;a;0;0
1;19000000;19000100;4;a;0;0
1;19200000;19200100;3;a;0;0
1;19400000;19400100;1;a;0;0
1;19600000;19600100;4;a;0;0
1;19800000;19800100;6;a;0;0
1;20000000;20000100;0;a;0;0
1;20200000;20200100;3;a;0;0
1;20400000;20400100;2;a;0;0
1;20600000;20600100;2;a;0;0
1;20800000;20800100;7;a;0;0
1;21000000;21000100;1;a;0;0
1;21200000;21200100;1;a;0;0
1;21400000;21400100;14;a;0;0
1;21600000;21600100;6;a;0;0
1;21800000;21800100;7;a;0;0
1;22000000;22000100;4;a;0;0
1;22200000;22200100;0;a;0;0
1;22400000;22400100;7;a;0;0
1;22600000;22600100;5;a;0;0
1;22800000;22800100;13;a;0;0
1;23000000;23000100;7;a;0;0
1;23200000;23200100;11;a;0;0
1;23400000;23400100;11;a;0;0
1;23600000;23600100;8;a;0;0
1;23800000;23800100;3;a;0;0
1;24000000;24000100;2;a;0;0
1;24200000;24200100;2;a;0;0
1;24400000;24400100;9;a;0;0
1;24600000;24600100;0;a;0;0
1;24800000;24800100;6;a;0;0
1;25000000;25000100;0;a;0;0
1;25200000;25200100;7;a;0;0
1;25400000;25400100;4;a;0;0
1;25600000;25600100;6;a;0;0
1;25800000;25800100;2;a;0;0
1;26000000;26000100;2;a;0;0
1;26200000;26200100;1;a;0;0
1;26400000;26400100;1;a;0;0
1;26600000;26600100;0;a;0;0
1;26800000;26800100;0;a;0;0
1;27000000;27000100;9;a;0;0
1;27200000;27200100;5;a;0;0
1;27400000;27400100;7;a;0;0
1;27600000;27600100;0;a;0;0
1;27800000;27800100;0;a;0;0
1;28000000;28000100;0;a;0;0
1;28200000;28200100;0;a;0;0
1;28400000;28400100;1;a;0;0
1;28600000;28600100;0;a;0;0
1;28800000;28800100;0;a;0;0
1;29000000;29000100;2;a;0;0
1;29200000;29200100;0;a;0;0
1;29400000;29400100;0;a;0;0
1;29600000;29600100;0;a;0;0
1;29800000;29800100;2;a;0;0
1;30000000;30000100;0;a;0;0
1;30200000;30200100;0;a;0;0
1;30400000;30400100;0;a;0;0
1;30600000;30600100;0;a;0;0
1;30800000;30800100;0;a;0;0
1;31000000;31000100;0;a;0;0
1;31200000;31200100;0;a;0;0
1;31400000;31400100;0;a;0;0
1;31600000;31600100;0;a;0;0
1;31800000;31800100;0;a;0;0
1;32000000;32000100;0;a;0;0
1;32200000;32200100;0;a;0;0
1;32400000;32400100;0;a;0;0
1;32600000;32600100;0;a;0;0
1;32800000;32800100;2;a;0;0
1;33000000;33000100;1;a;0;0
1;33200000;33200100;2;a;0;0
1;33400000;33400100;0;a;0;0
1;33600000;33600100;6;a;0;0
1;33800000;33800100;0;a;0;0
1;34000000;34000100;0;a;0;0
1;34200000;34200100;2;a;0;0
1;34400000;34400100;0;a;0;0
1;34600000;34600100;0;a;0;0
1;34800000;34800100;1;a;0;0
1;35000000;35000100;1;a;0;0
1;35200000;35200100;4;a;0;0
1;35400000;35400100;1;a;0;0
1;35600000;35600100;2;a;0;0
1;35800000;35800100;0;a;0;0
1;36000000;36000100;4;a;0;0
1;36200000;36200100;1;a;0;0
1;36400000;36400100;9;a;0;0
1;36600000;36600100;8;a;0;0
1;36800000;36800100;0;a;0;0
1;37000000;37000100;0;a;0;0
1;37200000;37200100;1;a;0;0
1;37400000;37400100;0;a;0;0
1;37600000;37600100;1;a;0;0
1;37800000;37800100;2;a;0;0
1;38000000;38000100;0;a;0;0
1;38200000;38200100;5;a;0;0
1;38400000;38400100;0;a;0;0
1;38600000;38600100;0;a;0;0
1;38800000;38800100;2;a;0;0
1;39000000;39000100;0;a;0;0
1;39200000;39200100;0;a;0;0
1;39400000;39400100;0;a;0;0
1;39600000;39600100;0;a;0;0
1;39800000;39800100;2;a;0;0
1;40000000;40000100;0;a;0;0
1;40200000;40200100;0;a;0;0
1;40400000;40400100;6;a;0;0
1;40600000;40600100;4;a;0;0
1;40800000;40800100;0;a;0;0
1;41000000;41000100;1;a;0;0
1;41200000;41200100;1;a;0;0
1;41400000;41400100;3;a;0;0
1;41600000;41600100;0;a;0;0
1;41800000;41800100;1;a;0;0
1;42000000;42000100;0;a;0;0
1;42200000;42200100;0;a;0;0
1;42400000;42400100;7;a;0;0
1;42600000;42600100;0;a;0;0
1;42800000;42800100;0;a;0;0
1;43000000;43000100;0;a;0;0
1;43200000;43200100;1;a;0;0
1;43400000;43400100;3;a;0;0
1;43600000;43600100;0;a;0;0
1;43800000;43800100;0;a;0;0
1;44000000;44000100;0;a;0;0
1;44200000;44200100;0;a;0;0
1;44400000;44400100;14;a;0;0
1;44600000;44600100;19;a;0;0
1;44800000;44800100;14;a;0;0
1;45000000;45000100;2;a;0;0
1;45200000;45200100;7;a;0;0
1;45400000;45400100;3;a;0;0
1;45600000;45600100;9;a;0;0
1;45800000;45800100;0;a;0;0
1;46000000;46000100;6;a;0;0
1;46200000;46200100;6;a;0;0
1;46400000;46400100;6;a;0;0
1;46600000;46600100;1;a;0;0
1;46800000;46800100;3;a;0;0
1;47000000;47000100;4;a;0;0
1;47200000;47200100;4;a;0;0
1;47400000;47400100;1;a;0;0
1;47600000;47600100;0;a;0;0
1;47800000;47800100;1;a;0;0
1;48000000;48000100;5;a;0;0
1;48200000;48200100;5;a;0;0
1;48400000;48400100;0;a;0;0
1;48600000;48600100;0;a;0;0
1;48800000;48800100;1;a;0;0
1;49000000;49000100;7;a;0;0
1;49200000;49200100;8;a;0;0
1;49400000;49400100;13;a;0;0
1;49600000;49600100;9;a;0;0
1;49800000;49800100;10;a;0;0
1;50000000;50000100;0;a;0;0
1;50200000;50200100;3;a;0;0
1;50400000;50400100;12;a;0;0
1;50600000;50600100;6;a;0;0
1;50800000;50800100;5;a;0;0
1;51000000;51000100;6;a;0;0
1;51200000;51200100;12;a;0;0
1;51400000;51400100;8;a;0;0
1;51600000;51600100;13;a;0;0
1;51800000;51800100;5;a;0;0
1;52000000;52000100;0;a;0;0
1;52200000;52200100;6;a;0;0
1;52400000;52400100;4;a;0;0
1;52600000;52600100;0;a;0;0
1;52800000;52800100;12;a;0;0
1;53000000;53000100;10;a;0;0
1;53200000;53200100;8;a;0;0
1;53400000;53400100;10;a;0;0
1;53600000;53600100;2;a;0;0
1;53800000;53800100;13;a;0;0
1;54000000;54000100;4;a;0;0
1;54200000;54200100;24;a;0;0
1;54400000;54400100;2;a;0;0
1;54600000;54600100;23;a;0;0
1;54800000;54800100;24;a;0;0
1;55000000;55000100;18;a;0;0
1;55200000;55200100;1;a;0;0
1;55400000;55400100;23;a;0;0
1;55600000;55600100;31;a;0;0
1;55800000;55800100;2;a;0;0
1;56000000;56000100;6;a;0;0
1;56200000;56200100;7;a;0;0
1;56400000;56400100;0;a;0;0
1;56600000;56600100;24;a;0;0
1;56800000;56800100;10;a;0;0
1;57000000;57000100;33;a;0;0
1;57200000;57200100;1;a;0;0
1;57400000;57400100;4;a;0;0
1;57600000;57600100;2;a;0;0
1;57800000;57800100;5;a;0;0
1;58000000;58000100;7;a;0;0
1;58200000;58200100;0;a;0;0
1;58400000;58400100;0;a;0;0
1;58600000;58600100;1;a;0;0
1;58800000;58800100;2;a;0;0
1;59000000;59000100;3;a;0;0
1;59200000;59200100;2;a;0;0
1;59400000;59400100;5;a;0;0
1;59600000;59600100;23;a;0;0
1;59800000;59800100;32;a;0;0
1;60000000;60000100;13;a;0;0
1;60200000;60200100;11;a;0;0
1;60400000;60400100;10;a;0;0
1;60600000;60600100;12;a;0;0
1;60800000;60800100;18;a;0;0
1;61000000;61000100;0;a;0;0
1;61200000;61200100;1;a;0;0
