chr;start;end;stack
chr1;988748;988831;RNA
chr1;1108566;1108643;RNA
chr1;1108793;1108875;RNA
chr1;2122925;2122998;RNA
chr1;3620331;3620402;RNA
chr1;3621180;3621251;RNA
chr1;4107870;4107942;RNA
chr1;4108075;4108147;RNA
chr1;4681510;4681581;RNA
chr1;4687629;4687700;RNA
chr1;4688924;4688995;RNA
chr1;6824710;6824816;RNA
chr1;7362285;7362390;RNA
chr1;7679027;7679133;RNA
chr1;7908097;7908168;RNA
chr1;9235937;9236008;RNA
chr1;15670286;15670392;RNA
chr1;17742996;17743103;RNA
chr1;19101684;19101756;RNA
chr1;21127043;21127115;RNA
chr1;21464981;21465055;RNA
chr1;22743316;22743388;RNA
chr1;24110625;24110697;RNA
chr1;25951377;25951449;RNA
chr1;26064165;26064236;RNA
chr1;26064296;26064378;RNA
chr1;26380130;26380221;RNA
chr1;27347352;27347423;RNA
chr1;27885290;27885362;RNA
chr1;28119125;28119196;RNA
chr1;28309450;28309523;RNA
chr1;28357795;28357866;RNA
chr1;28672452;28672524;RNA
chr1;28995110;28995183;RNA
chr1;29100672;29100743;RNA
chr1;29902365;29902438;RNA
chr1;29933631;29933703;RNA
chr1;30058665;30058746;RNA
chr1;30138976;30139046;RNA
chr1;30508043;30508113;RNA
chr1;30508119;30508210;RNA
chr1;30592733;30592834;RNA
chr1;30627966;30628049;RNA
chr1;31209899;31209971;RNA
chr1;31667676;31667748;RNA
chr1;31908760;31908844;RNA
chr1;32131742;32131815;RNA
chr1;32415780;32415925;RNA
chr1;32454014;32454086;RNA
chr1;32897288;32897358;RNA
chr1;33336322;33336393;RNA
chr1;34026567;34026648;RNA
chr1;34129178;34129250;RNA
chr1;34253137;34253208;RNA
chr1;34510917;34511007;RNA
chr1;34552003;34552073;RNA
chr1;34609585;34609658;RNA
chr1;35572237;35572309;RNA
chr3;831285;831364;RNA
chr3;1598206;1598277;RNA
chr3;2053145;2053216;RNA
chr3;2350762;2350833;RNA
chr3;2350898;2350969;RNA
chr3;2351036;2351107;RNA
chr3;2765654;2765726;RNA
chr3;3898964;3899058;RNA
chr3;3899291;3899385;RNA
chr3;3899503;3899604;RNA
chr3;3899682;3899791;RNA
chr3;4197804;4197877;RNA
chr3;4821144;4821225;RNA
chr3;4906203;4906276;RNA
chr3;4944016;4944097;RNA
chr3;4944181;4944253;RNA
chr3;4968206;4968289;RNA
chr3;5537762;5537888;RNA
chr3;5585367;5585439;RNA
chr3;5788794;5788865;RNA
chr3;5912126;5912199;RNA
chr3;6315503;6315577;RNA
chr3;6425835;6425907;RNA
chr3;6592206;6592278;RNA
chr3;6592875;6592946;RNA
chr3;6968179;6968250;RNA
chr3;8489482;8489554;RNA
chr3;8944686;8944774;RNA
chr3;9465818;9465889;RNA
chr3;9660242;9660321;RNA
chr3;10629746;10629817;RNA
chr3;11406772;11406844;RNA
chr3;11529805;11529884;RNA
chr3;12460802;12460874;RNA
chr3;12576177;12576248;RNA
chr3;13071934;13072004;RNA
chr3;13072130;13072200;RNA
chr3;13563808;13563880;RNA
chr3;14070392;14070465;RNA
chr3;15227434;15227517;RNA
chr3;15453087;15453158;RNA
chr3;15863824;15863909;RNA
chr3;15956224;15956295;RNA
chr3;16186872;16187009;RNA
chr3;16273883;16273956;RNA
chr3;16342669;16342742;RNA
chr3;16397710;16397782;RNA
chr3;16848016;16848088;RNA
chr3;16938624;16938696;RNA
chr3;17609410;17609483;RNA
chr3;17645740;17645811;RNA
chr3;17653341;17653412;RNA
chr3;17654629;17654700;RNA
chr3;17655709;17655780;RNA
chr3;17656227;17656298;RNA
chr3;17657426;17657497;RNA
chr3;18476332;18476414;RNA
chr3;18715423;18715506;RNA
chr3;18962896;18962980;RNA
chr3;18971694;18971777;RNA
chr3;18971938;18972021;RNA
chr3;20119821;20119894;RNA
chr3;22738018;22738109;RNA
chr3;22738288;22738379;RNA
chr3;22795571;22795642;RNA
chr3;24755750;24755831;RNA
chr3;25373981;25374053;RNA
chr3;25687991;25688075;RNA
chr3;26323981;26324062;RNA
chr3;26513937;26514066;RNA
chr3;27968610;27968672;RNA
chr3;27968701;27968772;RNA
chr3;30257622;30257728;RNA
chr3;31904779;31904895;RNA
chr3;32520221;32520326;RNA
chr3;35928009;35928115;RNA
chr3;37177080;37177153;RNA
chr3;37750150;37750221;RNA
chr3;38455338;38455444;RNA
chr3;44219729;44219835;RNA
chr3;46091467;46091573;RNA
chr3;49467221;49467326;RNA
chr3;50021082;50021188;RNA
chr3;50136712;50136785;RNA
chr3;50170590;50170661;RNA
chr3;50170755;50170826;RNA
chr3;50812855;50812936;RNA
chr3;50813066;50813147;RNA
chr3;52174422;52174495;RNA
chr3;52985805;52985876;RNA
chr3;52988905;52988991;RNA
chr3;53319530;53319616;RNA
chr3;53319717;53319826;RNA
chr3;53737673;53737744;RNA
chr3;53749683;53749755;RNA
chr3;53752292;53752412;RNA
chr3;55837530;55837610;RNA
chr3;56123510;56123597;RNA
chr3;56123609;56123679;RNA
chr3;56568387;56568460;RNA
chr3;56849911;56849996;RNA
chr3;56914361;56914434;RNA
chr3;57328493;57328564;RNA
chr3;57479633;57479705;RNA
chr3;57893111;57893182;RNA
chr3;58069437;58069509;RNA
chr5;171599;171671;RNA
chr5;523926;524000;RNA
chr5;524120;524203;RNA
chr5;956568;956641;RNA
chr5;1536383;1536453;RNA
chr5;1682485;1682601;RNA
chr5;2472847;2472920;RNA
chr5;2673115;2673175;RNA
chr5;2693006;2693079;RNA
chr5;4195930;4196000;RNA
chr5;4755628;4755699;RNA
chr5;4942213;4942294;RNA
chr5;6702775;6702859;RNA
chr5;10370252;10370343;RNA
chr5;12520921;12520994;RNA
chr5;14669789;14669895;RNA
chr5;16454204;16454311;RNA
chr5;17113940;17114011;RNA
chr5;24620274;24620380;RNA
chr5;24657543;24657616;RNA
chr5;25674242;25674313;RNA
chr5;26649392;26649464;RNA
chr5;26723809;26723915;RNA
chr5;26975875;26975962;RNA
chr5;27731307;27731442;RNA
chr5;28770241;28770347;RNA
chr5;28829157;28829263;RNA
chr5;29230986;29231058;RNA
chr5;30939420;30939493;RNA
chr7;104581;104660;RNA
chr7;105223;105317;RNA
chr7;1984035;1984107;RNA
chr7;2163838;2163911;RNA
chr7;2551374;2551447;RNA
chr7;3847616;3847747;RNA
chr7;3848125;3848256;RNA
chr7;4393959;4394040;RNA
chr7;5403944;5404024;RNA
chr7;5567463;5567555;RNA
chr7;5612996;5613089;RNA
chr7;5636270;5636343;RNA
chr7;5887641;5887712;RNA
chr7;8249817;8249888;RNA
chr7;8660360;8660452;RNA
chr7;9766493;9766563;RNA
chr7;10655482;10655554;RNA
chr7;10655675;10655747;RNA
chr7;10905953;10906033;RNA
chr7;12326299;12326370;RNA
chr7;13148028;13148107;RNA
chr7;13557016;13557122;RNA
chr7;13763454;13763561;RNA
chr7;14240513;14240670;RNA
chr7;14241435;14241596;RNA
chr7;14242338;14242494;RNA
chr7;14614506;14614577;RNA
chr7;14650837;14650908;RNA
chr7;14665580;14665651;RNA
chr7;14667910;14667981;RNA
chr7;15100085;15100191;RNA
chr7;15304552;15304658;RNA
chr7;15463000;15463105;RNA
chr7;17500521;17500594;RNA
chr7;21546339;21546410;RNA
chr7;27489792;27489865;RNA
chr7;27538084;27538168;RNA
chr7;27538302;27538374;RNA
chr7;27538621;27538713;RNA
chr7;27538834;27538915;RNA
chr7;27628010;27628083;RNA
chr7;28155557;28155605;RNA
chr7;28270190;28270270;RNA
chr7;28534654;28534725;RNA
chr7;29503574;29503646;RNA
chr7;29505974;29506046;RNA
chr7;29506803;29506875;RNA
chr9;1423801;1423872;RNA
chr9;1450197;1450268;RNA
chr9;1507880;1507951;RNA
chr9;3200754;3200860;RNA
chr9;3692747;3692818;RNA
chr9;3826171;3826243;RNA
chr9;5711364;5711435;RNA
chr9;8839970;8840043;RNA
chr9;9064051;9064197;RNA
chr9;9210428;9210499;RNA
chr9;9346842;9346948;RNA
chr9;9407452;9407558;RNA
chr9;9472338;9472442;RNA
chr9;10963620;10963726;RNA
chr9;14589940;14590046;RNA
chr9;17437639;17437745;RNA
chr9;17642951;17643057;RNA
chr9;19198721;19198806;RNA
chr9;19198899;19199058;RNA
chr9;19199129;19199355;RNA
chr9;22556103;22556176;RNA
chr9;24326909;24326999;RNA
chr9;24332236;24332308;RNA
chr9;24865031;24865112;RNA
chr9;25218174;25218247;RNA
chr9;25220334;25220407;RNA
chr9;25673983;25674093;RNA
chr9;25674759;25674866;RNA
chr9;25675163;25675280;RNA
chr9;25675533;25675650;RNA
chr9;25675936;25676029;RNA
chr9;25676111;25676201;RNA
chr9;25676433;25676588;RNA
chr9;26191813;26191885;RNA
chr9;26450823;26450901;RNA
chr9;26626662;26626758;RNA
chr9;26626828;26626917;RNA
chr9;27198452;27198550;RNA
