chr;start;end;value1
sq0001;988748;988831;0.5
sq0001;1108566;1108643;0.5
sq0001;1108793;1108875;0.5
sq0001;2122925;2122998;0.5
sq0001;3620331;3620402;0.5
sq0001;3621180;3621251;0.5
sq0001;3952903;3953005;0.5
sq0001;4107870;4107942;0.5
sq0001;4108075;4108147;0.5
sq0001;4681510;4681581;0.5
sq0001;4687629;4687700;0.5
sq0001;4688924;4688995;0.5
sq0001;4729420;4729580;0.5
sq0001;5636123;5636283;0.5
sq0001;6788259;6788351;0.5
sq0001;6824710;6824816;0.5
sq0001;7362285;7362390;0.5
sq0001;7534419;7534494;0.5
sq0001;7679027;7679133;0.5
sq0001;7906746;7906814;0.5
sq0001;7908097;7908168;0.5
sq0001;9235937;9236008;0.5
sq0001;9907615;9907810;0.5
sq0001;15670286;15670392;0.5
sq0001;17742996;17743103;0.5
sq0001;19101684;19101756;0.5
sq0001;21081578;21081656;0.5
sq0001;21084664;21084740;0.5
sq0001;21127043;21127115;0.5
sq0001;21461240;21461325;0.5
sq0001;21464981;21465055;0.5
sq0001;21671012;21671123;0.5
sq0001;22743316;22743388;0.5
sq0001;22748429;22748531;0.5
sq0001;24110625;24110697;0.5
sq0001;25804695;25804914;0.5
sq0001;25951377;25951449;0.5
sq0001;26064165;26064236;0.5
sq0001;26064296;26064378;0.5
sq0001;26380130;26380221;0.5
sq0001;26643580;26643726;0.5
sq0001;27347352;27347423;0.5
sq0001;27610271;27610466;0.5
sq0001;27885290;27885362;0.5
sq0001;28119125;28119196;0.5
sq0001;28309450;28309523;0.5
sq0001;28357795;28357866;0.5
sq0001;28672452;28672524;0.5
sq0001;28995110;28995183;0.5
sq0001;29100672;29100743;0.5
sq0001;29423645;29423776;0.5
sq0001;29902365;29902438;0.5
sq0001;29933631;29933703;0.5
sq0001;30058665;30058746;0.5
sq0001;30138976;30139046;0.5
sq0001;30166938;30167088;0.5
sq0001;30508043;30508113;0.5
sq0001;30508119;30508210;0.5
sq0001;30592733;30592834;0.5
sq0001;30627966;30628049;0.5
sq0001;30755617;30755810;0.5
sq0001;31209899;31209971;0.5
sq0001;31667676;31667748;0.5
sq0001;31908760;31908844;0.5
sq0001;32131742;32131815;0.5
sq0001;32415780;32415925;0.5
sq0001;32454014;32454086;0.5
sq0001;32897288;32897358;0.5
sq0001;33044243;33044357;0.5
sq0001;33328549;33328648;0.5
sq0001;33336322;33336393;0.5
sq0001;34026567;34026648;0.5
sq0001;34129178;34129250;0.5
sq0001;34253137;34253208;0.5
sq0001;34510917;34511007;0.5
sq0001;34552003;34552073;0.5
sq0001;34609585;34609658;0.5
sq0001;35572237;35572309;0.5
sq0003;831285;831364;0.5
sq0003;916839;916950;0.5
sq0003;1154004;1154154;0.5
sq0003;1598206;1598277;0.5
sq0003;2053145;2053216;0.5
sq0003;2350762;2350833;0.5
sq0003;2350898;2350969;0.5
sq0003;2351036;2351107;0.5
sq0003;2765654;2765726;0.5
sq0003;3898964;3899058;0.5
sq0003;3899291;3899385;0.5
sq0003;3899503;3899604;0.5
sq0003;3899682;3899791;0.5
sq0003;4144204;4144396;0.5
sq0003;4144206;4144398;0.5
sq0003;4197804;4197877;0.5
sq0003;4821144;4821225;0.5
sq0003;4906203;4906276;0.5
sq0003;4944016;4944097;0.5
sq0003;4944181;4944253;0.5
sq0003;4968206;4968289;0.5
sq0003;5420158;5420276;0.5
sq0003;5537762;5537888;0.5
sq0003;5585367;5585439;0.5
sq0003;5657533;5657684;0.5
sq0003;5657534;5657685;0.5
sq0003;5788794;5788865;0.5
sq0003;5912126;5912199;0.5
sq0003;6179339;6179498;0.5
sq0003;6315503;6315577;0.5
sq0003;6425835;6425907;0.5
sq0003;6592206;6592278;0.5
sq0003;6592875;6592946;0.5
sq0003;6968179;6968250;0.5
sq0003;6991775;6991932;0.5
sq0003;7048128;7048243;0.5
sq0003;7079254;7079369;0.5
sq0003;8489482;8489554;0.5
sq0003;8944686;8944774;0.5
sq0003;9074736;9074847;0.5
sq0003;9074736;9074847;0.5
sq0003;9465818;9465889;0.5
sq0003;9660242;9660321;0.5
sq0003;10629746;10629817;0.5
sq0003;11406772;11406844;0.5
sq0003;11529805;11529884;0.5
sq0003;11816994;11817096;0.5
sq0003;12460802;12460874;0.5
sq0003;12576177;12576248;0.5
sq0003;13071934;13072004;0.5
sq0003;13072130;13072200;0.5
sq0003;13563808;13563880;0.5
sq0003;13657264;13657369;0.5
sq0003;13657264;13657369;0.5
sq0003;13703002;13703104;0.5
sq0003;13703002;13703104;0.5
sq0003;13706217;13706341;0.5
sq0003;14070392;14070465;0.5
sq0003;15227434;15227517;0.5
sq0003;15453087;15453158;0.5
sq0003;15863824;15863909;0.5
sq0003;15956224;15956295;0.5
sq0003;16186872;16187009;0.5
sq0003;16273883;16273956;0.5
sq0003;16342669;16342742;0.5
sq0003;16397710;16397782;0.5
sq0003;16848016;16848088;0.5
sq0003;16938624;16938696;0.5
sq0003;17609410;17609483;0.5
sq0003;17645740;17645811;0.5
sq0003;17653341;17653412;0.5
sq0003;17654629;17654700;0.5
sq0003;17655709;17655780;0.5
sq0003;17656227;17656298;0.5
sq0003;17657426;17657497;0.5
sq0003;18476332;18476414;0.5
sq0003;18715423;18715506;0.5
sq0003;18962896;18962980;0.5
sq0003;18971694;18971777;0.5
sq0003;18971938;18972021;0.5
sq0003;19836769;19836915;0.5
sq0003;20119821;20119894;0.5
sq0003;22629892;22630002;0.5
sq0003;22738018;22738109;0.5
sq0003;22738288;22738379;0.5
sq0003;22795571;22795642;0.5
sq0003;23660156;23660256;0.5
sq0003;24755750;24755831;0.5
sq0003;24908741;24908963;0.5
sq0003;25373981;25374053;0.5
sq0003;25687991;25688075;0.5
sq0003;26323981;26324062;0.5
sq0003;26513937;26514066;0.5
sq0003;26783778;26783868;0.5
sq0003;27968610;27968672;0.5
sq0003;27968701;27968772;0.5
sq0003;30257622;30257728;0.5
sq0003;31904779;31904895;0.5
sq0003;32520221;32520326;0.5
sq0003;35928009;35928115;0.5
sq0003;37177080;37177153;0.5
sq0003;37750150;37750221;0.5
sq0003;37750426;37750505;0.5
sq0003;38455338;38455444;0.5
sq0003;44219729;44219835;0.5
sq0003;44361068;44361125;0.5
sq0003;45752118;45752210;0.5
sq0003;46091467;46091573;0.5
sq0003;46202829;46202938;0.5
sq0003;48545953;48546184;0.5
sq0003;49467221;49467326;0.5
sq0003;49764776;49764925;0.5
sq0003;50021082;50021188;0.5
sq0003;50136712;50136785;0.5
sq0003;50170590;50170661;0.5
sq0003;50170755;50170826;0.5
sq0003;50812855;50812936;0.5
sq0003;50813066;50813147;0.5
sq0003;52174422;52174495;0.5
sq0003;52985805;52985876;0.5
sq0003;52988905;52988991;0.5
sq0003;53129907;53130002;0.5
sq0003;53319530;53319616;0.5
sq0003;53319717;53319826;0.5
sq0003;53737673;53737744;0.5
sq0003;53749683;53749755;0.5
sq0003;53752292;53752412;0.5
sq0003;54978588;54978679;0.5
sq0003;55837530;55837610;0.5
sq0003;56123510;56123597;0.5
sq0003;56123609;56123679;0.5
sq0003;56568387;56568460;0.5
sq0003;56652926;56653028;0.5
sq0003;56849911;56849996;0.5
sq0003;56914361;56914434;0.5
sq0003;57145756;57145877;0.5
sq0003;57328493;57328564;0.5
sq0003;57479633;57479705;0.5
sq0003;57642398;57642475;0.5
sq0003;57893111;57893182;0.5
sq0003;58069437;58069509;0.5
sq0003;58196277;58196431;0.5
sq0005;171599;171671;0.5
sq0005;523926;524000;0.5
sq0005;524120;524203;0.5
sq0005;956568;956641;0.5
sq0005;1536383;1536453;0.5
sq0005;1682485;1682601;0.5
sq0005;2472847;2472920;0.5
sq0005;2673115;2673175;0.5
sq0005;2693006;2693079;0.5
sq0005;3442450;3442543;0.5
sq0005;3969437;3969540;0.5
sq0005;4195930;4196000;0.5
sq0005;4263906;4264032;0.5
sq0005;4755628;4755699;0.5
sq0005;4942213;4942294;0.5
sq0005;6675078;6675166;0.5
sq0005;6702775;6702859;0.5
sq0005;6950847;6950997;0.5
sq0005;8478006;8478108;0.5
sq0005;8533146;8533248;0.5
sq0005;8565037;8565142;0.5
sq0005;10370252;10370343;0.5
sq0005;12520921;12520994;0.5
sq0005;14669789;14669895;0.5
sq0005;15337567;15337669;0.5
sq0005;16454204;16454311;0.5
sq0005;17113940;17114011;0.5
sq0005;18674056;18674134;0.5
sq0005;20538019;20538119;0.5
sq0005;20538021;20538121;0.5
sq0005;23176129;23176249;0.5
sq0005;23181654;23181774;0.5
sq0005;24620274;24620380;0.5
sq0005;24657543;24657616;0.5
sq0005;25674242;25674313;0.5
sq0005;26649392;26649464;0.5
sq0005;26723809;26723915;0.5
sq0005;26975875;26975962;0.5
sq0005;27731307;27731442;0.5
sq0005;28770241;28770347;0.5
sq0005;28829157;28829263;0.5
sq0005;29230986;29231058;0.5
sq0005;30440128;30440173;0.5
sq0005;30939420;30939493;0.5
sq0007;104581;104660;0.5
sq0007;105223;105317;0.5
sq0007;1984035;1984107;0.5
sq0007;2163838;2163911;0.5
sq0007;2551374;2551447;0.5
sq0007;3023101;3023255;0.5
sq0007;3847616;3847747;0.5
sq0007;3848125;3848256;0.5
sq0007;4393959;4394040;0.5
sq0007;4804656;4804756;0.5
sq0007;4804658;4804758;0.5
sq0007;5223037;5223240;0.5
sq0007;5341567;5341690;0.5
sq0007;5403944;5404024;0.5
sq0007;5567463;5567555;0.5
sq0007;5612996;5613089;0.5
sq0007;5636270;5636343;0.5
sq0007;5752989;5753259;0.5
sq0007;5887641;5887712;0.5
sq0007;5891977;5892138;0.5
sq0007;5898126;5898287;0.5
sq0007;6261686;6261804;0.5
sq0007;6353723;6353839;0.5
sq0007;8249817;8249888;0.5
sq0007;8660360;8660452;0.5
sq0007;8792419;8792521;0.5
sq0007;9766493;9766563;0.5
sq0007;10655482;10655554;0.5
sq0007;10655675;10655747;0.5
sq0007;10905953;10906033;0.5
sq0007;12326299;12326370;0.5
sq0007;13148028;13148107;0.5
sq0007;13557016;13557122;0.5
sq0007;13763454;13763561;0.5
sq0007;13966155;13966251;0.5
sq0007;14240513;14240670;0.5
sq0007;14241435;14241596;0.5
sq0007;14242338;14242494;0.5
sq0007;14614506;14614577;0.5
sq0007;14650837;14650908;0.5
sq0007;14665580;14665651;0.5
sq0007;14667910;14667981;0.5
sq0007;15100085;15100191;0.5
sq0007;15304552;15304658;0.5
sq0007;15463000;15463105;0.5
sq0007;15780564;15780692;0.5
sq0007;17500521;17500594;0.5
sq0007;21546339;21546410;0.5
sq0007;21548072;21548541;0.5
sq0007;25286938;25287096;0.5
sq0007;27489792;27489865;0.5
sq0007;27538084;27538168;0.5
sq0007;27538302;27538374;0.5
sq0007;27538621;27538713;0.5
sq0007;27538834;27538915;0.5
sq0007;27628010;27628083;0.5
sq0007;28155557;28155605;0.5
sq0007;28270190;28270270;0.5
sq0007;28518019;28518214;0.5
sq0007;28534654;28534725;0.5
sq0007;28642645;28642751;0.5
sq0007;28658809;28658911;0.5
sq0007;28693097;28693203;0.5
sq0007;29503574;29503646;0.5
sq0007;29505974;29506046;0.5
sq0007;29506803;29506875;0.5
sq0009;1423801;1423872;0.5
sq0009;1450197;1450268;0.5
sq0009;1507880;1507951;0.5
sq0009;3200754;3200860;0.5
sq0009;3692747;3692818;0.5
sq0009;3826171;3826243;0.5
sq0009;5184312;5184390;0.5
sq0009;5711364;5711435;0.5
sq0009;8839970;8840043;0.5
sq0009;9064051;9064197;0.5
sq0009;9210428;9210499;0.5
sq0009;9346842;9346948;0.5
sq0009;9407452;9407558;0.5
sq0009;9472338;9472442;0.5
sq0009;9902049;9902235;0.5
sq0009;10963620;10963726;0.5
sq0009;14589940;14590046;0.5
sq0009;16725114;16725299;0.5
sq0009;17437639;17437745;0.5
sq0009;17642951;17643057;0.5
sq0009;19198721;19198806;0.5
sq0009;19198899;19199058;0.5
sq0009;19199129;19199355;0.5
sq0009;19507192;19507299;0.5
sq0009;20003266;20003417;0.5
sq0009;20092808;20092878;0.5
sq0009;21103437;21103513;0.5
sq0009;21106523;21106601;0.5
sq0009;22086931;22087037;0.5
sq0009;22145324;22145422;0.5
sq0009;22263093;22263211;0.5
sq0009;22556103;22556176;0.5
sq0009;24326909;24326999;0.5
sq0009;24332236;24332308;0.5
sq0009;24865031;24865112;0.5
sq0009;25218174;25218247;0.5
sq0009;25218818;25218896;0.5
sq0009;25220334;25220407;0.5
sq0009;25673983;25674093;0.5
sq0009;25674759;25674866;0.5
sq0009;25675163;25675280;0.5
sq0009;25675533;25675650;0.5
sq0009;25675936;25676029;0.5
sq0009;25676111;25676201;0.5
sq0009;25676433;25676588;0.5
sq0009;25849110;25849416;0.5
sq0009;26052652;26052722;0.5
