chr;start;end;stack
chr2;25545902;25546046;RNA
chr2;58507803;58509611;RNA
chr2;58509849;58510004;RNA
chr7;6364116;6364234;RNA
chr8;36921399;36921542;RNA
chr6;23812105;23812216;RNA
chr6;23856322;23856433;RNA
chr11;41819763;41820146;RNA
chr1;2241603;2241697;RNA
chr1;2241847;2241924;RNA
chr1;33404927;33405033;RNA
chr1;45509149;45509256;RNA
chr1;52187924;52188083;RNA
chr1;56406579;56406722;RNA
chr1;58231472;58231633;RNA
chr1;61197798;61197889;RNA
chr1;61283812;61283950;RNA
chr1;63075314;63075459;RNA
chr2;5594948;5595087;RNA
chr2;11733176;11733255;RNA
chr2;13897070;13897176;RNA
chr2;16396866;16396951;RNA
chr2;18944476;18944571;RNA
chr2;24776533;24776639;RNA
chr2;27333605;27333736;RNA
chr2;33874040;33874145;RNA
chr2;39727953;39728059;RNA
chr2;43922286;43922389;RNA
chr2;61470365;61470471;RNA
chr2;62318198;62318304;RNA
chr2;63628960;63629066;RNA
chr2;69486032;69486138;RNA
chr2;72381893;72381979;RNA
chr3;551578;551654;RNA
chr3;551773;551856;RNA
chr3;2619558;2619618;RNA
chr3;20541881;20541988;RNA
chr3;25243741;25243873;RNA
chr3;36552382;36552535;RNA
chr3;42175634;42175740;RNA
chr4;3757169;3757316;RNA
chr4;3757678;3757825;RNA
chr4;5178809;5178950;RNA
chr4;11884916;11885021;RNA
chr4;12807293;12807400;RNA
chr4;13033748;13033854;RNA
chr4;14807184;14807290;RNA
chr4;16505766;16505872;RNA
chr4;34775114;34775220;RNA
chr5;4077841;4077946;RNA
chr5;5428239;5428345;RNA
chr5;12196793;12196899;RNA
chr5;12375544;12375648;RNA
chr5;27560208;27560340;RNA
chr5;29700968;29701074;RNA
chr5;31253163;31253269;RNA
chr5;33658000;33658226;RNA
chr5;33658293;33658452;RNA
chr5;33658536;33658621;RNA
chr5;43303360;43303440;RNA
chr5;46318072;46318150;RNA
chr5;50713006;50713103;RNA
chr6;8078411;8078498;RNA
chr6;8078704;8078787;RNA
chr6;8078964;8079063;RNA
chr6;8079249;8079352;RNA
chr6;10205211;10205290;RNA
chr6;16048207;16048307;RNA
chr6;33534921;33535027;RNA
chr6;33552628;33552734;RNA
chr6;33561478;33561584;RNA
chr6;38576040;38576154;RNA
chr6;38576632;38576707;RNA
chr6;63262445;63262551;RNA
chr7;1455967;1456067;RNA
