chr;start;end;value1;color;V6;V7
1;0;100;0;a;0;0
1;200000;200100;40;a;0;0
1;400000;400100;33;a;0;0
1;600000;600100;1;a;0;0
1;800000;800100;2;a;0;0
1;1000000;1000100;1;a;0;0
1;1200000;1200100;25;a;0;0
1;1400000;1400100;7;a;0;0
1;1600000;1600100;12;a;0;0
1;1800000;1800100;0;a;0;0
1;2000000;2000100;3;a;0;0
1;2200000;2200100;12;a;0;0
1;2400000;2400100;10;a;0;0
1;2600000;2600100;5;a;0;0
1;2800000;2800100;4;a;0;0
1;3000000;3000100;13;a;0;0
1;3200000;3200100;1;a;0;0
1;3400000;3400100;3;a;0;0
1;3600000;3600100;1;a;0;0
1;3800000;3800100;2;a;0;0
1;4000000;4000100;7;a;0;0
1;4200000;4200100;7;a;0;0
1;4400000;4400100;0;a;0;0
1;4600000;4600100;2;a;0;0
1;4800000;4800100;0;a;0;0
1;5000000;5000100;4;a;0;0
1;5200000;5200100;6;a;0;0
1;5400000;5400100;6;a;0;0
1;5600000;5600100;3;a;0;0
1;5800000;5800100;10;a;0;0
1;6000000;6000100;7;a;0;0
1;6200000;6200100;7;a;0;0
1;6400000;6400100;20;a;0;0
1;6600000;6600100;3;a;0;0
1;6800000;6800100;3;a;0;0
1;7000000;7000100;6;a;0;0
1;7200000;7200100;11;a;0;0
1;7400000;7400100;13;a;0;0
1;7600000;7600100;5;a;0;0
1;7800000;7800100;9;a;0;0
1;8000000;8000100;10;a;0;0
1;8200000;8200100;8;a;0;0
1;8400000;8400100;4;a;0;0
1;8600000;8600100;8;a;0;0
1;8800000;8800100;7;a;0;0
1;9000000;9000100;6;a;0;0
1;9200000;9200100;9;a;0;0
1;9400000;9400100;10;a;0;0
1;9600000;9600100;16;a;0;0
1;9800000;9800100;9;a;0;0
1;10000000;10000100;10;a;0;0
1;10200000;10200100;2;a;0;0
1;10400000;10400100;6;a;0;0
1;10600000;10600100;14;a;0;0
1;10800000;10800100;9;a;0;0
1;11000000;11000100;8;a;0;0
1;11200000;11200100;5;a;0;0
1;11400000;11400100;18;a;0;0
1;11600000;11600100;10;a;0;0
1;11800000;11800100;1;a;0;0
1;12000000;12000100;1;a;0;0
1;12200000;12200100;3;a;0;0
1;12400000;12400100;7;a;0;0
1;12600000;12600100;16;a;0;0
1;12800000;12800100;2;a;0;0
1;13000000;13000100;2;a;0;0
1;13200000;13200100;3;a;0;0
1;13400000;13400100;0;a;0;0
1;13600000;13600100;3;a;0;0
1;13800000;13800100;13;a;0;0
1;14000000;14000100;5;a;0;0
1;14200000;14200100;5;a;0;0
1;14400000;14400100;4;a;0;0
1;14600000;14600100;2;a;0;0
1;14800000;14800100;6;a;0;0
1;15000000;15000100;4;a;0;0
1;15200000;15200100;0;a;0;0
1;15400000;15400100;12;a;0;0
1;15600000;15600100;1;a;0;0
1;15800000;15800100;3;a;0;0
1;16000000;16000100;0;a;0;0
1;16200000;16200100;2;a;0;0
1;16400000;16400100;2;a;0;0
1;16600000;16600100;1;a;0;0
1;16800000;16800100;11;a;0;0
1;17000000;17000100;1;a;0;0
1;17200000;17200100;20;a;0;0
1;17400000;17400100;13;a;0;0
1;17600000;17600100;6;a;0;0
1;17800000;17800100;10;a;0;0
1;18000000;18000100;6;a;0;0
1;18200000;18200100;8;a;0;0
1;18400000;18400100;2;a;0;0
1;18600000;18600100;1;a;0;0
1;18800000;18800100;12;a;0;0
1;19000000;19000100;6;a;0;0
1;19200000;19200100;12;a;0;0
1;19400000;19400100;2;a;0;0
1;19600000;19600100;8;a;0;0
1;19800000;19800100;0;a;0;0
1;20000000;20000100;11;a;0;0
1;20200000;20200100;0;a;0;0
1;20400000;20400100;1;a;0;0
1;20600000;20600100;3;a;0;0
1;20800000;20800100;0;a;0;0
1;21000000;21000100;0;a;0;0
1;21200000;21200100;0;a;0;0
1;21400000;21400100;0;a;0;0
1;21600000;21600100;0;a;0;0
1;21800000;21800100;0;a;0;0
1;22000000;22000100;0;a;0;0
1;22200000;22200100;0;a;0;0
1;22400000;22400100;0;a;0;0
1;22600000;22600100;0;a;0;0
1;22800000;22800100;0;a;0;0
1;23000000;23000100;0;a;0;0
1;23200000;23200100;1;a;0;0
1;23400000;23400100;0;a;0;0
1;23600000;23600100;0;a;0;0
1;23800000;23800100;0;a;0;0
1;24000000;24000100;2;a;0;0
1;24200000;24200100;0;a;0;0
1;24400000;24400100;0;a;0;0
1;24600000;24600100;0;a;0;0
1;24800000;24800100;0;a;0;0
1;25000000;25000100;0;a;0;0
1;25200000;25200100;0;a;0;0
1;25400000;25400100;2;a;0;0
1;25600000;25600100;0;a;0;0
1;25800000;25800100;0;a;0;0
1;26000000;26000100;0;a;0;0
1;26200000;26200100;0;a;0;0
1;26400000;26400100;0;a;0;0
1;26600000;26600100;0;a;0;0
1;26800000;26800100;0;a;0;0
1;27000000;27000100;0;a;0;0
1;27200000;27200100;0;a;0;0
1;27400000;27400100;0;a;0;0
1;27600000;27600100;0;a;0;0
1;27800000;27800100;1;a;0;0
1;28000000;28000100;0;a;0;0
1;28200000;28200100;0;a;0;0
1;28400000;28400100;0;a;0;0
1;28600000;28600100;0;a;0;0
1;28800000;28800100;0;a;0;0
1;29000000;29000100;2;a;0;0
1;29200000;29200100;0;a;0;0
1;29400000;29400100;0;a;0;0
1;29600000;29600100;0;a;0;0
1;29800000;29800100;0;a;0;0
1;30000000;30000100;0;a;0;0
1;30200000;30200100;0;a;0;0
1;30400000;30400100;0;a;0;0
1;30600000;30600100;0;a;0;0
1;30800000;30800100;3;a;0;0
1;31000000;31000100;0;a;0;0
1;31200000;31200100;4;a;0;0
1;31400000;31400100;0;a;0;0
1;31600000;31600100;2;a;0;0
1;31800000;31800100;2;a;0;0
1;32000000;32000100;8;a;0;0
1;32200000;32200100;0;a;0;0
1;32400000;32400100;1;a;0;0
1;32600000;32600100;0;a;0;0
1;32800000;32800100;0;a;0;0
1;33000000;33000100;0;a;0;0
1;33200000;33200100;0;a;0;0
1;33400000;33400100;0;a;0;0
1;33600000;33600100;1;a;0;0
1;33800000;33800100;0;a;0;0
1;34000000;34000100;0;a;0;0
1;34200000;34200100;3;a;0;0
1;34400000;34400100;0;a;0;0
1;34600000;34600100;0;a;0;0
1;34800000;34800100;0;a;0;0
1;35000000;35000100;0;a;0;0
1;35200000;35200100;0;a;0;0
1;35400000;35400100;0;a;0;0
1;35600000;35600100;8;a;0;0
1;35800000;35800100;5;a;0;0
1;36000000;36000100;0;a;0;0
1;36200000;36200100;0;a;0;0
1;36400000;36400100;1;a;0;0
1;36600000;36600100;0;a;0;0
1;36800000;36800100;0;a;0;0
1;37000000;37000100;0;a;0;0
1;37200000;37200100;0;a;0;0
1;37400000;37400100;4;a;0;0
1;37600000;37600100;0;a;0;0
1;37800000;37800100;0;a;0;0
1;38000000;38000100;0;a;0;0
1;38200000;38200100;0;a;0;0
1;38400000;38400100;0;a;0;0
1;38600000;38600100;0;a;0;0
1;38800000;38800100;0;a;0;0
1;39000000;39000100;0;a;0;0
1;39200000;39200100;0;a;0;0
1;39400000;39400100;0;a;0;0
1;39600000;39600100;8;a;0;0
1;39800000;39800100;0;a;0;0
1;40000000;40000100;0;a;0;0
1;40200000;40200100;0;a;0;0
1;40400000;40400100;3;a;0;0
1;40600000;40600100;2;a;0;0
1;40800000;40800100;0;a;0;0
1;41000000;41000100;0;a;0;0
1;41200000;41200100;3;a;0;0
1;41400000;41400100;0;a;0;0
